year,certaines_DET eaux_NOUN,certaines_DET peaux_NOUN
1800,2.6096565797217863e-07,2.829747991484055e-08
1801,2.857419023616359e-07,1.6668277424969347e-08
1802,1.7902721083373763e-07,6.713520406265161e-09
1803,1.6187815887747092e-07,1.950339267864365e-08
1804,1.1864884186252311e-07,1.730295728918918e-08
1805,9.950071655495663e-08,0.0
1806,1.3255677622225903e-07,8.645007376628655e-09
1807,2.135216305987342e-07,0.0
1808,1.2236799307174806e-07,0.0
1809,1.2424668227595248e-07,0.0
1810,1.0998595856293036e-07,4.680253518074551e-09
1811,1.4791753022436183e-07,2.2563690471599784e-08
1812,1.920389998133487e-07,0.0
1813,2.6744396919298197e-07,0.0
1814,2.0768068509369186e-07,0.0
1815,1.780167480092132e-07,0.0
1816,1.5991466284503986e-07,4.6352077731626196e-09
1817,2.3041726326944456e-07,7.784366928831332e-09
1818,1.1086695161921511e-07,0.0
1819,1.759678465163006e-07,1.2421260464634543e-08
1820,1.1747816053286897e-07,2.3732962262101864e-08
1821,8.678109564286274e-08,0.0
1822,1.3434325296657335e-07,2.0051231786055723e-09
1823,1.7788837070042973e-07,9.882686891060644e-10
1824,1.2210612965191103e-07,2.5263338088166165e-08
1825,1.9988356392275364e-07,6.163809906922779e-09
1826,2.0258363786496147e-07,6.1655889282974385e-09
1827,2.1291900215159032e-07,8.295545583791863e-09
1828,1.5776357509267314e-07,1.834460228167245e-08
1829,1.757501086885327e-07,8.57317605795771e-10
1830,1.9412514973282669e-07,0.0
1831,3.3677005184529207e-07,0.0
1832,1.461236678323985e-07,1.6235963684607668e-08
1833,2.4093947814662897e-07,9.266902800675325e-09
1834,1.7455572631774885e-07,2.42697808516823e-08
1835,2.979856574825135e-07,1.0588323107185715e-08
1836,1.6936289704005958e-07,1.0081125434435734e-08
1837,2.6300827649095027e-07,1.3915781860163179e-09
1838,1.7169080979151374e-07,1.2624323808552163e-08
1839,2.2302805291474215e-07,1.8876983531868063e-08
1840,1.9236459269933448e-07,6.3696887764308485e-09
1841,1.7849124311908326e-07,4.494383976094696e-09
1842,1.8179398342255126e-07,6.037438549100216e-09
1843,2.3509505986396562e-07,9.451057714215949e-09
1844,1.5916827234008224e-07,1.4270259640625227e-08
1845,1.8582159455604597e-07,1.6182660544927785e-08
1846,1.6392603363613034e-07,2.3418005312692003e-09
1847,1.8714486227366933e-07,7.550513103637968e-09
1848,3.5640332640696215e-07,1.287235473768078e-08
1849,2.295959706799522e-07,1.75967720394965e-08
1850,1.8805518653408626e-07,8.82569484161877e-09
1851,2.6055732860186254e-07,6.449438760824933e-09
1852,1.9922268812422317e-07,7.812654523320361e-09
1853,3.5831590494694865e-07,1.2541057081705276e-08
1854,3.4447256069825016e-07,1.0391329130499116e-08
1855,2.748993566115132e-07,1.0613874223963649e-08
1856,3.1736170846841105e-07,2.174419400091665e-08
1857,4.2566758384765535e-07,1.9526036343364694e-09
1858,4.012814329712455e-07,1.663849857891364e-08
1859,3.304820559435484e-07,1.3748868266105774e-08
1860,3.7487135529090665e-07,1.0985241161165504e-08
1861,3.7397591512444706e-07,1.744906619194353e-08
1862,3.0993384747546315e-07,1.3553959066214816e-09
1863,2.8918854866333277e-07,1.048870412745373e-08
1864,3.317951708936562e-07,1.102787461348953e-08
1865,2.875882021413645e-07,8.001635409815577e-09
1866,2.5106563050769637e-07,4.865612801552288e-09
1867,2.766102511486679e-07,5.338092634588065e-09
