year,caprices_NOUN heureux_ADJ
1800,9.432493897065797e-09
1801,9.524730337773235e-09
1802,2.9091921760482364e-08
1803,5.851017448321727e-09
1804,1.4831105232815389e-08
1805,1.7057265822018053e-08
1806,5.76333825108577e-08
1807,2.2775640928784924e-08
1808,7.024829073998262e-08
1809,1.3554183553310395e-08
1810,3.2761775514700275e-08
1811,4.011322829455821e-08
1812,0.0
1813,1.7254450312975678e-08
1814,1.8880061958270744e-08
1815,8.091670444798638e-09
1816,0.0
1817,1.401186100480345e-08
1818,2.6226590676969863e-08
1819,9.315945348475907e-09
1820,2.3732962262101864e-09
1821,2.070912508145284e-08
1822,1.4035862250239006e-08
1823,1.4824030003524058e-08
1824,1.2631669044083083e-08
1825,9.68598712347557e-09
1826,6.1655889282974385e-09
1827,9.217273055917019e-10
1828,2.7516904310687096e-09
1829,6.001223074036943e-09
1830,2.0873671680021744e-09
1831,0.0
1832,2.705993873419743e-09
1833,0.0
1834,9.334530925997342e-10
1835,3.025235173481633e-09
1836,3.36037508930076e-09
1837,5.5663127440652715e-09
1838,0.0
1839,1.3982950353153e-09
1840,8.280594876453051e-09
1841,1.1556987367100646e-08
1842,6.708265054555795e-10
1843,3.5441467538532834e-09
1844,7.1351298203126134e-09
1845,2.2320911785556063e-09
1846,9.367202125076801e-09
1847,1.6179670936367074e-09
1848,0.0
1849,6.703531951757213e-09
1850,4.752297222410107e-09
1851,1.0319102017319892e-08
1852,6.510545436100301e-09
1853,4.777545470346922e-09
1854,5.195664343204953e-09
1855,2.1227748447927297e-09
1856,5.177189343896771e-09
1857,4.393358121745905e-09
1858,4.893676130990343e-09
1859,5.092173349652285e-10
1860,6.865775947773045e-09
1861,6.6023493339173456e-09
1862,6.776979422085105e-09
1863,1.3485475847119233e-08
1864,1.0548401263577034e-08
1865,5.6482134525026595e-09
1866,3.8924903300596725e-09
1867,3.88224918879132e-09
1868,8.397785578040384e-09
1869,3.906815315701806e-09
1870,6.880858549607183e-09
1871,3.18635318130589e-09
1872,6.047339518033823e-09
1873,1.7958012854535355e-09
1874,5.377148060148329e-09
1875,5.149374260327022e-09
1876,2.418405919968336e-09
1877,6.184816214727107e-09
1878,3.0195443923020093e-09
1879,6.109325489944695e-09
1880,2.5671385017744797e-09
1881,8.367009307619355e-09
1882,1.3310770263785798e-09
1883,2.5277355764075082e-09
1884,5.281357573494461e-09
1885,3.86738152613475e-09
1886,2.5813855497602844e-09
1887,6.528924623161458e-10
1888,0.0
1889,3.132568426877924e-09
1890,1.0487018364813139e-08
1891,0.0
1892,1.8805537127519756e-09
1893,6.158416554491453e-10
1894,0.0
1895,0.0
1896,5.89702897624278e-10
1897,5.826713556089658e-10
1898,7.355861253444118e-09
1899,0.0
1900,1.038210628578895e-09
1901,8.38310842965484e-09
1902,9.820567692386817e-10
