year,as_VERB osé_VERB,as_VERB posé_VERB
1800,5.345079756580162e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,8.727576528144709e-08,0.0
1803,3.315576790896557e-08,0.0
1804,5.9324420931261557e-08,2.4718509461507665e-09
1805,7.675770063997334e-08,0.0
1806,1.729001475325731e-08,0.0
1807,1.7081731584767113e-08,8.540865792383556e-09
1808,3.172503681980743e-08,0.0
1809,4.743964154840796e-08,0.0
1810,4.680253340438867e-08,0.0
1811,4.011322829455821e-08,2.0056614147279106e-08
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,8.496028414128887e-08,3.1466771410748606e-09
1815,2.4275012222574333e-08,2.697223555614414e-09
1816,2.7811246638975717e-08,2.3176038865813098e-09
1817,3.113746771532533e-08,6.227493631882908e-09
1818,1.3113295338484932e-08,0.0
1819,2.3807414706311647e-08,1.0351049795076506e-08
1820,6.051905643289501e-08,4.746592452420373e-09
1821,7.790576006527772e-08,4.930744257336528e-09
1822,9.123310462655354e-08,0.0
1823,6.621399961659336e-08,0.0
1824,6.231623217445303e-08,0.0
1825,5.987701001686219e-08,0.0
1826,2.290075862276808e-08,8.807984341885344e-10
1827,3.3182182335167454e-08,1.8434546111834038e-09
1828,2.2930752408001354e-08,9.172301251858528e-10
1829,3.943661042171698e-08,1.714635211591542e-09
1830,8.34946831673733e-08,5.218417697960831e-09
1831,3.897801548191637e-08,2.494592976631793e-08
1832,2.841293600397421e-08,4.058990921151917e-09
1833,3.01174338801502e-08,0.0
1834,4.760610750054184e-08,6.534171426153534e-09
1835,7.411826175030001e-08,3.025235173481633e-09
1836,7.123995260371885e-08,6.048674894287842e-09
1837,4.0355768504696243e-08,2.0873671680021744e-09
1838,4.229148586887277e-08,2.5248647617104325e-09
1839,3.0063343814390464e-08,7.690622361167243e-09
1840,4.33138822586443e-08,6.369688665408546e-10
1841,4.8154113585496816e-08,0.0
1842,3.4882980060046975e-08,1.2074877098200432e-08
1843,3.4260082770742883e-08,1.4176587015413133e-08
1844,4.006649589882727e-08,5.488561272137815e-10
1845,3.459741293454499e-08,6.696273757711424e-09
1846,3.1614305839866574e-08,9.367202125076801e-09
1847,1.6179670936367074e-08,7.550513103637968e-09
1848,3.218088551193432e-08,8.84974404868899e-09
1849,2.011059585527164e-08,5.865590679832167e-09
