year,soyons_VERB assez_ADV
1800,6.288328968651058e-08
1801,5.238601841206503e-08
1802,3.8043282302169246e-08
1803,2.145373123596528e-08
1804,9.887403784603066e-09
1805,3.1271653710973624e-08
1806,4.3225036883143275e-08
1807,5.693910409831915e-08
1808,5.21197005554086e-08
1809,3.6144488291256494e-08
1810,4.212228121858175e-08
1811,9.777599530025327e-08
1812,4.800974906515876e-08
1813,5.751483289628823e-09
1814,1.5733385705374303e-08
1815,5.933891955578474e-08
1816,1.3905623319487859e-08
1817,4.0478709273372715e-08
1818,4.8876828806498906e-08
1819,6.314140499341647e-08
1820,3.322614716694261e-08
1821,6.114122896860863e-08
1822,4.712039469723095e-08
1823,5.040170203418626e-08
1824,4.0421341829244284e-08
1825,2.6416329346190537e-08
1826,7.310627125889368e-08
1827,3.502563750146237e-08
1828,1.834460228167245e-08
1829,1.5431716793301575e-08
1830,3.861629238599562e-08
1831,3.897801548191637e-08
1832,5.547287429408243e-08
1833,4.865123881536704e-08
1834,4.387229446400909e-08
1835,4.0084366048631637e-08
1836,5.443807715721505e-08
1837,5.148839266055916e-08
1838,4.79724298063644e-08
1839,2.586845804231075e-08
1840,4.7772663602785315e-08
1841,3.467096298948036e-08
1842,4.15912420059783e-08
1843,5.079943665720066e-08
1844,5.762989463420354e-08
1845,6.138250929765832e-08
1846,3.688335858953451e-08
1847,3.721324137728743e-08
1848,3.781254065415851e-08
1849,2.011059629936085e-08
1850,2.851378244628222e-08
1851,4.6435959077939515e-08
1852,2.864639925270751e-08
1853,4.120632901560839e-08
1854,4.052618135519381e-08
1855,4.563965916304369e-08
1856,4.141751563935259e-08
1857,3.221796029961865e-08
1858,3.621320110447357e-08
1859,5.1940167722364095e-08
1860,3.753290833685696e-08
1861,4.951761778393404e-08
1862,5.286043980312627e-08
1863,3.646073132301808e-08
1864,5.513936995882318e-08
1865,4.4244335972720705e-08
1866,3.0166800613073974e-08
1867,3.1543274658929477e-08
1868,3.6061079455862455e-08
1869,3.5161338729494673e-08
1870,5.2179842668920173e-08
1871,3.717412067061332e-08
1872,4.475031101236482e-08
1873,1.556361117760474e-08
1874,3.2262888360889974e-08
1875,3.54734671637047e-08
1876,2.1765653279715025e-08
1877,4.82415639657674e-08
1878,1.9325084199550702e-08
1879,4.15434113776314e-08
1880,3.9790648109772064e-08
1881,3.6954290072443996e-08
1882,4.326000180299161e-08
1883,2.2117686571121453e-08
1884,1.386356363042296e-08
1885,2.7716233086394482e-08
1886,1.871504551331782e-08
1887,3.460330022519997e-08
1888,3.043495055976564e-08
1889,3.132568338060082e-08
1890,2.752842276354528e-08
1891,1.1473595740163489e-08
1892,3.008885940403161e-08
1893,2.7712873884588873e-08
1894,1.575384822594117e-08
1895,2.8889350245364653e-08
1896,2.535722498642201e-08
1897,3.262959591410208e-08
1898,1.584339359705922e-08
1899,3.924580660452648e-08
1900,3.322274011452464e-08
1901,1.7883964087417326e-08
1902,2.1605248479161787e-08
1903,1.9980814336406638e-08
1904,3.493506284257819e-08
1905,3.25127818001647e-08
1906,2.4692084821253957e-08
1907,1.5942813902380948e-08
1908,2.701263968063472e-08
1909,1.4852655549901783e-08
1910,2.5117507407301787e-08
1911,1.3832972878269345e-08
1912,1.8232973686416187e-08
1913,2.8105846094916842e-08
1914,1.2723813336279477e-08
1915,2.591767689352764e-08
1916,3.4061132136997685e-08
1917,2.3029490314740997e-08
1918,2.2972752589112133e-08
1919,1.6574127403856664e-08
1920,1.741613209205184e-08
1921,1.3630945483456003e-08
1922,1.770704471937279e-08
1923,1.4862327812892318e-08
1924,2.3204923316200166e-08
1925,2.859526215814867e-08
1926,2.229227735739414e-08
1927,2.452829506172094e-08
1928,1.2568645235688791e-08
1929,2.1166772334879624e-08
1930,1.7856126355297874e-08
1931,1.8248571542756054e-08
1932,1.3151443933878681e-08
