year,ayons_VERB été_VERB
1800,1.2891074163690064e-07
1801,1.381085894536227e-07
1802,1.2979472785445978e-07
1803,1.9308357934733067e-07
1804,1.2606439270257397e-07
1805,7.391481915419718e-08
1806,1.556101381083863e-07
1807,1.822051274302794e-07
1808,7.704651494577774e-08
1809,1.5587310997489112e-07
1810,1.0998595456612748e-07
1811,7.771937760026049e-08
1812,1.520308643421231e-07
1813,1.6679301495514665e-07
1814,1.4160046646338742e-07
1815,1.3755840200246894e-07
1816,1.0892738089296472e-07
1817,8.56280379935015e-08
1818,1.776255373897584e-07
1819,1.3145833577254962e-07
1820,1.2222476186707354e-07
1821,1.64686852599516e-07
1822,8.822541985864518e-08
1823,1.1266263300058199e-07
1824,1.625274705929769e-07
1825,1.1975402003372437e-07
1826,1.444509365455815e-07
1827,1.2166800900104136e-07
1828,1.155709981048858e-07
1829,7.201467866480016e-08
1830,2.0038724812820874e-07
1831,7.483778574624012e-08
1832,1.3800568865462992e-07
1833,1.8417969727124728e-07
1834,1.0454674281845655e-07
1835,1.4521128832711838e-07
1836,9.274634749090183e-08
1837,1.071515214334795e-07
1838,1.1109405306797271e-07
1839,1.5241415951550152e-07
1840,1.0764773605842493e-07
1841,1.2969508134119678e-07
1842,8.385331540239349e-08
1843,1.287706652419729e-07
1844,1.2733461574043758e-07
1845,1.428538354275588e-07
1846,1.094791741707013e-07
1847,1.1703295399456692e-07
1848,1.1585119352730544e-07
1849,1.080944542763973e-07
1850,1.4732121655924857e-07
1851,1.1737978411474614e-07
1852,1.1067927374597275e-07
1853,1.2660495940508554e-07
1854,1.3196988390973274e-07
1855,7.270503488143731e-08
1856,1.7705987431781978e-07
1857,9.714202775512604e-08
1858,1.512145928472819e-07
1859,1.1406468303221118e-07
1860,1.1854906034614032e-07
1861,1.3534815934690414e-07
1862,1.3689498246094445e-07
1863,1.408483143450212e-07
1864,1.3712921997921512e-07
1865,1.2379000224882475e-07
1866,1.6980989414605574e-07
1867,1.3102591367442074e-07
1868,1.1361710505752853e-07
1869,1.4992403407632082e-07
1870,1.1124054566380437e-07
1871,1.922433057188755e-07
1872,2.0137639467066037e-07
1873,1.1433268554128517e-07
1874,1.2128457171911577e-07
1875,1.390331050288296e-07
1876,1.287801154603585e-07
1877,7.792868217393334e-08
1878,1.020605964185961e-07
1879,7.697749992985337e-08
1880,9.11334154807264e-08
1881,1.2620238010185858e-07
1882,1.1114493503328049e-07
1883,1.1817164136118663e-07
1884,1.4061615161153895e-07
1885,7.605849816627597e-08
1886,9.938334244452562e-08
1887,1.0250411719425756e-07
1888,8.179392807505792e-08
1889,6.641045047217631e-08
1890,1.1404632260791914e-07
1891,1.306715091686783e-07
1892,9.716194426800939e-08
1893,1.1208317829414227e-07
1894,7.183754746620252e-08
1895,7.82419888878394e-08
1896,1.0142889550479595e-07
1897,8.565268672100501e-08
1898,1.3749802008078404e-07
1899,9.065228567806116e-08
1900,9.60344834766147e-08
1901,7.433023085923196e-08
1902,7.610940144786582e-08
1903,8.69435439199151e-08
1904,9.943056511474424e-08
1905,8.20560686065619e-08
1906,7.407625446376187e-08
1907,8.691405639638106e-08
1908,8.496703429727859e-08
1909,9.241652065838935e-08
1910,9.61947108635286e-08
1911,9.044636328781053e-08
1912,8.543450746856251e-08
1913,9.068112660770566e-08
1914,1.118356180995761e-07
1915,1.4372530188211385e-07
1916,1.1756584683553228e-07
1917,1.677862968563204e-07
1918,1.527688056057741e-07
1919,1.0957339213746309e-07
1920,1.665891034008382e-07
1921,1.1056211235427327e-07
1922,1.1214461892450345e-07
1923,1.0191310195750702e-07
1924,1.2375959101973422e-07
1925,9.678396395429445e-08
1926,6.35329868714507e-08
1927,7.358488574027433e-08
1928,6.969884935870141e-08
1929,8.800920880958074e-08
1930,8.823027286553042e-08
1931,1.3914535657022498e-07
1932,1.20554901172909e-07
1933,7.570636739728798e-08
1934,7.907843269094883e-08
1935,8.258115968828861e-08
1936,8.366053094732706e-08
1937,9.443338910841703e-08
1938,1.1020432566510863e-07
1939,9.176430637580779e-08
1940,9.128818589942966e-08
1941,1.121570960549434e-07
1942,8.192371581117186e-08
1943,8.709705667797607e-08
1944,1.1888788975511488e-07
1945,1.481382696510991e-07
1946,1.3085838190818322e-07
1947,1.6808428426884348e-07
1948,1.0980606646171509e-07
1949,7.951776836989666e-08
1950,1.1698897850465073e-07
1951,1.183415605510163e-07
1952,8.330395218081321e-08
1953,1.045061281956805e-07
1954,1.006571253014954e-07
1955,9.197895423085356e-08
1956,7.936238688444064e-08
1957,7.686482916824389e-08
1958,8.768578396711746e-08
1959,9.223389696444428e-08
1960,9.758375085766602e-08
1961,1.0213793899538359e-07
1962,9.766613118245004e-08
1963,7.435961180135564e-08
1964,1.0038547770818695e-07
1965,9.740237061350854e-08
1966,8.197830680956031e-08
1967,7.592716855242543e-08
1968,8.309119436944457e-08
1969,1.0400625427564592e-07
1970,9.611335372028407e-08
1971,7.964516157699109e-08
