year,siècles_NOUN heureux_ADJ
1800,9.432493452976587e-09
1801,5.714838025028257e-08
1802,2.4616241489638924e-08
1803,7.801356893821776e-09
1804,1.9774807569206132e-08
1805,1.9900143755080535e-08
1806,2.0171682990621775e-08
1807,2.8469550272802735e-08
1808,9.064295980465431e-09
1809,4.5180612140427456e-08
1810,2.4103305129585806e-07
1811,3.259199621297171e-08
1812,6.401299756930712e-08
1813,2.300593315851529e-08
1814,5.664018587481223e-08
1815,2.1577788444915313e-08
1816,1.3905623319487859e-08
1817,7.317305128484719e-08
1818,3.814776627919514e-08
1819,7.142224411893494e-08
1820,4.034603762193001e-08
1821,1.193240097840942e-07
1822,1.1529458276982041e-07
1823,4.9413433012013286e-08
1824,6.315834344405857e-08
1825,4.40272158730437e-08
1826,3.963592876132793e-08
1827,3.3182182335167454e-08
1828,3.944089366214598e-08
1829,2.486220973541009e-08
1830,5.635891486832634e-08
1831,1.4032085715598441e-08
1832,2.029495349553656e-08
1833,7.181850003590284e-08
1834,3.173740559248017e-08
1835,6.201732105637348e-08
1836,2.1506400216253496e-08
1837,1.2524203785169163e-08
1838,3.534810733007987e-08
1839,2.027527845616106e-08
1840,1.52872523528913e-08
1841,1.6693427085101575e-08
1842,3.219967270595703e-08
1843,2.2446261849218274e-08
1844,2.6893951121653714e-08
1845,4.073566373108406e-08
1846,7.610851504580296e-09
1847,2.1572894581822766e-08
1848,2.172209789819135e-08
1849,1.0893239199560867e-08
1850,1.3577992064028876e-08
1851,9.674158363282004e-09
1852,1.3021090872200602e-08
1853,3.881755539225651e-08
1854,6.650450323775203e-08
1855,1.2736649068756378e-08
1856,3.8828920301270387e-08
1857,1.9526036343364694e-09
1858,2.397901160966498e-08
1859,1.476730293603623e-08
1860,1.1900678442700041e-08
1861,1.178990971517635e-08
1862,1.8975542942500923e-08
1863,1.4484400345793347e-08
1864,1.678154715190061e-08
1865,1.1767110841276462e-08
1866,2.530118803356629e-08
1867,1.067618526917613e-08
1868,2.568734480679069e-08
1869,1.5627261262807224e-08
1870,1.0894692703544706e-08
1871,1.593176635061866e-08
1872,1.2094678814023041e-08
1873,2.9930022904522957e-09
1874,5.974609251779839e-09
1875,1.0870901845372316e-08
1876,2.418405919968336e-09
1877,1.1751150608141359e-08
1878,6.039088784604019e-09
1879,6.720257683667796e-09
1880,4.492492600149944e-09
1881,6.2752567586699115e-09
1882,9.983077253750139e-09
1883,4.423537092179686e-09
1884,1.5844072720483382e-08
1885,1.160214413431504e-08
1886,7.744156427236248e-09
1887,4.570247291724172e-09
1888,2.53624587998047e-09
1889,1.2530273485467092e-08
1890,0.0
1891,5.099376032546843e-09
1892,7.522214851007902e-09
1893,3.079208221734575e-09
1894,1.8904617871129403e-09
1895,6.018614495673091e-09
1896,1.7691086373616827e-09
1897,8.157399200570126e-09
1898,1.6975064687230201e-09
1899,5.527578395003729e-10
1900,4.15284251431558e-09
1901,3.353243460679778e-09
1902,4.910283846193408e-10
1903,8.640351989441797e-09
1904,4.837162670412454e-09
1905,7.741138396966107e-09
1906,2.572092316910357e-09
1907,1.028568674676933e-09
1908,6.384805573134145e-09
1909,1.1001967337165297e-08
1910,1.60324518105881e-08
1911,4.788336838146279e-09
1912,6.772247651554153e-09
1913,4.772690798127144e-09
1914,6.027069510139427e-09
1915,0.0
1916,2.197492410260793e-09
1917,1.0966424435210342e-09
1918,2.2972752589112133e-09
1919,1.6574126959767455e-08
1920,7.572231730534895e-09
1921,3.7863738810983705e-09
1922,6.640141769764796e-09
1923,1.3800732556745743e-08
1924,3.867487219366694e-09
1925,1.4297631523163545e-08
1926,5.57306911730393e-09
1927,3.3447675740205796e-09
1928,6.8556245125250825e-09
1929,6.684243825105796e-09
1930,9.453243521306831e-09
1931,1.596749932275543e-08
