year,vous_PRON osez_VERB,vous_PRON posez_VERB
1800,6.476979024228058e-07,1.0375742798274246e-07
1801,6.833993921873116e-07,7.619784492263193e-08
1802,7.340115644183243e-07,1.0070280609397742e-07
1803,6.436119619479541e-07,1.1116933773536175e-07
1804,1.1469388283558146e-06,9.145848522962297e-08
1805,6.680762822952602e-07,5.1171799242411e-08
1806,6.483755612407549e-07,1.9883516522156697e-07
1807,5.864727725679586e-07,4.27043254092041e-08
1808,5.347934646238173e-07,1.4502872947019796e-07
1809,6.709320388154083e-07,6.099382532376296e-08
1810,8.447857595683672e-07,1.3572734758326988e-07
1811,8.373636433134379e-07,1.228467603198169e-07
1812,6.53466003086578e-07,6.40129966811287e-08
1813,9.087343642022461e-07,2.8757417114277928e-08
1814,6.8912227391138e-07,4.405347908686963e-08
1815,6.850948111036814e-07,2.5353901023095204e-07
1816,5.840361723130627e-07,9.038655157667108e-08
1817,1.0057402306529184e-06,2.0239354636686357e-07
1818,1.0764823343833996e-06,6.675859420823826e-08
1819,1.0206135101498148e-06,5.382546075516359e-08
1820,9.327054470986695e-07,1.8749040364696157e-07
1821,1.1863370730225142e-06,5.9168929755770705e-08
1822,1.0556973535358338e-06,5.81485721795616e-08
1823,9.764094386355282e-07,3.9530748452420994e-08
1824,8.65690395812635e-07,1.0442179920744366e-07
1825,8.012953287561686e-07,8.98155205764084e-08
1826,7.654138514112674e-07,6.78214817639855e-08
1827,6.406004757764094e-07,6.452091128039683e-08
1828,7.493769942357176e-07,1.329983678743929e-07
1829,6.549906217401258e-07,5.82975960838894e-08
1830,8.589516227175409e-07,8.245100246995207e-08
1831,7.733238334139969e-07,7.639691013139327e-08
1832,7.793262142286039e-07,8.659180572578862e-08
1833,5.965568590227122e-07,7.99270374329808e-08
1834,6.384819286608945e-07,1.7362227611172898e-07
1835,7.321069190879825e-07,1.0285799589837552e-07
1836,5.383320882401676e-07,1.1492482521191505e-07
1837,5.802881091199197e-07,9.045258320128369e-08
1838,5.718818698596806e-07,1.028882423703692e-07
1839,4.5164929218799443e-07,1.503167137428818e-07
1840,5.165817498209435e-07,1.4713981144609534e-07
1841,4.892458065341998e-07,1.3932590547938162e-07
1842,6.1783123328496e-07,1.9588133604031555e-07
1843,6.733878592513065e-07,1.447193227477328e-07
1844,7.288809484862213e-07,1.4105602375025228e-07
1845,6.082448464894696e-07,1.9419193719727446e-07
1846,5.479813154352087e-07,1.762204888677843e-07
1847,3.9532330475822164e-07,1.44538388369142e-07
1848,4.3363744595126263e-07,1.7216774494954734e-07
1849,4.642195818860273e-07,1.7848154065802646e-07
1850,4.535049313858508e-07,1.8941299018138125e-07
1851,4.759685836575045e-07,1.6575057948386984e-07
1852,4.1862807975689975e-07,1.718783977366911e-07
1853,4.729770068934158e-07,1.5646462081519985e-07
1854,7.107669119932325e-07,1.29372049073595e-07
1855,4.654183989316607e-07,1.1993677873078923e-07
1856,4.757837004376597e-07,1.216639491374849e-07
1857,5.418475055307681e-07,1.2203772747909625e-07
1858,5.383043557571909e-07,1.4387407887284098e-07
1859,4.7408133241333417e-07,1.2221215683894116e-07
1860,5.698594023328951e-07,1.5379337270360338e-07
1861,4.5320412311866676e-07,1.942976997071355e-07
1862,3.984863923278681e-07,1.3508778984316905e-07
1863,6.028507542055195e-07,1.4983862595130404e-07
1864,5.605036861311419e-07,2.1240644798581343e-07
1865,5.728229410806307e-07,1.7415324826686174e-07
1866,4.461766991425975e-07,1.3331778792036175e-07
1867,3.2756478418605184e-07,1.698484037859771e-07
1868,3.9222600278776554e-07,1.432563490055827e-07
1869,5.469541406455392e-07,1.8020185521550047e-07
1870,4.982888341942271e-07,1.5653953688854472e-07
1871,4.853878010635526e-07,1.6569036098701417e-07
1872,4.825776827033224e-07,1.717444408910751e-07
1873,4.788803522615126e-07,1.4126970526717741e-07
1874,3.7221813897758693e-07,1.320388616221635e-07
1875,4.1709933640277086e-07,1.6992936036075434e-07
1876,4.3833608742716024e-07,9.431783176694353e-08
1877,5.646736909170613e-07,1.0390491134160129e-07
1878,3.9495639470032984e-07,7.790424216835845e-08
1879,4.2581996240187436e-07,1.2768490087466944e-07
1880,3.3244445063473904e-07,1.0974517117290361e-07
1881,4.0858895999917877e-07,1.2341338706534088e-07
1882,3.880089423091704e-07,1.1380708286878871e-07
1883,4.1518055837741485e-07,1.2006744043446815e-07
1884,3.1424076496477937e-07,1.5117886675852787e-07
1885,2.4622327998713445e-07,1.1537687960583298e-07
1886,3.162197188544269e-07,1.1487165529899812e-07
1887,2.239421199590197e-07,1.0968593144866645e-07
1888,2.1875120026493278e-07,8.052580291462164e-08
1889,2.4371381357468636e-07,1.0588080812112821e-07
1890,1.9794246952642425e-07,1.1273544497925059e-07
