year,tes_DET arts_NOUN,tes_DET parts_NOUN
1800,4.0874138740321087e-08,1.2576657937302116e-08
1801,7.143547975374531e-09,9.524730337773235e-09
1802,2.0140561218795483e-08,1.1189200677108602e-08
1803,1.1702035340732664e-08,1.950339223455444e-09
1804,3.707776552452913e-08,1.4831105232815389e-08
1805,4.5486043376286034e-08,2.842877711017877e-09
1806,6.916005901302924e-08,1.152667650217154e-08
1807,3.9857372513552036e-08,1.7081731584767113e-08
1808,2.945896149242344e-08,4.5321479902327155e-09
1809,2.259030518203531e-08,4.518061036407062e-09
1810,1.4040760554223652e-08,1.4040760554223652e-08
1811,6.769107141479935e-08,0.0
1812,2.1337665412346496e-08,0.0
1813,8.627224934443234e-09,5.751483289628823e-09
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,1.888056444521169e-08,8.091670444798638e-09
1816,2.0858434979231788e-08,4.6352077731626196e-09
1817,1.71256075987003e-08,1.556873407970727e-09
1818,2.8610826152686286e-08,4.768470951432846e-09
1819,1.7596785029105888e-08,8.280840124719191e-09
1820,2.254631326081835e-08,5.933240565525466e-09
1821,4.5362846701202386e-08,4.930744257336528e-09
1822,3.8097340393505874e-08,1.604098542884458e-08
1823,4.5460358144566726e-08,5.929612356680991e-09
1824,1.2631669044083083e-08,8.421112696055388e-09
1825,2.0252519883356968e-08,2.641632912414593e-09
1826,2.8185549671988497e-08,5.284790383086602e-09
1827,3.963427458453239e-08,1.566936447261469e-08
1828,3.210305438150485e-08,2.7516904310687096e-09
1829,1.3717082136821546e-08,3.429270423183084e-09
1830,1.1480519424011959e-08,6.262101504006523e-09
1831,1.247296466111436e-08,0.0
1832,1.2176972319366541e-08,2.705993873419743e-09
1833,9.266902467608418e-09,1.1583628500844156e-09
1834,3.733812548034621e-08,4.667265685043276e-09
1835,9.832014313815307e-09,5.294161553592858e-09
1836,1.545772521094335e-08,3.36037508930076e-09
1837,1.043683617307778e-08,4.87052354003481e-09
1838,1.7674053331973028e-08,5.680945491803868e-09
1839,1.8876982754711946e-08,8.38977065598101e-09
1840,2.420481626241866e-08,1.1465439264668476e-08
1841,2.118780972892864e-08,3.852329122366882e-09
1842,1.542901006956754e-08,2.683306021822318e-09
1843,1.6539350389255247e-08,4.7255288571079745e-09
1844,9.879410234336916e-09,2.195424508855126e-09
1845,1.060243309813913e-08,2.2320911785556063e-09
1846,1.6978053185567887e-08,4.0981511517657054e-09
1847,1.7258315665458213e-08,1.6179670936367074e-09
1848,1.3676876908785829e-08,3.218088684420195e-09
1849,9.217356433666168e-09,2.513824481908955e-09
1850,1.4935791270431764e-08,7.467895635215882e-09
1851,2.0638204034639784e-08,1.2898877521649865e-09
1852,1.6927417911816178e-08,2.6042181744401205e-09
1853,1.3138250265498641e-08,4.180352064508952e-09
1854,8.313063126763609e-09,3.117398783558656e-09
1855,1.6982198758341838e-08,4.2455496895854594e-09
1856,1.6049286344355096e-08,4.659470143053568e-09
1857,1.8061582895967376e-08,5.369659827891837e-09
1858,1.908533653338651e-08,2.4468380654951716e-09
1859,1.6804171831807935e-08,1.018434669930457e-09
1860,1.1900678165144285e-08,3.204028820036342e-09
1861,1.0375120096384194e-08,3.772770984511453e-09
1862,1.6716550060857926e-08,1.3553959066214816e-09
1863,1.598278720482682e-08,4.994620828036034e-10
1864,2.157627665422268e-08,5.753673537611803e-09
1865,1.3649848362717876e-08,2.8241067262513297e-09
1866,1.3623716654809215e-08,1.9462451650298362e-09
