year,aux_ADP anneaux_NOUN,aux_ADP panneaux_NOUN
1800,1.3519907327008696e-07,3.458580977167003e-08
1801,1.1191558257905854e-07,2.3811825400343878e-08
1802,1.879785713754245e-07,5.818384352096473e-08
1803,1.794312112224361e-07,2.5354410126965377e-08
1804,9.39303390623536e-08,2.4718509905596875e-08
1805,1.3930100806192058e-07,4.5486043376286034e-08
1806,7.492339904047185e-08,2.0171682990621775e-08
1807,1.6227644472621705e-07,2.8469551160981155e-09
1808,7.931259204951857e-08,6.798221985349073e-09
1809,1.4457795316502597e-07,5.1957702140725814e-08
1810,1.427477371862551e-07,3.2761775514700275e-08
1811,1.5543875520052097e-07,2.2563691359778204e-08
1812,4.187516857712126e-07,1.8670457180292033e-08
1813,1.581657897986588e-07,2.300593315851529e-08
1814,5.34935111318191e-07,5.034683425719777e-08
1815,1.1598061178119679e-07,1.348611817775236e-07
1816,6.44293859153322e-07,1.1588019432906549e-08
1817,1.9149543106777855e-07,1.401186100480345e-08
1818,9.656153565629211e-08,1.4305413076343143e-08
1819,1.0040518816367694e-07,7.24573512300708e-09
1820,1.6613073228199937e-07,1.898636980968149e-08
1821,1.4693617345074017e-07,2.070912552554205e-08
1822,1.1830226753772877e-07,2.7069162911175226e-08
1823,1.620760627929485e-07,4.941343334508019e-09
1824,2.054751462310378e-07,1.0947446504872005e-08
1825,1.655423345070517e-07,6.075755720758025e-08
1826,1.074574091930458e-07,1.3211976401805714e-08
1827,1.2074627997460397e-07,4.7008093417844066e-08
1828,2.311419962097716e-07,2.384798314380987e-08
1829,1.483159492998709e-07,2.6576845613135447e-08
1830,1.461157055349105e-07,6.157733167810875e-08
1831,1.0757932500382594e-07,2.494593065449635e-08
1832,2.8412936758925866e-07,7.712082350508354e-08
1833,1.471120830709438e-07,3.706761175781281e-08
1834,1.69888461520884e-07,5.694063887062839e-08
1835,1.550433026409337e-07,3.7059130875150004e-08
1836,1.5726554847272922e-07,3.629204980981626e-08
1837,1.5724832858055038e-07,4.383471363667013e-08
1838,1.672722840240226e-07,2.651107955387033e-08
1839,1.5381245455081682e-07,3.845311291605924e-08
1840,1.7962522347314547e-07,2.993753511759678e-08
1841,1.3932590547938162e-07,2.0545754875200828e-08
1842,1.6837745731024256e-07,2.884553929050071e-08
1843,1.4708209050695586e-07,4.6073907356003474e-08
1844,1.9594163280789445e-07,5.982531897652521e-08
1845,2.583645497544751e-07,5.245414325116826e-08
1846,1.8910039845110305e-07,5.386141155305779e-08
