year,ils_PRON osent_VERB,ils_PRON posent_VERB
1800,4.527596786374488e-07,1.8236154364359436e-07
1801,3.3574674063174825e-07,1.357274115321161e-07
1802,2.439245747609675e-07,2.0140561218795483e-07
1803,4.992868340991663e-07,3.1595496352565533e-07
1804,4.5234872203536725e-07,1.038177401824214e-07
1805,2.4733036241286754e-07,1.25086620172965e-07
1806,3.198652720470818e-07,1.0662175853326517e-07
1807,3.7010416775729027e-07,9.964342950752325e-08
1808,1.948823609154715e-07,1.631573338656267e-07
1809,2.959330061003129e-07,1.5587310198128534e-07
1810,3.5803938658318657e-07,1.4508786350120317e-07
1811,3.183987402621824e-07,2.3315813635349514e-07
1812,2.6405361808201633e-07,1.0668833105853537e-07
1813,3.105801056335622e-07,1.0065095512601374e-07
1814,5.569618508616259e-07,2.1082736445521277e-07
1815,6.41939209344855e-07,3.506390644503199e-08
1816,3.406877695510957e-07,1.8540831092650478e-07
1817,4.483795379428557e-07,1.5568733502391296e-07
1818,4.720786250800302e-07,1.6093589039201106e-07
1819,7.42170300327416e-07,1.0247539705687814e-07
1820,5.007655090594199e-07,1.4714436602503156e-07
1821,4.88143676591335e-07,1.3411623811521167e-07
1822,4.5315783836485934e-07,1.7043547018147365e-07
1823,3.666476757757664e-07,1.2649838865286256e-07
1824,4.597927585336947e-07,1.02737577556411e-07
1825,3.2139866590341626e-07,8.189061873054015e-08
1826,4.403992264201406e-07,1.7087489823097712e-07
1827,2.9587446448431365e-07,1.225897356960104e-07
1828,4.971387284058437e-07,8.530239981041632e-08
1829,4.6123687980070827e-07,1.303122765250464e-07
1830,2.786635135976212e-07,2.0664934297087711e-07
1831,3.9133927742796004e-07,1.2161140539035387e-07
1832,4.1131107764158514e-07,1.2853470821028168e-07
1833,3.54459032791965e-07,1.5637897821108027e-07
1834,3.164405999456221e-07,1.4375178025716195e-07
1835,3.9328055834175757e-07,1.2176571573263573e-07
1836,2.842877258046883e-07,1.2433387830412812e-07
1837,2.8109878158488755e-07,1.530735929122784e-07
1838,3.168705191569643e-07,1.4139242665578422e-07
1839,2.3980759777941785e-07,1.3353717598363346e-07
1840,3.2803897909161606e-07,1.5032465050524024e-07
1841,2.850723603842198e-07,1.95184668427828e-07
1842,3.32059116203709e-07,1.1873629190972679e-07
1843,3.183824972552429e-07,1.7602595114851738e-07
1844,2.9912659726960555e-07,1.3117661623596177e-07
1845,2.338115550060138e-07,1.5959452071001579e-07
1846,2.751615610918634e-07,1.7856228851087508e-07
1847,3.640425916273671e-07,1.294373674909366e-07
1848,1.794084525386097e-07,2.1480742873336567e-07
1849,2.0361979125027574e-07,1.3658446107456257e-07
1850,2.6069744762935443e-07,1.3510102547797942e-07
1851,2.2702025148646499e-07,1.1222023132972936e-07
1852,2.0182691429226907e-07,1.7578472721879734e-07
1853,2.329053430116801e-07,1.30188112734686e-07
1854,3.3823775424934865e-07,1.579481967439733e-07
1855,2.2076858741115757e-07,1.2205955002286828e-07
1856,2.391861499972947e-07,1.0716781773112416e-07
1857,2.2064420690526276e-07,1.3717040303617978e-07
1858,2.657266051642182e-07,1.5219332283322728e-07
1859,2.622469210677991e-07,1.3647024310614597e-07
1860,2.3801356618946556e-07,1.2724571263333928e-07
1861,2.6880994141720294e-07,1.5939957265231897e-07
1862,2.886993293316209e-07,1.075280753326524e-07
1863,2.347471799168943e-07,1.8180419836255624e-07
1864,2.8192999934617546e-07,1.7117178430225977e-07
1865,2.7911586997220184e-07,1.1955384948691972e-07
1866,2.4230752515563836e-07,1.4840119888503978e-07
1867,2.0575921411136733e-07,1.703336884872897e-07
1868,1.9957091978994868e-07,1.338705892806047e-07
1869,2.7005859948303623e-07,1.450405164860058e-07
