year,avez_VERB eu_VERB,avez_VERB pu_VERB
1800,1.9368053472135216e-06,9.180960205412703e-07
1801,2.512147602828918e-06,1.1477300176920835e-06
1802,2.246791609650245e-06,9.197523240800365e-07
1803,1.7728583543430432e-06,9.264111326956481e-07
1804,2.867347120627528e-06,1.21120694984711e-06
1805,2.5216324957000325e-06,8.130630249070236e-07
1806,2.8931958695466164e-06,8.817907541924797e-07
1807,1.9074598185397917e-06,7.999943818504107e-07
1808,1.774335942172911e-06,7.251436500155251e-07
1809,2.4374940039706416e-06,7.048175234558585e-07
1810,2.6232821710436838e-06,1.3572735042544082e-06
1811,1.6897697605600115e-06,6.844319386800635e-07
1812,2.107094587699976e-06,7.921608471406216e-07
1813,1.5126400967346854e-06,9.547462695991271e-07
1814,1.9540864286682336e-06,7.929626235636533e-07
1815,1.882661990748602e-06,8.145615311150323e-07
1816,1.9769161099247867e-06,7.879853001213633e-07
1817,2.797701426970889e-06,1.0104108696395997e-06
1818,2.561861037975177e-06,1.0955561720038531e-06
1819,2.3621096261194907e-06,1.12619420633564e-06
1820,2.950007228719187e-06,1.083409756574838e-06
1821,4.243398507242091e-06,1.356940742880397e-06
1822,2.961566906378721e-06,1.0627152278175345e-06
1823,2.855108277799445e-06,1.1157553672092035e-06
1824,2.629071332194144e-06,1.0829551229107892e-06
1825,2.668049319254351e-06,9.659571560405311e-07
1826,2.2522015115100658e-06,9.081031748792157e-07
1827,2.0296436105127214e-06,8.489108722642413e-07
1828,2.7168355245521525e-06,1.0878349030463141e-06
1829,2.062706244032597e-06,1.033067746902816e-06
1830,2.2908855044079246e-06,1.104217176361999e-06
1831,2.7565251912164968e-06,1.2831562798965024e-06
1832,3.180895873811096e-06,1.3529969464798342e-06
1833,2.5657736841822043e-06,1.1305621683277423e-06
1834,2.41951033785881e-06,1.1948200153710786e-06
1835,2.822544502123492e-06,1.2660609627346275e-06
1836,2.754163460849668e-06,1.0712875564422575e-06
1837,2.3002787656878354e-06,1.0645572956491378e-06
1838,2.1145742721273564e-06,9.60079773903999e-07
1839,2.2351746338244993e-06,1.1941439197471482e-06
