year,beaux_ADJ yeux_NOUN
1800,1.8644894907993148e-06
1801,2.5192912289639935e-06
1802,1.7544666661706287e-06
1803,2.2623935365118086e-06
1804,2.597915454316535e-06
1805,2.1406870018836344e-06
1806,1.948008275576285e-06
1807,1.7537244048071443e-06
1808,2.071191602226463e-06
1809,1.6942728962021647e-06
1810,2.6677444111555815e-06
1811,2.4694707008166006e-06
1812,2.768562126220786e-06
1813,3.056913328691735e-06
1814,1.3121643860358745e-06
1815,8.388365131395403e-07
1816,1.2468708519008942e-06
1817,1.7654944031164632e-06
1818,1.8346692058912595e-06
1819,1.6385712342525949e-06
1820,2.2047922811907483e-06
1821,1.8066247093884158e-06
1822,1.7885698753161705e-06
1823,1.888581437015091e-06
1824,1.9772771793213906e-06
1825,2.292056933583808e-06
1826,1.6056955018939334e-06
1827,1.0774991778816911e-06
1828,1.3886864280721056e-06
1829,1.7609303313292912e-06
1830,2.0602312815753976e-06
1831,1.8459987813912448e-06
1832,2.320389739907114e-06
1833,2.0711527213279624e-06
1834,1.5439313756360207e-06
1835,1.6578288750679349e-06
1836,1.78570326170302e-06
1837,1.5279528042810853e-06
1838,1.4865141793052317e-06
1839,1.2263047892702161e-06
1840,1.3510109511116752e-06
1841,1.3855543556928751e-06
1842,1.8219648154627066e-06
1843,1.5948660347930854e-06
1844,1.3523814459404093e-06
1845,1.3710620123674744e-06
1846,1.4044949239178095e-06
1847,1.0209372476310818e-06
1848,1.3507926723832497e-06
1849,1.239315452039591e-06
1850,1.109321942749375e-06
1851,1.1415506833145628e-06
1852,1.5026338360257796e-06
1853,1.5628545497747837e-06
1854,1.4984295830799965e-06
1855,2.0129211861785734e-06
1856,1.68828137248056e-06
1857,1.9760348095587688e-06
1858,1.9804706425929908e-06
1859,1.9991873614344513e-06
1860,2.1517341792787192e-06
1861,1.6713375998733682e-06
1862,1.990172904697829e-06
1863,1.9009527250091196e-06
1864,1.7841182398115052e-06
1865,2.0182949356239988e-06
1866,1.953057108039502e-06
1867,1.6965428812909522e-06
1868,1.8020660945694544e-06
1869,1.927525090650306e-06
1870,1.5848910379645531e-06
1871,1.4646603858636809e-06
1872,1.4918786064299638e-06
1873,1.5826996104806312e-06
1874,1.7356239823129727e-06
1875,1.8446203284838703e-06
1876,1.7194865904457401e-06
