year,mois_NOUN heureux_ADJ
1800,1.5720821977538435e-08
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,2.3404069793286908e-08
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,1.1330369531492579e-08
1809,6.7770917766551975e-09
1810,1.6380887757350138e-08
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.5881675469463516e-08
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,3.113746815941454e-09
1818,0.0
1819,2.070210003424222e-09
1820,3.5599443393152796e-09
1821,9.861488514673056e-09
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,7.924898959288385e-09
1826,5.284790383086602e-09
1827,4.608636583469661e-09
1828,1.3758452155343548e-08
1829,0.0
1830,3.1310507520032616e-09
1831,1.7150327380477393e-08
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,1.8669061851994684e-09
1835,4.5378527602224494e-09
1836,2.016224964762614e-09
1837,2.0873671680021744e-09
1838,1.199310784016916e-08
1839,6.9914749545318955e-09
1840,2.5478754661634184e-09
1841,8.346713542550788e-09
1842,6.708265054555795e-10
1843,8.269675666472409e-09
1844,1.6465684371524958e-09
1845,5.580227835366713e-09
1846,5.854501328173001e-09
1847,3.235934187273415e-09
1848,0.0
1849,1.6758829879393033e-09
1850,6.1100964288129944e-09
1851,1.870337307252612e-08
1852,9.114763388495817e-09
1853,4.777545470346922e-09
1854,3.63696517347023e-09
1855,9.552486801567284e-09
1856,3.1063134287023786e-09
1857,1.0251168802710708e-08
1858,5.872411001917044e-09
1859,1.0693564256314403e-08
1860,3.661747127736703e-09
1861,1.4147890858851042e-08
1862,1.8975542914745347e-08
1863,1.548332484446746e-08
1864,3.835782358407869e-09
1865,2.4004906507002488e-08
1866,5.352174259343201e-09
1867,1.358787216076962e-08
1868,5.927849100473281e-09
1869,1.0743741896135361e-08
1870,1.204150201772336e-08
1871,1.0621176826930423e-08
1872,7.861540751719076e-09
1873,1.3169209722718733e-08
1874,1.4936523129449597e-08
1875,3.032409523484603e-08
1876,4.232210137899983e-09
1877,9.27722432209066e-09
1878,1.1474268646338714e-08
1879,1.832797580370027e-09
1880,2.4387816210946767e-08
1881,1.4642266066289267e-08
1882,7.320923423037584e-09
1883,9.479008689083912e-09
1884,6.601696966868076e-09
1885,1.8047780159236027e-08
1886,4.5174246565693466e-09
1887,1.1752064210668323e-08
1888,1.2047167707862627e-08
1889,1.566284169030041e-08
1890,4.5880703680722945e-09
1891,1.1473596073230397e-08
1892,1.2537024751679837e-08
1893,6.15841644346915e-09
