year,nos_DET ailes_NOUN,nos_DET pelles_NOUN
1800,4.7162465932615305e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,2.4616241489638924e-08,4.923248297927785e-08
1803,3.1205427131197894e-08,0.0
1804,2.7190360185613827e-08,9.887403784603066e-09
1805,7.107194477384837e-08,0.0
1806,8.645007376628655e-09,0.0
1807,3.131650672116848e-08,0.0
1808,2.039466551195801e-08,0.0
1809,4.743964154840796e-08,0.0
1810,2.574139479349924e-08,0.0
1811,3.760615285841595e-08,0.0
1812,1.8670456736202823e-08,2.6672082320544632e-09
1813,3.4508900625951355e-08,0.0
1814,6.608021774212602e-08,0.0
1815,3.506390555685357e-08,1.3486118000116676e-08
1816,4.4034472068688046e-08,4.6352077731626196e-09
1817,7.628679554727569e-08,0.0
1818,1.668964877410417e-08,0.0
1819,1.6561680249438382e-08,0.0
1820,2.610625937649047e-08,4.746592452420373e-09
1821,2.4653719843392707e-08,9.86148829262845e-10
1822,5.514088741165324e-08,0.0
1823,2.1050122711585573e-07,0.0
1824,6.652679207519441e-08,2.5263338088166165e-09
1825,8.101007553662498e-08,1.7610886082763955e-09
1826,1.76159691278599e-08,8.807984341885344e-10
1827,1.087638210606201e-07,1.2904182611350734e-08
1828,1.7427371545863934e-08,7.337841001486822e-09
1829,7.715858307832946e-08,1.714635211591542e-09
1830,8.55820516676431e-08,3.1310507520032616e-09
1831,6.704218780129167e-08,9.354723218280014e-09
1832,2.976593194148336e-08,1.3529969367098715e-09
1833,7.52935847003755e-08,6.950177322551099e-09
1834,9.054494887195119e-08,9.334530925997342e-10
1835,3.554651328840919e-08,7.563087933704082e-10
1836,6.787957396170441e-08,4.704525213838906e-09
1837,4.453050017616533e-08,0.0
1838,6.880256364638626e-08,1.2624323808552163e-09
1839,5.5232654005976656e-08,0.0
1840,4.9683572367342776e-08,6.369688665408546e-10
1841,5.906904743113728e-08,2.5682194149112547e-09
1842,7.244926081284575e-08,1.7441489141845068e-08
1843,4.075768811340197e-08,3.5441467538532834e-09
1844,3.2931367854871496e-08,0.0
1845,5.245414191890063e-08,1.1160455892778032e-09
1846,4.27378594736183e-08,2.9272506640865004e-09
1847,7.06512315318264e-08,4.314578916364553e-09
1848,2.735375304041554e-08,1.126331028444838e-08
1849,5.9493846293889874e-08,1.6758829879393033e-09
1850,5.974316419354864e-08,4.073397619208663e-09
1851,6.126966911601528e-08,6.449438760824933e-10
1852,3.971432604998881e-08,0.0
1853,6.210809289086683e-08,5.3747386541402875e-09
1854,6.858277323829043e-08,5.195664454227256e-10
1855,9.234070574848374e-08,7.429711956774554e-09
1856,1.2891201839337896e-07,0.0
1857,7.956860059721294e-08,0.0
1858,9.102237186198181e-08,0.0
1859,5.9578429301154756e-08,6.110608019582742e-09
1860,7.826984282921501e-08,5.9503392213500206e-09
1861,4.574484901986864e-08,4.715963619617014e-09
1862,4.9246051236906396e-08,1.3553959066214816e-09
1863,3.845858120854473e-08,1.9978483312144135e-09
1864,5.4180426145578053e-08,9.589455896019672e-10
1865,3.9066808454890634e-08,4.706844358715045e-10
1866,5.3521742815476614e-08,4.865612912574591e-10
1867,4.707227141409476e-08,1.94112459439566e-09
1868,3.062721987134864e-08,4.93987406535723e-10
1869,5.0788599437190385e-08,3.4184632902167778e-09
1870,6.880858594016104e-08,5.734048791339319e-10
1871,9.983906945620902e-08,0.0
1872,1.0764263613793901e-07,6.047339295989218e-10
1873,8.200826329129995e-08,0.0
1874,5.0784177918483664e-08,1.7923826867161097e-09
1875,5.321020313253655e-08,0.0
1876,3.6880688503160286e-08,1.209202959984168e-09
1877,5.071549180613033e-08,0.0
1878,4.046189516770937e-08,0.0
1879,3.29903571127943e-08,1.221865053580018e-09
1880,5.1984553328665584e-08,2.5671385017744797e-09
1881,3.207353649337108e-08,2.7890030285249168e-09
1882,7.653692790654532e-08,2.6621540527571597e-09
1883,4.170763850952497e-08,6.319338941018771e-10
1884,7.12983307948889e-08,0.0
1885,6.703461119528242e-08,0.0
1886,4.3238208458085126e-08,1.2906927748801422e-09
1887,5.288428939209666e-08,3.264462256069578e-09
1888,4.2482117379449846e-08,6.340614699951175e-10
1889,5.07476087818759e-08,3.759081934617825e-09
1890,4.7191582197569915e-08,0.0
1891,4.0157587477551715e-08,0.0
1892,3.8864776286118285e-08,6.268512375839919e-09
1893,3.140792537159598e-08,1.2316833108982905e-09
1894,4.0960006941759275e-08,0.0
1895,6.259359075500015e-08,0.0
1896,4.0099798148673926e-08,2.358811590497112e-09
1897,3.088158351260972e-08,5.826713556089658e-10
1898,3.055511754723739e-08,1.6975064687230201e-09
1899,2.04520400615138e-08,5.527578395003729e-10
1900,4.04902144035546e-08,5.191053142894475e-10
1901,2.7384819967224416e-08,0.0
1902,5.155798099565345e-08,4.910283846193408e-10
1903,5.778235734332782e-08,1.0800440541913758e-09
1904,3.009790017216574e-08,1.6123875568041512e-09
1905,5.88326523609517e-08,4.1286072338664326e-09
1906,4.2696733260072506e-08,4.629765903985117e-09
1907,3.702847217734728e-08,1.028568674676933e-09
1908,2.603036253212565e-08,2.9468334439286537e-09
1909,4.620826032919467e-08,1.6502950117569526e-09
1910,5.611358311341519e-08,1.6032452032632705e-09
1911,9.257450739319495e-08,5.320374141248863e-10
1912,6.980624167596261e-08,1.0418842455450772e-09
1913,4.0302720716312024e-08,1.060597942803554e-09
1914,5.960101745472457e-08,4.687720545071272e-09
1915,1.0720493603955106e-07,1.4136914527895783e-08
1916,8.020847519496499e-08,1.0987462051303964e-09
1917,8.992468103485862e-08,6.57985488317081e-09
1918,7.581008354407004e-08,3.44591288836682e-09
1919,1.031279022734033e-07,4.603924352863942e-09
1920,3.7861159984942105e-08,1.514446346106979e-09
