year,ses_DET yeux_NOUN,ses_DET pieux_NOUN
1800,3.450406188676425e-05,5.030663263738688e-08
1801,3.3608010426178225e-05,2.8574191901498125e-08
1802,2.996467912907974e-05,2.6854081625060644e-08
1803,3.191730081653077e-05,1.1702035562777269e-08
1804,3.6257108490644896e-05,8.898663494960601e-08
1805,3.653950864190847e-05,5.685755510853596e-08
1806,2.7900320105800347e-05,2.881669125542885e-08
1807,2.5616901552893978e-05,7.117387923472052e-08
1808,2.9701432595174992e-05,3.852325747288887e-08
1809,2.538472597279906e-05,7.906606613872214e-08
1810,3.952474207835621e-05,3.510190182964834e-08
1811,2.8826368634327082e-05,3.259199843341776e-08
1812,2.6912131033896003e-05,1.0402111882967802e-07
1813,3.0379334930330515e-05,1.4378708002027452e-08
1814,2.5497525143691746e-05,5.664018942752591e-08
1815,2.351709167669469e-05,8.091670622434322e-08
1816,2.675673772500886e-05,3.244645441213834e-08
1817,2.7477259322949976e-05,8.407116247610702e-08
1818,3.165191753851104e-05,6.199012103635937e-08
1819,3.0402068318835518e-05,8.177329391401145e-08
1820,3.261027802636818e-05,6.407899899585345e-08
1821,2.9223534284028574e-05,7.790576006527772e-08
1822,3.093103043738665e-05,5.6143449000956025e-08
1823,2.8087584837521717e-05,2.5694986138802278e-08
1824,3.0324426234074053e-05,7.915846289563433e-08
1825,2.9271052994772617e-05,8.012953145453139e-08
1826,2.7310917516842892e-05,9.1603038043786e-08
1827,2.4136350816661434e-05,8.295545761427547e-08
1828,2.6153899625569466e-05,8.438517262732148e-08
1829,2.669258390142204e-05,5.40110081104217e-08
1830,3.08471114749409e-05,9.184415628027409e-08
1831,2.804078428653156e-05,9.198811934396645e-08
1832,3.4198352295788936e-05,5.817886894465829e-08
1833,3.1413643000632874e-05,7.761030984543282e-08
1834,2.9645537324540783e-05,8.214387126059819e-08
1835,3.165833015827957e-05,8.848812882433776e-08
1836,3.0483977525364025e-05,9.476257867291338e-08
1837,2.8849502314187703e-05,8.349469338142512e-08
1838,2.710189926347084e-05,8.079567592744752e-08
1839,2.691787892672437e-05,8.319855782090713e-08
1840,2.7604320052887488e-05,8.471685619682034e-08
1841,2.719680185236939e-05,1.0786521587036191e-07
1842,2.9066241268083104e-05,8.787827354694855e-08
1843,2.808913404805935e-05,8.565021047957089e-08
1844,3.03308877391828e-05,7.135129953539376e-08
1845,3.0301753554340394e-05,9.151574120735972e-08
1846,2.741311720910744e-05,1.1182097736650576e-07
1847,2.5968371005546942e-05,8.197700118728335e-08
1848,2.4697221988390083e-05,6.114368433784989e-08
1849,2.4393314902226848e-05,5.279031256577582e-08
1850,2.5292405553045683e-05,1.235597286708412e-07
1851,2.3733934881420282e-05,8.19078747049673e-08
1852,2.6593624511406233e-05,1.223982606379792e-07
1853,2.850403097909293e-05,1.009256509476586e-07
1854,2.9359140512497106e-05,8.93654288347534e-08
1855,3.1411229883815395e-05,1.2789718084604829e-07
1856,2.945717051261454e-05,1.1234500840728856e-07
