year,seules_ADJ îles_NOUN,seules_ADJ iles_NOUN,seules_ADJ piles_NOUN
1800,2.5153315874604232e-08,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,0.0,0.0
1803,8.776526527753958e-08,9.75169611727722e-09,0.0
1804,1.2359254952798437e-08,2.4718509461507665e-09,0.0
1805,1.9900143755080535e-08,0.0,0.0
1806,2.305335300434308e-08,0.0,0.0
1807,2.8469551160981155e-09,0.0,0.0
1808,1.8128591960930862e-08,0.0,0.0
1809,1.581321384946932e-08,0.0,2.259030518203531e-09
1810,1.1700633351097167e-08,0.0,0.0
1811,1.2535384286138651e-08,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09,0.0
1813,2.0130190847567064e-08,0.0,0.0
1814,2.5173417128598885e-08,0.0,0.0
1815,3.236668177919455e-08,0.0,0.0
1816,2.5493642752394408e-08,4.6352077731626196e-09,0.0
1817,3.113746771532533e-08,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,0.0,0.0
1819,4.968504185853817e-08,0.0,0.0
1820,3.322614716694261e-08,0.0,0.0
1821,1.3806083387635226e-08,0.0,0.0
1822,7.017931125119503e-09,1.0025615893027862e-09,0.0
1823,3.261286707356703e-08,2.9648061783404955e-09,0.0
1824,1.3473780313688621e-08,8.421112696055388e-10,8.421112696055388e-10
1825,4.842993561737785e-08,0.0,6.163809906922779e-09
1826,4.227832306469281e-08,0.0,8.807984341885344e-10
1827,1.2904182611350734e-08,1.8434546111834038e-09,0.0
1828,1.4675682002973645e-08,9.172301251858528e-10,0.0
1829,1.7146351893870815e-08,8.57317605795771e-10,0.0
1830,2.922314124020886e-08,1.0436835840010872e-09,6.262101504006523e-09
1831,2.0268567268999504e-08,0.0,0.0
1832,3.3824925083081325e-08,1.3529969367098715e-09,9.470978667991403e-09
1833,3.59092489077284e-08,9.266902800675325e-09,0.0
1834,2.42697808516823e-08,1.8669061851994684e-09,0.0
1835,1.1344631900556124e-08,0.0,0.0
1836,3.36037508930076e-09,6.720750067579218e-10,0.0
1837,1.3915781860163179e-09,6.957890930081589e-10,0.0
1838,1.3255539776935166e-08,2.5248647617104325e-09,0.0
1839,1.4682098203877558e-08,2.0974426639952526e-09,0.0
1840,2.165694112932215e-08,1.910906599622564e-09,0.0
1841,3.146068650039524e-08,6.420548537278137e-10,0.0
1842,1.6770663080478698e-08,6.708265054555795e-10,0.0
1843,2.008349753168659e-08,5.906911071384968e-10,0.0
1844,8.781698035420504e-09,1.097712254427563e-09,0.0
1845,1.7298706467272496e-08,1.6740683839167048e-09,0.0
1846,1.7563504428608212e-08,0.0,0.0
1847,2.3190860787281053e-08,1.0786447290911383e-09,0.0
1848,7.24069959545659e-09,0.0,0.0
1849,2.011059585527164e-08,2.513824481908955e-09,0.0
1850,1.2220192857625989e-08,3.394498016007219e-09,0.0
1851,0.0,1.2898877521649865e-09,0.0
1852,1.1718981340891332e-08,6.510545436100301e-10,5.208436348880241e-09
