year,plusieurs_DET oies_NOUN,plusieurs_DET poids_NOUN
1800,0.0,5.0306631749208464e-08
1801,0.0,3.333655484993869e-08
1802,1.5664880947952042e-08,1.767893706983159e-07
1803,0.0,5.460949736857401e-08
1804,0.0,2.9662210465630778e-08
1805,3.1271653710973624e-08,5.401467717547348e-08
1806,0.0,7.204172902675055e-08
1807,5.693910232196231e-09,1.7081731584767113e-08
1808,2.039466551195801e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,2.9367397402779716e-08
1810,2.3401266702194334e-08,6.31834211617388e-08
1811,0.0,2.6825722443390987e-07
1812,0.0,1.0135391192989118e-07
1813,0.0,8.627225156487839e-08
1814,6.293354282149721e-09,0.0
1815,0.0,5.394447111228828e-09
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,1.556873407970727e-09,7.784367039853635e-09
1818,0.0,2.741870730460505e-08
1819,0.0,8.384350280721264e-08
1820,4.746592452420373e-09,7.119888678630559e-09
1821,0.0,1.7750679148775816e-08
1822,0.0,2.7069162911175226e-08
1823,0.0,3.5577674140085946e-08
1824,0.0,1.1789557774477544e-08
1825,1.7610886082763955e-09,1.2327620479979373e-08
1826,0.0,2.554315514657901e-08
1827,3.6869092223668076e-09,1.7512819638909605e-08
1828,0.0,1.0089530988466322e-08
1829,0.0,6.001223074036943e-09
1830,9.39315203396518e-09,2.2961039292113128e-08
1831,0.0,2.182768810143898e-08
1832,1.3529969367098715e-09,1.352996914505411e-08
1833,0.0,1.2741991461950875e-08
1834,1.8669061851994684e-09,1.0267983796552471e-08
1835,2.2689263801112247e-09,9.075705520444899e-09
1836,2.016224964762614e-09,1.5457725766054864e-08
1837,1.3915781860163179e-09,4.174734336004349e-09
1838,1.2624323808552163e-09,3.1560809521380406e-09
1839,0.0,9.088918062616358e-09
1840,0.0,1.0828470564661075e-08
1841,1.926164561183441e-09,1.0914932957462042e-08
1842,0.0,3.219967181777861e-08
1843,6.497602011990011e-09,1.1223130869097986e-08
1844,0.0,1.5916826967554698e-08
1845,5.580227946389016e-10,1.6182660544927785e-08
1846,0.0,1.8148954339380907e-08
1847,0.0,3.074137477909744e-08
1848,8.045221711050488e-10,9.65426583121598e-09
1849,2.513824481908955e-09,2.0948536239018267e-08
1850,0.0,1.9009188889640427e-08
1851,6.449438760824933e-10,6.449438760824933e-09
1852,0.0,3.906327261660181e-09
1853,1.0152284346531815e-08,2.9262466227919504e-08
1854,0.0,7.27393034694046e-09
1855,0.0,2.600399184871094e-08
1856,0.0,1.1907535402144731e-08
1857,0.0,2.0990489346672803e-08
1858,4.893676019968041e-10,2.397901160966498e-08
1859,1.5276520048956854e-09,6.110608019582742e-09
1860,0.0,8.696649789197153e-09
1861,4.715963730639317e-10,1.9335450573976232e-08
1862,9.035972525772706e-10,1.8975543136789952e-08
1863,6.99246927027275e-09,1.548332484446746e-08
1864,4.794727948009836e-10,7.1920918109924514e-09
1865,2.3534221238463715e-09,1.2237795665726026e-08
1866,4.865612912574591e-10,1.1677471434268227e-08
1867,0.0,1.4073153309368536e-08
1868,4.44588676984381e-09,8.89177353968762e-09
1869,0.0,8.30198221279943e-09
1870,0.0,6.880858549607183e-09
1871,0.0,1.1683295220166201e-08
1872,6.047339295989218e-10,1.9351485747165498e-08
1873,5.387403856360606e-09,1.5563610844537834e-08
1874,0.0,1.1949218503559678e-08
1875,1.1443054281912168e-09,5.149374260327022e-09
1876,6.04601479992084e-10,1.1487427897804992e-08
1877,6.184815992682502e-10,1.546203975966165e-08
1878,1.8117265465633636e-09,1.6305540029293297e-08
1879,0.0,2.627009798583657e-08
1880,1.2835692508872398e-09,1.2835692508872398e-08
1881,3.4862537301449947e-09,1.5339516434842437e-08
1882,3.3276925659464496e-09,1.9966154951589488e-08
1883,5.687405213450347e-09,2.0221884611260066e-08
1884,0.0,1.5844072720483382e-08
1885,0.0,2.3204288490674685e-08
1886,6.453463874400711e-10,1.355227396970804e-08
1887,0.0,3.133883907935342e-08
1888,6.340614699951175e-10,5.706553252160518e-08
1889,3.132568426877924e-09,8.144677543509005e-09
1890,0.0,1.6385966361553983e-08
1891,6.374220040683554e-10,2.039750357507586e-08
1892,6.268512375839919e-10,2.3820346362057876e-08
1893,0.0,1.970693297437265e-08
1894,6.301539290376468e-10,1.3233232509790582e-08
1895,1.8055843487019274e-09,1.625025936036195e-08
1896,1.179405795248556e-09,5.897029087265082e-09
1897,0.0,7.574727622916555e-09
1898,5.6583548957434e-10,1.9804242246124204e-08
1899,0.0,1.9899282222013426e-08
1900,1.038210628578895e-09,2.4917054863848875e-08
1901,0.0,1.0059730159994729e-08
1902,6.874397495693074e-09,3.977329754434322e-08
1903,0.0,2.0520837251680746e-08
1904,0.0,1.0211787859759625e-08
1905,5.160759042333041e-10,2.270733984177653e-08
1906,0.0,1.0288369267641428e-08
1907,0.0,4.114274698707732e-09
1908,0.0,1.96455567369469e-08
1909,1.1001967115120692e-09,1.265226234892225e-08
1910,0.0,1.0153886509378651e-08
1911,1.0640748282497725e-09,8.512598737020483e-09
1912,2.0837684910901544e-09,8.856016364688912e-09
1913,1.590896969716482e-09,6.36358749028787e-09
1914,0.0,2.477795146837991e-08
1915,0.0,2.1205371458776767e-08
1916,2.197492410260793e-09,1.538244731591476e-08
1917,0.0,8.773139548168274e-09
1918,0.0,5.743188147278033e-09
1919,0.0,6.4454939163738345e-09
