year,fruits_NOUN heureux_ADJ
1800,7.231578535993322e-08
1801,1.0239084957675004e-07
1802,9.84649659585557e-08
1803,7.996391104825307e-08
1804,1.2853624298259092e-07
1805,8.528633421711618e-08
1806,1.325567744459022e-07
1807,7.686778946691675e-08
1808,9.744118045773575e-08
1809,4.292158095609011e-08
1810,1.287069690825149e-07
1811,1.1031137958639192e-07
1812,9.601949813031752e-08
1813,1.4091134414861983e-07
1814,6.92268957713793e-08
1815,1.2407228666688752e-07
1816,9.502175579712002e-08
1817,6.538868557726119e-08
1818,7.987189087899083e-08
1819,8.901903270075451e-08
1820,8.781196214613374e-08
1821,1.163655607427927e-07
1822,1.012587205195814e-07
1823,1.0673301886754416e-07
1824,9.768490638606409e-08
1825,1.0126259430975892e-07
1826,6.429828403042848e-08
1827,5.069500019772022e-08
1828,5.595103635958054e-08
1829,3.6864658548019236e-08
1830,5.322786211792163e-08
1831,5.9246584527272717e-08
1832,4.0589908545385356e-08
1833,6.834340560146757e-08
1834,5.787409307345115e-08
1835,4.840376277570613e-08
1836,4.435695233340198e-08
1837,2.99189295560609e-08
1838,6.438405053543761e-08
1839,4.2647997355871325e-08
1840,6.560779580722098e-08
1841,6.163726595787011e-08
1842,7.177843741601464e-08
1843,8.387813399401978e-08
1844,7.958414127706703e-08
1845,6.249855033502172e-08
1846,4.742146231251354e-08
1847,3.5055954583640414e-08
1848,6.597081636527946e-08
1849,1.6758828991214614e-08
1850,5.4311969144293926e-08
1851,5.159551008659946e-08
1852,4.427170852139284e-08
1853,3.941475057445132e-08
1854,5.455447649183043e-08
1855,4.988520885262915e-08
1856,7.921099864915959e-08
1857,4.246912865824015e-08
1858,4.795802321932996e-08
1859,3.7172863898149444e-08
1860,5.172217951154856e-08
1861,5.1875602480322414e-08
1862,6.912519268098549e-08
1863,4.545104914654985e-08
1864,5.3700954016910885e-08
1865,3.388927893865912e-08
1866,4.4763637518929755e-08
1867,3.88224918879132e-08
1868,3.556709415875048e-08
1869,3.955650385023546e-08
1870,2.8670243512607385e-08
1871,3.080141297573391e-08
1872,3.567930118020257e-08
1873,1.3767810003173508e-08
1874,2.9275584956245382e-08
1875,3.1468399441791917e-08
1876,3.204387866162506e-08
1877,2.9068635498674666e-08
1878,2.2344627370607384e-08
1879,2.2604503158163425e-08
1880,3.3372799634889816e-08
1881,4.392679642251096e-08
1882,3.4608003574021495e-08
1883,2.8437025179073316e-08
1884,2.772712726084592e-08
1885,1.6114089618213256e-08
1886,2.19417763958063e-08
1887,1.3710741875172516e-08
1888,2.4094335415725254e-08
1889,1.6915869593958632e-08
1890,3.1461055982617836e-08
1891,1.784781566982474e-08
1892,2.005923960268774e-08
1893,2.5249507373814595e-08
1894,1.7014155417882648e-08
1895,1.625025980445116e-08
1896,2.240870955461105e-08
1897,1.5732126712464378e-08
1898,1.6975064909274806e-08
1899,1.7688250864011934e-08
1900,1.764958135197503e-08
1901,2.3472702892490815e-08
1902,2.9461704187383475e-09
1903,1.83607493653426e-08
1904,8.599400302955473e-09
1905,2.4255568220610257e-08
1906,1.388929860013377e-08
1907,1.2342823652033985e-08
1908,1.276961114626829e-08
1909,1.0451868703853506e-08
1910,1.336037680488289e-08
1911,1.8089272302290738e-08
1912,1.8753916364300238e-08
1913,1.8030165804816534e-08
1914,8.036092680185902e-09
1915,1.767114277129167e-08
1916,3.2962386153911893e-09
1917,6.57985488317081e-09
1918,2.2972752589112133e-08
1919,3.6831393490643904e-09
1920,2.2716695191604686e-09
1921,6.058197943303867e-09
1922,8.115729421831475e-09
1923,6.369568872344189e-09
1924,6.445812328337297e-09
1925,3.299453377181294e-09
1926,7.802296586589819e-09
1927,3.3447675740205796e-09
1928,7.998228745975666e-09
1929,2.2280811862174232e-08
1930,6.302162347537887e-09
1931,7.983749661377715e-09
1932,4.383814644626227e-09
1933,4.588264879146209e-09
1934,1.4377896206951846e-08
1935,2.393656828303392e-09
1936,1.091224355320719e-08
1937,8.813782592653752e-09
1938,0.0
1939,6.117620188206274e-09
1940,1.2678914806940611e-08
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,9.639558484764166e-09
1945,2.178504043826024e-09
1946,1.5313215584455975e-08
1947,1.0728784083369192e-08
1948,1.3046265401328583e-08
1949,4.908504269707237e-09
1950,1.3825969702452312e-08
1951,7.462981344019681e-09
1952,0.0
1953,7.54167928107563e-09
1954,0.0
1955,5.631364707880948e-09
1956,1.308171238001421e-08
1957,7.951534097827562e-09
