year,premiers_ADJ anneaux_NOUN,premiers_ADJ panneaux_NOUN
1800,4.62192190298083e-07,3.144164484325529e-09
1801,4.309940493385511e-07,0.0
1802,5.594600338554301e-07,0.0
1803,9.829709597397596e-07,0.0
1804,6.649278816439619e-07,0.0
1805,3.3261667908845993e-07,0.0
1806,1.0085842205853623e-07,0.0
1807,1.1387820109121094e-07,2.8469551160981155e-09
1808,2.628645745517133e-07,0.0
1809,3.862942321575247e-07,0.0
1810,4.914266327205041e-08,0.0
1811,3.9611813917872496e-07,0.0
1812,6.668020802180763e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,1.6362720600682223e-07,0.0
1815,1.9420009778059466e-07,0.0
1816,7.903029199951561e-07,0.0
1817,6.943655534996651e-07,0.0
1818,3.4332990139773756e-07,0.0
1819,2.7430283466856054e-07,0.0
1820,1.6494408328071586e-07,0.0
1821,1.64686852599516e-07,9.86148829262845e-10
1822,1.9249182514613494e-07,0.0
1823,1.8381797417532653e-07,0.0
1824,1.4652735558229324e-07,8.421112696055388e-10
1825,2.3510533253556787e-07,1.7610886082763955e-09
1826,1.814444772207935e-07,0.0
1827,2.3780565072684112e-07,9.217273055917019e-10
1828,3.0543762363777205e-07,8.255071293206129e-09
1829,2.726270054154156e-07,0.0
1830,3.12061388285656e-07,1.0436835840010872e-09
1831,1.7773975002910447e-07,0.0
1832,6.805574344070919e-07,0.0
1833,2.490480142114393e-07,0.0
1834,3.565790791526524e-07,9.334530925997342e-10
1835,1.4521128832711838e-07,0.0
1836,2.527002038732462e-07,0.0
1837,3.2354193990613567e-07,1.3915781860163179e-09
1838,3.1497688723902684e-07,0.0
1839,2.1673572803138086e-07,4.194885327990505e-09
1840,5.560738145504729e-07,0.0
1841,2.4654906383148045e-07,0.0
1842,1.9990629596122744e-07,6.708265054555795e-10
1843,1.9729083078345866e-07,5.906911071384968e-10
1844,1.888065099819869e-07,3.841992946007622e-09
1845,1.4508592016682087e-07,5.580227835366713e-09
1846,1.9202764178771758e-07,3.5127007969038004e-09
1847,1.2728007448004064e-07,1.6179670936367074e-09
1848,1.2389641312893218e-07,3.218088684420195e-09
1849,2.2289243872819497e-07,5.02764896381791e-09
1850,2.3625706546681613e-07,1.1541293254424545e-08
1851,1.3995281733514275e-07,7.094382858952031e-09
1852,4.5638924461854913e-07,1.9531636308300904e-09
1853,2.01851293013533e-07,1.1943863675867306e-09
1854,1.387242463124494e-07,2.0782657816909023e-09
1855,1.4487937960439012e-07,0.0
1856,7.972871429728912e-08,5.177189232874468e-10
1857,2.3187168096683308e-07,4.881509085841174e-10
1858,1.7861917456230003e-07,0.0
1859,1.889196283855199e-07,3.055304009791371e-09
1860,2.041423954324273e-07,7.323494255473406e-09
1861,1.7260427398468892e-07,8.960331143725853e-09
1862,9.081152541057236e-08,3.6143890103090826e-09
1863,1.218687515347483e-07,4.994620828036034e-10
1864,1.7117179140768712e-07,9.589455896019672e-10
1865,2.433438623938855e-07,2.8241067262513297e-09
1866,2.247913215569497e-07,1.4596839292835284e-09
1867,1.5237827710734564e-07,1.455843445796745e-09
1868,3.3294750778622983e-07,0.0
1869,1.533424978106268e-07,5.860222973552709e-09
1870,1.7775550986698363e-07,8.027668307875047e-09
1871,2.0074024575933436e-07,2.1242354542039266e-09
1872,3.114379865110095e-07,2.4189357183956872e-09
1873,1.759885321916954e-07,4.788803575905831e-09
1874,3.525019280914421e-07,1.1949218503559678e-08
1875,1.773673403704379e-07,1.716458086775674e-09
1876,2.0616910489934526e-07,0.0
1877,2.2574577940304152e-07,6.184815992682502e-10
1878,2.457909147324244e-07,1.2078177347163432e-09
1879,2.7003218860954803e-07,6.109325489944695e-09
1880,2.419527902475238e-07,3.8507077526617195e-09
1881,2.4682677235432493e-07,2.7890030285249168e-09
1882,2.4891139105420734e-07,0.0
1883,1.8642049326444976e-07,7.58320695126713e-09
1884,1.6372209188375564e-07,4.621187876807653e-09
1885,1.611408890767052e-07,1.2891271383708158e-09
1886,1.9747599822039774e-07,7.098810428374236e-09
