year,leurs_DET anneaux_NOUN,leurs_DET panneaux_NOUN
1800,1.477757365364596e-07,3.772997558826319e-08
1801,2.6907362138395285e-07,2.1430643926123594e-08
1802,1.7902721083373763e-07,1.1189200677108602e-08
1803,4.1737258271723476e-07,5.851017448321727e-09
1804,3.7819320719556515e-07,9.887403784603066e-09
1805,2.6723051860244595e-07,3.695741046527701e-08
1806,3.659719709503406e-07,2.5935023018064385e-08
1807,1.7366426163789583e-07,0.0
1808,1.495608836776796e-07,1.1330369531492579e-08
1809,1.7846341471283722e-07,5.873479480555943e-08
1810,2.386929338626942e-07,4.680253518074551e-09
1811,9.526891631139733e-08,2.5070767684098882e-09
1812,4.5342538612658245e-08,0.0
1813,1.8979895344273245e-07,0.0
1814,5.192017544786154e-07,6.293354282149721e-09
1815,1.2676951022250194e-07,1.0788894000413052e-08
1816,3.939926500606816e-07,1.3905623319487859e-08
1817,1.774835741708003e-07,0.0
1818,2.0504425091161238e-07,4.768470951432846e-09
1819,2.028805857756666e-07,1.2421260464634543e-08
1820,8.781196214613374e-08,1.1866481131050932e-09
1821,1.1439326641493608e-07,5.9168927535324656e-09
1822,1.1529458276982041e-07,0.0
1823,4.3483822431689134e-08,4.941343445530322e-09
1824,1.3894836481398443e-07,7.57900142644985e-09
1825,1.3384272956606935e-07,2.8177417732422327e-08
1826,1.453317466371118e-07,5.284790383086602e-09
1827,1.1152900175614988e-07,1.013900075008678e-08
1828,1.3941898169278488e-07,1.3758452155343548e-08
1829,1.0545006290385572e-07,2.2290258527846163e-08
1830,1.2315466646484197e-07,8.349468672008697e-09
1831,8.575163690238696e-08,9.354723218280014e-09
1832,1.7183061462588967e-07,4.464889968858188e-08
1833,1.8881314756136192e-07,1.7375443306377747e-08
1834,1.5868702640808863e-07,2.9870498963191494e-08
1835,1.3840450208135735e-07,7.563087933704082e-09
1836,1.431519773831269e-07,2.755507466645213e-08
1837,1.5237781680887963e-07,1.2524203896191466e-08
1838,1.6727228580037945e-07,2.0830134062066463e-08
1839,1.349354770141531e-07,6.292327547896548e-09
1840,1.2293499462856516e-07,1.3376346252869098e-08
1841,1.0529699778771828e-07,2.5682195037290967e-08
1842,8.720744260060087e-08,1.341653010911159e-08
1843,1.228637533934318e-07,1.0041748765843295e-08
1844,1.728896743546926e-07,2.3051957009911916e-08
1845,1.43969876020833e-07,3.2923345827384765e-08
1846,1.896858374816901e-07,1.5807152919933287e-08
1847,1.1865092108820363e-07,2.6426795862732888e-08
1848,1.0136979078367858e-07,2.091757700384278e-08
1849,8.965974118702036e-08,1.0893239199560867e-08
1850,1.357799135348614e-07,2.1724787302446202e-08
1851,1.2640900282079315e-07,9.674158363282004e-09
1852,2.3047330799386145e-07,8.463708844885787e-09
1853,9.435652592593158e-08,1.970737528722566e-08
1854,1.2105898861136666e-07,1.454786069388092e-08
1855,1.1144567935161831e-07,3.290301009428731e-08
1856,1.3305376328487384e-07,4.2970672353703776e-08
1857,1.5376752937612537e-07,2.5383847246374103e-08
