year,aurions_VERB eu_VERB,aurions_VERB pu_VERB
1800,3.018398047061055e-07,1.0910250693996204e-06
1801,3.405091035801888e-07,7.786467222103965e-07
1802,3.0210841828193225e-07,8.615684237156529e-07
1803,1.794312112224361e-07,6.533636565109191e-07
1804,2.84262853256223e-07,6.921182489350031e-07
1805,1.5635826855486812e-07,6.652333581769199e-07
1806,2.1900684998854558e-07,8.87554108430777e-07
1807,1.6512339584551228e-07,8.426987392340379e-07
1808,1.7222161829977267e-07,7.863276891839632e-07
1809,2.0783080856290326e-07,8.04214892013988e-07
1810,2.667744638529257e-07,1.1279411182840704e-06
1811,1.7298829391165782e-07,8.198140903914464e-07
1812,1.440292436427626e-07,8.481721920361451e-07
1813,4.112310421078291e-07,8.080834277279791e-07
1814,3.681612383843458e-07,1.1296571074126405e-06
1815,2.3196122356239357e-07,1.0168532753596082e-06
1816,3.3605255111979204e-07,9.432648084839457e-07
1817,3.1293154734157724e-07,1.2626243233171408e-06
1818,2.6345801984462014e-07,8.702459695086873e-07
1819,2.598113439944427e-07,1.030964540404966e-06
1820,2.7411570613367076e-07,9.88477836472157e-07
1821,2.98803087162014e-07,1.1488633617773303e-06
1822,2.2858404236103524e-07,9.534360856378044e-07
1823,3.9036612520249037e-07,9.349021752314002e-07
1824,3.772658487832814e-07,8.859010449668858e-07
1825,1.9283920948964806e-07,9.91492925095372e-07
1826,1.3388135755576513e-07,1.1080444437538972e-06
1827,2.037017310385636e-07,1.0175868965234258e-06
1828,3.191960900039703e-07,1.3327353372005746e-06
1829,2.417635585061362e-07,9.593384220352164e-07
1830,2.776198471110547e-07,1.245114503944933e-06
1831,3.9289838582590164e-07,1.3221342669567093e-06
1832,2.489514372427948e-07,1.051278673003253e-06
1833,3.822597420821694e-07,1.4966047956477269e-06
1834,2.959046412343014e-07,1.1360124290149543e-06
1835,3.6680975767922064e-07,1.340935455118597e-06
1836,2.795831903767976e-07,1.0188657597609563e-06
1837,2.574419681877771e-07,1.0861267583095469e-06
1838,2.4112458163472184e-07,9.670231975178467e-07
1839,3.334933751375502e-07,1.0270476877849433e-06
1840,2.6497903604649764e-07,1.095586412702687e-06
1841,3.171751075115026e-07,1.2314611694819178e-06
1842,3.038844056391099e-07,1.136380092248146e-06
1843,2.386392168318707e-07,1.1742939705072786e-06
1844,2.0911419085223315e-07,9.956249868992018e-07
1845,3.0077427481955965e-07,1.1283220828772755e-06
1846,2.640380216689664e-07,1.1410422757762717e-06
1847,2.9932391498732613e-07,1.0942850394712877e-06
1848,2.9204153406681144e-07,1.3153937743481947e-06
1849,3.1590394655722775e-07,1.3926587598689366e-06
1850,2.980369231408986e-07,1.2389917856125976e-06
1851,2.6313711032344145e-07,1.0673820725060068e-06
1852,2.4023913169912703e-07,1.0377809758210788e-06
1853,2.645565757575241e-07,1.0809196737682214e-06
1854,3.579812926091108e-07,1.0245850035062176e-06
1855,2.695924194995314e-07,1.099066707865859e-06
1856,2.72320164640405e-07,1.050451714945666e-06
1857,3.050943178095622e-07,1.2164720146756736e-06
1858,3.1221654239743657e-07,1.1270135473750997e-06
1859,3.2182535392166756e-07,1.195133108922164e-06
1860,3.3001495580720075e-07,1.3118209380991175e-06
1861,3.414357649944577e-07,1.1860648783112993e-06
1862,2.909583258769999e-07,1.2072059689671732e-06
1863,2.6970951694238465e-07,1.019901560539438e-06
1864,3.893319160397368e-07,1.1545704410309554e-06
1865,3.4454100727998593e-07,1.1461165740911383e-06
1866,2.559312406447134e-07,1.0324830554964137e-06
1867,3.2028555096985656e-07,8.798147064226214e-07
1868,2.855247203115141e-07,1.1435809028625954e-06
1869,3.594270197027072e-07,1.134441504291317e-06
