year,nos_DET arts_NOUN,nos_DET parts_NOUN
1800,6.38265364116819e-07,0.0
1801,9.45329502677339e-07,9.524730337773235e-09
1802,8.682819725436275e-07,4.475680270843441e-09
1803,6.221581958509859e-07,0.0
1804,6.822308380449726e-07,6.426812149129546e-08
1805,6.026900787325928e-07,0.0
1806,9.394241118343416e-07,1.152667650217154e-08
1807,1.207109001200024e-06,5.693910232196231e-09
1808,1.2644693296870457e-06,1.8128592405020072e-08
1809,8.539135638585549e-07,9.036122072814123e-09
1810,8.424456368061328e-07,1.4040760554223652e-08
1811,8.549131917945374e-07,0.0
1812,7.734904023948275e-07,5.3344164641089264e-09
1813,9.576219959228638e-07,2.300593315851529e-08
1814,6.765356008742174e-07,3.1466771410748606e-09
1815,7.902865224451716e-07,5.394447111228828e-09
1816,5.608601494344612e-07,0.0
1817,8.329272809248778e-07,4.670620223912181e-09
1818,8.845513477240274e-07,2.384235475716423e-09
1819,9.885252687524826e-07,4.140420006848444e-09
1820,8.342135995320632e-07,0.0
1821,6.784703837636741e-07,6.903041582795311e-09
1822,6.747239353899204e-07,1.0025615893027862e-09
1823,6.858584820079727e-07,9.882686669016039e-09
1824,7.107419053298258e-07,1.0947446504872005e-08
1825,1.0804278349763052e-06,4.402721520690989e-09
1826,9.644742933190287e-07,8.807984341885344e-10
1827,9.005275920515032e-07,4.608636583469661e-09
1828,6.136269755652179e-07,6.420610709767516e-09
1829,6.455601662125332e-07,1.62890345656308e-08
1830,6.387343500779963e-07,1.461157062010443e-08
1831,5.987022868580993e-07,1.7150327380477393e-08
1832,7.63090292288382e-07,8.11798166466815e-08
1833,8.652970500122592e-07,8.108539617524002e-09
1834,6.608848170941428e-07,1.120143711119681e-08
1835,5.052142952877148e-07,1.1344631900556124e-08
1836,5.699196027886266e-07,9.409050427677812e-09
1837,5.350618107469174e-07,4.870523429012508e-09
1838,5.396898217213675e-07,1.3255539776935166e-08
1839,3.873277290011856e-07,4.894032845648155e-09
1840,4.758157468032209e-07,1.0828470564661075e-08
1841,7.300163495926881e-07,1.0914932957462042e-08
1842,4.0853334271062636e-07,3.3541325272778977e-09
1843,5.564310487926605e-07,5.906910960362666e-09
1844,4.4841545054907783e-07,4.390849017710252e-09
1845,3.5434446576942946e-07,8.928364547688972e-09
1846,4.2562225166520307e-07,1.2294452567118697e-08
1847,3.6296395222734645e-07,5.9325460100012606e-09
1848,3.588168988599705e-07,4.02261068899179e-09
1849,3.9383250038937945e-07,7.54147322368226e-09
1850,3.5031218370562556e-07,2.0366988096043315e-09
1851,3.173123972466385e-07,1.5478653025979838e-08
1852,4.2904493113837816e-07,9.114764054629632e-09
1853,3.881755823442745e-07,5.3747386541402875e-09
1854,3.7408784853143473e-07,8.313063126763609e-09
1855,3.1045581394550936e-07,1.8574279891936385e-08
1856,3.8259427448394945e-07,8.801221695886596e-09
1857,3.5781460994144254e-07,5.36965993891414e-09
1858,3.298337523105488e-07,6.8511463169329545e-09
1859,4.450559367707996e-07,9.165912029374113e-09
1860,3.5610490378701343e-07,8.696649622663699e-09
1861,3.923681894946185e-07,1.1789909493131745e-08
1862,3.478849368854231e-07,5.421583626485926e-09
1863,4.2154599866339737e-07,1.048870412745373e-08
1864,4.176208174833107e-07,1.4863656971897399e-08
1865,2.767624440735972e-07,4.706844247692743e-09
1866,2.899905249265089e-07,1.265059373922739e-08
1867,3.6541671555312405e-07,1.649955905236311e-08
1868,4.3372093450066984e-07,1.086772305480821e-08
1869,2.7787222955932833e-07,3.4184634012390802e-09
1870,2.471375095680628e-07,1.6628741050794815e-08
1871,2.3260377846057168e-07,1.805600113868877e-08
1872,2.6305926326131157e-07,1.3908880269752899e-08
1873,2.3824298089891727e-07,1.1972009161809183e-08
1874,2.4973865864197364e-07,1.1949217948448165e-08
1875,2.7692190007755357e-07,1.4303818018923664e-08
1876,2.714660718439177e-07,2.418405919968336e-09
1877,2.591437890941961e-07,3.3398006138440905e-08
1878,2.947075388171072e-07,1.2682086436566209e-08
1879,2.1565918462140843e-07,2.3215436684154156e-08
1880,3.131909105391628e-07,1.0268554229142524e-08
1881,2.2521199100067335e-07,2.022027167924989e-08
1882,1.956683171044915e-07,1.1979693681496428e-08
1883,2.8437024701677416e-07,1.4534479397809719e-08
1884,3.2678400785357553e-07,4.621187876807653e-09
1885,1.643637115300578e-07,7.090199094506033e-09
1886,1.664993745098542e-07,1.936039240035825e-08
1887,1.717107175336352e-07,2.6115697659978565e-08
1888,1.9148657059986363e-07,7.60873763994141e-09
1889,2.2366537866247427e-07,1.0024218566329068e-08
1890,1.8942176299718838e-07,7.865263995654459e-09
1891,2.8301537646768793e-07,3.824531802365527e-09
1892,1.748914986166028e-07,5.014809900671935e-09
1893,1.8598417833581848e-07,1.2932674486876294e-08
1894,1.8022402148432093e-07,1.5753848447985774e-08
1895,1.8296587511734685e-07,1.745398137131815e-08
1896,2.4118848918064373e-07,1.47425724961181e-08
1897,1.6606134012331353e-07,5.826713556089658e-09
1898,2.1671498950937007e-07,6.7900258748920805e-09
1899,1.86279388358912e-07,3.8693048765026106e-09
1900,1.8428239145773517e-07,6.22926377147337e-09
1901,1.7660414708409178e-07,9.500856101851696e-09
1902,1.4976366036201227e-07,7.365425602756659e-09
1903,2.068284372658269e-07,1.674068350610014e-08
1904,1.8649949851123893e-07,1.289910045443321e-08
1905,1.6411214098788207e-07,1.8062656703676794e-08
1906,2.0782504761562848e-07,4.629765903985117e-09
1907,1.4708531348439635e-07,8.74283373475393e-09
1908,2.2395934617946978e-07,2.161011281032188e-08
1909,2.123379602703146e-07,9.901770070541716e-09
1910,1.945270775571828e-07,1.3360376582838285e-08
1911,2.2132757115933543e-07,1.276889793899727e-08
1912,2.443218523051627e-07,1.2502610502451716e-08
1913,2.7469486241216146e-07,9.545381873810044e-09
1914,2.1697449303914595e-07,3.3483718020477227e-09
1915,2.8038212462888623e-07,1.4136913861761968e-08
1916,2.9446398785992756e-07,8.789969641043172e-09
1917,3.476356527087887e-07,1.4256351654751143e-08
1918,2.7682167580422856e-07,1.1486376294556067e-08
1919,2.495326918983132e-07,6.4454939163738345e-09
1920,2.370108482807609e-07,6.815008557481406e-09
1921,2.582306929399536e-07,8.330022227553968e-09
1922,2.670812599414596e-07,1.1804696775641332e-08
1923,2.0594939131868273e-07,4.246379248229459e-09
1924,2.1657929716312196e-07,1.0313299547703991e-08
1925,2.3206155774779802e-07,1.3197813508725176e-08
1926,1.6607746755603614e-07,2.229227691330493e-09
1927,2.2632926510723905e-07,1.4493992672726108e-08
1928,2.3766165035965514e-07,3.4278122562625413e-09
1929,1.8604478202455255e-07,1.8938690837799754e-08
1930,1.8696414416652374e-07,9.453243521306831e-09
1931,1.779235621057751e-07,3.4216069977333063e-09
1932,1.600092351949911e-07,3.287861094491973e-09
1933,1.812364562869817e-07,4.588264879146209e-09
1934,1.5815686538189766e-07,7.188948103475923e-09
1935,1.7952426389911125e-07,4.787313656606784e-09
1936,1.4185916663578269e-07,7.274828739411987e-09
1937,1.3976141044480528e-07,1.0072894518486919e-08
1938,1.750303919578755e-07,2.5930428915188486e-09
1939,2.3246956271094632e-07,3.058810094103137e-09
1940,1.6736167895992082e-07,0.0
1941,2.5382921808869696e-07,1.1806010391524069e-08
1942,2.518395767481252e-07,2.7307905936524435e-08
1943,1.9741999435218816e-07,2.0322646676618206e-08
1944,1.9279117680071067e-07,0.0
1945,1.4378126955705284e-07,1.5249528306782167e-08
1946,2.422272178392859e-07,8.352662561605939e-09
1947,1.6570010674676894e-07,1.0728783861324587e-08
1948,1.435089145296331e-07,9.784699273041042e-09
1949,1.1093219054458814e-07,1.2762110479513922e-08
1950,1.2868787369058055e-07,2.4461330738745346e-08
1951,1.6951628722949863e-07,6.396841278899501e-09
1952,1.0861147803353788e-07,9.490323193972472e-09
1953,1.1743471595160315e-07,6.464296320451979e-09
1954,1.3388374320300045e-07,1.3681550781186047e-08
1955,1.1638153951665231e-07,4.6928039232341234e-09
1956,1.2558443907018102e-07,1.9186511268642903e-08
1957,1.1573899194594617e-07,1.76700756249204e-08
1958,8.189520706025633e-08,1.4062814024384807e-08
1959,1.426137536952865e-07,6.200598257066758e-09
1960,1.2249874936642868e-07,8.997083078554624e-09
1961,1.0074831191531075e-07,1.0422239238305764e-08
1962,1.4205982745707502e-07,1.0147130247162295e-08
1963,1.5130564090526377e-07,1.0992290633282664e-08
1964,1.308053247939256e-07,7.909158661334459e-09
