year,auriez_VERB été_VERB
1800,3.175606195782166e-07
1801,3.952763165671058e-07
1802,2.394488944901241e-07
1803,3.6861410990240984e-07
1804,4.3998946352985513e-07
1805,3.4683108651734074e-07
1806,5.244637577561662e-07
1807,3.188589801084163e-07
1808,2.1074488643080258e-07
1809,4.0436646031594137e-07
1810,5.078074991615722e-07
1811,1.9555199060050654e-07
1812,4.3742215893871617e-07
1813,2.3005932803243923e-07
1814,1.888006266881348e-07
1815,2.751168040049379e-07
1816,2.2944279010062019e-07
1817,3.954458520638582e-07
1818,4.6969438471933245e-07
1819,2.98110251151229e-07
1820,4.153268378104258e-07
1821,5.6703555628701e-07
1822,3.388658171843417e-07
1823,3.755421005280368e-07
1824,2.6610715053720924e-07
1825,3.6102315448260924e-07
1826,2.4486195115969167e-07
1827,2.6637920313987706e-07
1828,2.669139576028101e-07
1829,2.846294364644564e-07
1830,3.6215820387042186e-07
1831,3.710707119353174e-07
1832,4.424300072969345e-07
1833,2.386227606621105e-07
1834,2.4829853373375954e-07
1835,4.235329242874286e-07
1836,2.836156625107833e-07
1837,2.1708619613036717e-07
1838,2.789975610539841e-07
1839,2.1323999987998832e-07
1840,2.4141121457432746e-07
1841,2.0096317143725173e-07
1842,2.36130929920364e-07
1843,2.4100197038023907e-07
1844,2.6180435952483094e-07
1845,2.4832013423292665e-07
1846,1.7329324464299134e-07
1847,1.5586415713642054e-07
1848,2.5744708409547457e-07
1849,1.885368305920565e-07
1850,2.0638547937323892e-07
1851,1.805842799740276e-07
1852,1.7578472011336999e-07
1853,2.2812780287040368e-07
1854,2.1094398050536256e-07
1855,2.5261022074118955e-07
1856,2.630012261306547e-07
1857,2.1917975345786544e-07
1858,2.813863773099001e-07
1859,2.0317771998179524e-07
1860,2.3343638133610511e-07
1861,2.2400827504043264e-07
1862,3.1309645009969245e-07
1863,2.5572458639544493e-07
1864,2.3254430914221302e-07
1865,2.7864518870046595e-07
1866,2.1846601327979442e-07
1867,2.0672976575042412e-07
1868,1.941370442182233e-07
1869,2.192700065961617e-07
1870,1.9438425624684896e-07
1871,2.0817508072923374e-07
1872,2.6668766395232524e-07
1873,1.8975633508944156e-07
1874,2.24645305024751e-07
1875,2.723446925756434e-07
1876,3.2769401059340453e-07
1877,2.3316756880831235e-07
1878,1.7332185109353304e-07
1879,2.425402101380314e-07
1880,2.8238522986612224e-07
1881,2.921480586337566e-07
1882,2.1962770802019804e-07
1883,1.8578856497697416e-07
1884,1.868280179451176e-07
1885,1.4502680301120563e-07
1886,1.54883139202866e-07
1887,1.8150410596717848e-07
1888,1.2300792207042832e-07
1889,1.3094135908886528e-07
1890,2.0646317011596693e-07
1891,1.4214511168120225e-07
1892,1.2725080011932732e-07
1893,1.564237805951052e-07
1894,1.0082462864602348e-07
1895,1.3240952512205695e-07
1896,1.3622137373658916e-07
1897,1.0721152676751444e-07
1898,1.1146958911467664e-07
1899,1.542194354442472e-07
1900,1.2873812238467508e-07
1901,1.380418552798801e-07
1902,1.6793170232176635e-07
1903,1.344654805279788e-07
1904,1.1662936572065519e-07
1905,1.2695467432877194e-07
1906,1.4249391711018689e-07
1907,1.316567903586474e-07
1908,1.1345309047783303e-07
1909,1.3587428782102506e-07
1910,2.0788746724065277e-07
1911,1.1758027085306821e-07
1912,1.6774336586422578e-07
1913,1.3999893155869358e-07
1914,1.2522910708412383e-07
1915,1.0367070757411057e-07
1916,1.3075079152713442e-07
1917,1.0198774447189862e-07
1918,1.4013379256994085e-07
1919,1.4088007560530968e-07
1920,1.832480052144092e-07
1921,1.2949398353612196e-07
1922,1.0033992481339737e-07
1923,1.1359064444604883e-07
1924,1.405187077807568e-07
1925,1.5947358633638942e-07
1926,1.850258968261187e-07
1927,1.6166376326509635e-07
1928,1.2340125010723568e-07
1929,1.7713246336370503e-07
1930,1.3129503884101723e-07
1931,1.1633463969928926e-07
1932,1.1288322809832607e-07
1933,1.1011835709950901e-07
1934,1.0783422510485252e-07
1935,1.2447014796634903e-07
1936,1.33371855781661e-07
1937,1.0198805711070236e-07
1938,1.1279736611413682e-07
1939,1.0705835506996664e-07
1940,1.0143131845552489e-07
1941,9.739958528598436e-08
1942,8.799214157306778e-08
1943,1.2483911859817454e-07
1944,1.4780655988033686e-07
1945,1.3071024795863195e-07
1946,1.7122958695381385e-07
1947,1.7166054533390707e-07
1948,1.3372421392432443e-07
1949,1.0602369115986221e-07
1950,1.7548346420426242e-07
1951,2.1536031624691532e-07
1952,1.3919141395035695e-07
1953,1.3898237227749632e-07
1954,1.3095198880819225e-07
1955,1.1075017170014689e-07
1956,1.465151768798023e-07
1957,9.89524195915692e-08
1958,1.7537156793423492e-07
1959,1.5501495909120422e-07
1960,1.3841666657299356e-07
1961,1.1256017984351274e-07
1962,1.6171988193036668e-07
1963,1.1380253539527985e-07
1964,1.8556103498212906e-07
1965,1.2804581217551458e-07
1966,1.163205709531212e-07
1967,1.3903546403071232e-07
1968,1.4147960314403463e-07
1969,1.1490647011669353e-07
1970,1.200267263357091e-07
1971,1.3102913953844109e-07
1972,1.3440984503176878e-07
1973,9.482710794372906e-08
1974,8.438357212980918e-08
1975,8.967023745753977e-08
1976,8.855966626697409e-08
1977,8.109959281910051e-08
1978,9.861381755627008e-08
1979,1.0123913796178385e-07
1980,1.1654558562668171e-07
1981,8.349725533207675e-08
1982,7.138627466929393e-08
1983,1.0925496951585956e-07
1984,9.742334583506818e-08
1985,9.023337099733908e-08
1986,1.0490349211522698e-07
1987,1.0632821556555427e-07
1988,7.315795613749287e-08
1989,1.0262788663339961e-07
1990,8.336436252420754e-08
1991,8.968041953494321e-08
1992,1.0028098529346607e-07
1993,9.970573700002205e-08
1994,8.070637846913087e-08
1995,7.645655841770349e-08
1996,8.701090337126516e-08
1997,6.952596720566362e-08
1998,7.438281812710557e-08
1999,7.495130205370515e-08
2000,9.05696424524649e-08
2001,7.754744757448861e-08
2002,6.352771464435136e-08
2003,1.0417307549914767e-07
2004,9.866732142427281e-08
2005,8.827349518014671e-08
2006,9.841756565265314e-08
2007,1.1863603788242472e-07
2008,1.1324789284117287e-07
2009,1.4495304867523373e-07
2010,1.5588517499054433e-07
2011,1.7972668331367458e-07
2012,2.219572792228064e-07
2013,2.465586419475585e-07
2014,2.7176338335266337e-07
2015,2.6022595989161346e-07
2016,2.957873448394821e-07
2017,2.633844928823237e-07
2018,2.5117671498264826e-07
2019,2.4157853317774425e-07
