year,ces_DET oies_NOUN,ces_DET poids_NOUN
1800,1.6978488659447066e-07,5.030663281502257e-07
1801,1.2620267497709392e-07,5.190977923064111e-07
1802,8.727576528144709e-08,4.87849149521935e-07
1803,7.411289004721766e-08,4.992868429809505e-07
1804,1.1617699158250616e-07,1.2359254419891386e-07
1805,2.2743021688143017e-08,2.4733035797197545e-07
1806,2.305335300434308e-08,4.2936870414678197e-07
1807,6.547996900252429e-08,3.1316507786982584e-07
1808,1.3823051503436545e-07,2.7646101941058987e-07
1809,3.6144488291256494e-08,3.25300383074989e-07
1810,1.6380887757350138e-08,4.0250181143619557e-07
1811,5.515568934910675e-08,3.284270588821414e-07
1812,2.6672082320544632e-09,5.94787458396695e-07
1813,2.8757416448144113e-09,4.5149143801381797e-07
1814,0.0,1.6362721622087406e-07
1815,1.8880564667256294e-08,6.122697531196764e-07
1816,1.622322720606917e-08,9.896168862155719e-07
1817,4.203558356952186e-08,2.459860048986684e-07
1818,2.2650237241350624e-07,2.9802944290224787e-07
1819,3.1053151161586356e-09,3.581463374757732e-07
1820,1.1866481131050932e-08,2.444495059705787e-07
1821,1.9722976807301507e-08,2.1991119236730583e-07
1822,4.0102463572111446e-08,4.190707443285646e-07
1823,1.2847493069401139e-08,2.4904370299339007e-07
1824,4.210556348027694e-09,3.5621306437860767e-07
1825,6.516027784009282e-08,2.8353527348201624e-07
1826,2.906634755106552e-08,4.430416105094537e-07
1827,1.474763688946723e-08,3.050917491975724e-07
1828,1.3024667566696735e-07,2.1463185362335935e-07
1829,6.858540846366168e-09,3.3006728550333264e-07
1830,6.992679768558219e-08,3.945123978610354e-07
1831,4.365537531469954e-08,1.9489008251660778e-07
1832,1.3529969367098715e-09,2.6789339635513443e-07
1833,8.108540172635514e-09,4.0195191886027715e-07
1834,4.387229601832132e-08,3.108398942686108e-07
1835,6.882410019670715e-08,3.0706137010838574e-07
1836,2.9571300075303952e-08,2.2312890379794226e-07
1837,2.435261814426326e-08,3.096261451673854e-07
1838,5.680945602826171e-08,2.505928264895374e-07
1839,5.523265411699896e-08,4.1179787757528175e-07
1840,1.9109066218270243e-08,3.401413728454372e-07
1841,2.6966304744746594e-08,2.7736770391584287e-07
1842,9.391571076378114e-09,3.1059267868727147e-07
1843,1.063243981747064e-08,2.2032778268510356e-07
