year,deux_DET hommes_NOUN,deux_DET pommes_NOUN
1800,8.369765964744147e-06,5.973912209356058e-08
1801,7.262606857239007e-06,5.476719877606229e-08
1802,6.706806743750349e-06,4.923248297927785e-08
1803,6.732571137035848e-06,2.925508790774245e-08
1804,7.741836952845915e-06,4.2021465418429216e-08
1805,8.304045991280873e-06,2.842877755426798e-08
1806,6.008280138303235e-06,3.7461699520235925e-08
1807,5.528787028197257e-06,3.701041606518629e-08
1808,8.805963716440601e-06,4.305540457494317e-08
1809,7.167903788740659e-06,9.036122294858728e-09
1810,8.592945732743829e-06,6.552355014122213e-08
1811,7.278043710812199e-06,1.1532552823823039e-07
1812,7.094773991411785e-06,9.068508077803017e-08
1813,7.790384074723988e-06,9.202373263406116e-08
1814,6.715008851188031e-06,6.293354459785405e-08
1815,6.02020298856587e-06,4.315557688983063e-08
1816,5.6109190040842805e-06,1.622322720606917e-08
1817,6.310007734100509e-06,6.694555310104988e-08
1818,8.104016330889863e-06,4.4108355412575406e-08
1819,7.251945646657987e-06,2.4842520929269085e-08
1820,7.501989387037611e-06,4.509262918617196e-08
1821,7.5726366617345775e-06,1.0058717947458717e-07
1822,6.946749238068151e-06,4.511527151862538e-08
1823,7.296387707356189e-06,7.313188632451784e-08
1824,6.808469834140851e-06,3.705289586264371e-08
1825,7.216941185106407e-06,2.7296874094417944e-08
1826,7.315911830119148e-06,4.051672819471719e-08
1827,6.276041403907584e-06,2.488663675137559e-08
1828,6.474727456406981e-06,2.2930752408001354e-08
1829,7.292343468634499e-06,3.3435386015412405e-08
1830,7.393454495741025e-06,4.174734358208809e-08
1831,7.870440754231822e-06,1.1849316439160873e-07
1832,7.694493433518801e-06,3.3824923750813696e-08
1833,7.766823102883791e-06,5.444305450907905e-08
1834,7.688853315812594e-06,3.547121707470069e-08
1835,7.640231217465043e-06,3.403389570166837e-08
1836,6.967401589008659e-06,1.5457725044409898e-08
1837,7.291173915291438e-06,4.383471186031329e-08
1838,6.905505244958476e-06,3.408567583740307e-08
1839,6.560800159149949e-06,4.894032579194629e-08
1840,7.437885585659387e-06,3.3759349538087235e-08
1841,6.966294961330277e-06,4.3017676532031146e-08
1842,6.9115255314500246e-06,5.0311989241436095e-08
1843,7.123734974356921e-06,2.953455530141369e-08
