year,plusieurs_DET iles_NOUN,plusieurs_DET piles_NOUN
1800,3.772997292372793e-08,1.8864987794131594e-08
1801,3.5717738544605027e-08,2.3811825400343878e-08
1802,4.2518962573012686e-08,5.147032311469957e-08
1803,4.8758479920252285e-08,6.436119548425268e-08
1804,5.6852570651244605e-08,3.9549615138412264e-08
1805,4.264316544322355e-08,2.55858996212055e-08
1806,2.881669125542885e-08,2.881669125542885e-09
1807,3.9857373401730456e-08,0.0
1808,3.852325791697808e-08,2.2660739951163578e-09
1809,3.6144488291256494e-08,2.710836710662079e-08
1810,5.616304221689461e-08,9.360507036149102e-09
1811,6.267691565753353e-08,1.2535384286138651e-08
1812,2.1337665856435706e-08,8.00162425207418e-09
1813,2.0130191291656274e-08,8.627225156487839e-08
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,6.473336511270134e-08,1.6183340889597275e-08
1816,3.7081662185300956e-08,5.0987285504788815e-08
1817,3.113746771532533e-08,3.7364962679475866e-08
1818,2.2650237685439834e-08,3.5763532135746345e-09
1819,1.7596785029105888e-08,8.280840013696888e-09
1820,5.933240565525466e-08,2.3732962262101864e-08
1821,2.0709125858608957e-08,1.972297702934611e-08
1822,3.8097340393505874e-08,1.7043547018147365e-08
1823,2.8659791428964354e-08,1.7788837070042973e-08
1824,5.642145595174952e-08,1.8526447931321854e-08
1825,5.547428960639422e-08,6.163809906922779e-09
1826,5.7251897223054016e-08,2.7304752237000685e-08
1827,5.253845775099464e-08,2.6730091917670507e-08
1828,4.769596506637441e-08,4.1275356466030644e-08
1829,8.144517060770795e-08,4.029392641768936e-08
1830,6.36646975138433e-08,2.0873670791843324e-08
1831,1.8709447990872263e-08,4.677361786775691e-08
1832,6.764984983309574e-08,2.841293600397421e-08
1833,1.8881314556296047e-07,3.359252431778259e-08
1834,6.627516691004587e-08,2.240287422239362e-08
1835,6.277362984974388e-08,2.647080776796429e-08
1836,3.427582545567631e-08,1.814602440530777e-08
1837,6.331680624249714e-08,1.6698937344017395e-08
1838,7.385229161549489e-08,2.3354999711955315e-08
1839,6.571986554959608e-08,4.124970420793517e-08
1840,7.452535866203647e-08,3.248541347034006e-08
1841,7.961480319451653e-08,1.0914932957462042e-08
1842,4.494537542143462e-08,2.2808100297311285e-08
1843,5.670634461996116e-08,1.1813821976236483e-08
1844,5.762989474522584e-08,3.1833653935109396e-08
1845,6.361459825576787e-08,1.1718478465372328e-08
1846,5.1519611243833197e-08,2.9272506196775794e-08
1847,5.3932235566378495e-08,2.480882876909618e-08
1848,4.58577624762313e-08,1.126331028444838e-08
1849,4.1897074698482584e-08,4.4410899846525353e-08
1850,6.856885992334583e-08,8.82569484161877e-09
1851,4.385618246338652e-08,1.2898877521649865e-08
1852,4.882909210301989e-08,1.2370036550635177e-08
1853,6.808002450675588e-08,3.2845626662947325e-08
1854,4.98783807589831e-08,2.8576154775805662e-08
1855,4.139410947345823e-08,2.3350523292720027e-08
1856,3.20985731327994e-08,3.1063134287023786e-08
1857,2.782460128969433e-08,2.880090393952983e-08
1858,2.8383320527236577e-08,2.7893952481150563e-08
1859,2.291478007343528e-08,2.5460866304172214e-08
1860,2.1512764236675253e-08,4.2567808833382514e-08
1861,2.735258886055192e-08,1.8863854756023812e-08
1862,2.3945328053720516e-08,1.490935469528054e-08
1863,2.347471755870245e-08,2.2975255753454604e-08
1864,2.397363974004918e-08,2.445311186871635e-08
1865,1.7415324904401785e-08,8.001635798393636e-09
1866,2.773399376820862e-08,1.8002767276925624e-08
1867,1.4073153309368536e-08,2.91168689159349e-08
1868,1.7783546413241424e-08,2.222943251695142e-08
1869,1.3185502134582805e-08,2.2464188176307687e-08
1870,1.548193129252695e-08,2.752343419842873e-08
1871,1.5931766128574054e-08,1.1683295220166201e-08
1872,1.5723081503438152e-08,1.4513614310374123e-08
1873,1.855661307947898e-08,2.573981916498269e-08
1874,1.5533983432902687e-08,2.031367141164253e-08
1875,1.2587359599081083e-08,1.3159512313176691e-08
1876,1.3301232337781244e-08,2.2974855795609983e-08
1877,1.6699003069220453e-08,2.72131899237138e-08
1878,1.872117438850296e-08,2.5968081018845623e-08
1879,1.7106110861142554e-08,1.710611030603104e-08
1880,1.1552123257985158e-08,2.5029600170256572e-08
1881,1.95230204225183e-08,3.9046041566681566e-08
1882,1.2645231750596508e-08,1.7969540522244642e-08
1883,1.958995032858013e-08,1.9589950994713945e-08
1884,1.3203393933736152e-08,9.902545450302114e-09
1885,1.1602144245337342e-08,3.480643329112354e-08
1886,2.452316216761119e-08,1.7424353015993432e-08
1887,2.0239666442822823e-08,2.6115697659978565e-08
1888,1.394935211784798e-08,2.4728397107764977e-08
1889,1.5662841745811562e-08,9.397704836544563e-09
1890,1.1797895993481688e-08,2.4251230357208442e-08
1891,1.72103943318902e-08,2.995883363610119e-08
1892,1.567128071755519e-08,2.2566645441202127e-08
1893,1.4780199342201428e-08,1.2932674486876294e-08
1894,1.3233232509790582e-08,1.8904618315218613e-08
1895,4.213030146971164e-09,1.2639090662958097e-08
1896,2.181900704556483e-08,7.66613794667137e-09
1897,2.0976169134989675e-08,2.155884004650943e-08
1898,1.1316709569442196e-08,2.9423445013776472e-08
1899,1.326618814800895e-08,1.2160672469008205e-08
1900,1.3496738171525635e-08,9.863001082521805e-09
1901,8.383108651699445e-09,1.117747761014698e-08
1902,1.1784681341886483e-08,2.7988617645746672e-08
1903,1.1340462346964841e-08,1.8900770726304472e-08
1904,1.289910045443321e-08,1.5048950530172078e-08
1905,1.445012559608827e-08,1.4450125540577119e-08
1906,9.259532418592897e-09,9.773950537805831e-09
1907,1.388567694160514e-08,1.542852956504248e-08
1908,3.437972351250096e-09,1.080505640516094e-08
1909,1.0451868481808901e-08,5.500983391026892e-09
1910,5.344150788566537e-09,8.01622590529405e-09
1911,1.1172785918667216e-08,1.649315961582687e-08
1912,3.125652625612929e-09,1.3544495303108306e-08
1913,4.242391882236518e-09,5.302989602995467e-09
1914,6.027069343605973e-09,1.406316130214691e-08
1915,1.1780761588475741e-08,1.5314990164938536e-08
1916,1.3184954461564757e-08,2.197492410260793e-09
1917,1.4256351876795748e-08,3.289927441585405e-09
1918,3.44591288836682e-09,6.89182577673364e-09
1919,1.8415696745321952e-09,9.207848705727883e-09
1920,2.2716695191604686e-09,2.2716695191604686e-09
1921,3.786373714564917e-09,9.844571380313027e-09
1922,1.2542490324118916e-08,4.426761179843197e-09
1923,5.307974060286824e-09,1.2739137744688378e-08
1924,7.734974771800296e-09,1.933743654092268e-08
1925,5.499089184013428e-09,3.299453377181294e-09
1926,5.573069228326233e-09,3.343841648018042e-09
1927,7.804457302640344e-09,7.804457524684949e-09
1928,4.5704163786908225e-09,6.85562484559199e-09
1929,7.798284240578823e-09,4.4561625500705304e-09
1930,1.4705044848462023e-08,1.0503603542488804e-09
1931,6.843213995466613e-09,6.843213995466613e-09
1932,4.383814644626227e-09,7.6716757391182e-09
1933,1.1470662197865522e-09,3.4411986593596566e-09
1934,8.38710612072191e-09,1.3179738189705859e-08
1935,1.3165112555668657e-08,5.98414207075848e-09
1936,1.576212937948185e-08,1.576212849130343e-08
1937,3.777335333410292e-09,2.5182236296217297e-09
1938,5.186085783037697e-09,6.482607339819424e-09
1939,0.0,2.4470480752825097e-08
1940,1.01431314458722e-08,1.2678914806940611e-08
1941,1.1806010835613279e-08,5.9030051957620344e-09
1942,0.0,3.034211770724937e-09
1943,1.4516176261025748e-08,1.7419411690866582e-08
1944,3.2131861615880553e-09,1.927911696952833e-08
1945,1.3071024262956144e-08,4.357008087652048e-09
1946,8.352662561605939e-09,6.960552134671616e-09
1947,8.344609669919123e-09,2.3841741914054637e-09
1948,1.522064341230589e-08,1.3046265401328583e-08
1949,3.9268033269479474e-09,1.0798709482173763e-08
1950,5.317680740191122e-09,1.9143651330821854e-08
1951,2.1322803522849654e-09,1.3859822178829972e-08
1952,2.1089607837865287e-09,2.2144087452602434e-08
1953,5.386913803917537e-09,1.6160740301529586e-08
1954,5.863521668203475e-09,8.795282724349818e-09
1955,2.815682353940474e-09,1.407841176970237e-08
1956,5.232684952005684e-09,1.1337484284723587e-08
1957,5.301022620862739e-09,1.6786571688243157e-08
1958,4.9633461784992505e-09,1.4890038535497752e-08
1959,5.425523585955716e-09,1.5501495198577686e-08
1960,6.920833239831836e-09,7.612916519406099e-09
1961,5.558527305105088e-09,1.1811870759270704e-08
1962,5.0735651235811474e-09,8.244543714397423e-09
1963,1.9398159745165344e-09,2.5864213659687607e-08
1964,6.083968384640315e-09,1.0951142881410192e-08
1965,6.0192477668863376e-09,1.422731321643056e-08
1966,7.200797402795445e-09,9.416427082520329e-09
1967,2.958201350544698e-09,1.3804939413830652e-08
1968,6.737123747768692e-09,4.042274071025531e-09
1969,4.5417577476669635e-09,9.991866889436096e-09
1970,5.978342487722443e-09,6.898087351325799e-09
1971,3.083038491169532e-09,5.6522372338108084e-09
1972,4.617132176587546e-09,8.208234980600082e-09
1973,5.513203726881244e-09,5.513203671370093e-09
1974,1.1251143461343815e-08,1.5751600912494723e-08
1975,7.996072248772634e-09,1.4278700888326057e-08
1976,1.1427053525636666e-08,1.0284348483935446e-08
1977,7.639816779203557e-09,6.4644601893704134e-09
1978,3.5643548113029055e-09,8.31682822610702e-09
1979,4.681578680276743e-09,7.022368020415115e-09
1980,2.8425753972882717e-09,7.390696055153967e-09
1981,5.060439622894819e-09,6.958104314946922e-09
1982,4.345251602977385e-09,8.069752865935698e-09
1983,6.9468474306333405e-09,6.315316269933646e-09
1984,9.278413592994639e-09,8.118611560803402e-09
1985,3.007779025843149e-09,7.820225356169885e-09
1986,4.795588481876223e-09,1.138952232526691e-08
1987,5.499735167280306e-09,9.166225556356267e-09
1988,2.99827696004229e-09,6.596209300990807e-09
1989,2.744061089465788e-09,9.878619700032232e-09
1990,2.179460389939436e-09,8.172976073694826e-09
1991,2.930732601047481e-09,1.2309077312977479e-08
1992,2.754972139307199e-09,8.815910890191958e-09
1993,5.539207426075166e-10,9.970573366935298e-09
1994,4.2199412852994556e-09,7.384897027229442e-09
1995,3.795715741716776e-09,5.9646960148818096e-09
1996,2.135236876199542e-09,9.60856638698715e-09
1997,2.397447240731765e-09,4.794894259418925e-09
1998,1.9072516899143466e-09,4.291316191284977e-09
