year,nos_DET yeux_NOUN,nos_DET pieux_ADJ
1800,1.3702268873316825e-05,1.2576657937302116e-08
1801,1.178209149088616e-05,7.143547753329926e-09
1802,9.240042260216796e-06,0.0
1803,1.0352400678925733e-05,3.900678446910888e-09
1804,1.034716825643045e-05,2.4718509461507665e-09
1805,1.0720491424365264e-05,0.0
1806,1.086389291060641e-05,2.881669125542885e-09
1807,9.508830103754917e-06,5.693910232196231e-09
1808,1.1658950370474486e-05,4.5321479902327155e-09
1809,8.905097843125986e-06,6.7770917766551975e-09
1810,1.2830914585038045e-05,1.4040760554223652e-08
1811,8.218197663723004e-06,1.0028307073639553e-08
1812,8.932480156431666e-06,8.00162469616339e-09
1813,1.0576977913956398e-05,0.0
1814,1.0604302318029113e-05,9.440030979135372e-09
1815,1.0440952635804024e-05,2.697223555614414e-09
1816,1.0628531470047164e-05,0.0
1817,1.1243739422184262e-05,1.2454987263765815e-08
1818,1.1334655880546052e-05,1.668964877410417e-08
1819,1.095555158769912e-05,2.173720581311045e-08
1820,1.0494716008224714e-05,8.306536791735653e-09
1821,1.274202922729728e-05,3.550135829755163e-08
1822,1.0748462756282606e-05,1.2030739071633434e-08
1823,9.387563906670948e-06,1.087095569118901e-08
1824,1.1414818217758693e-05,5.136878655775945e-08
1825,1.110894731937151e-05,1.4088708644166559e-08
1826,1.049383278939331e-05,2.025836387531399e-08
1827,9.785057443423284e-06,1.1982455028203276e-08
1828,1.0599511199416156e-05,1.559291185060374e-08
1829,1.0458417335712511e-05,2.3147574523818548e-08
1830,1.1697605714289239e-05,3.235419043789989e-08
1831,1.0639438997372963e-05,4.989185953263586e-08
1832,1.1097281159777594e-05,3.6530918290367254e-08
1833,1.2620363676774105e-05,3.59092489077284e-08
1834,1.164856138302639e-05,2.6136685704614138e-08
1835,1.1613877489935476e-05,3.327758690829796e-08
1836,1.0860060143613737e-05,3.629205025390547e-08
1837,1.0456318179308255e-05,1.4611571397260548e-08
1838,1.00666353972656e-05,1.64116205070286e-08
1839,1.0630538305633763e-05,1.3283802502428443e-08
1840,1.0036718137484968e-05,3.3759349093998026e-08
1841,1.2080261640790013e-05,2.6966303856568175e-08
1842,1.2005782224377981e-05,5.970355942963579e-08
1843,1.2522651289259557e-05,4.0166995285417784e-08
1844,1.2167591151523993e-05,3.567564732520623e-08
1845,1.1453417599227578e-05,3.5713458523822794e-08
1846,1.170549030860002e-05,2.92725064188204e-08
1847,1.0977367459474863e-05,2.8584084432736745e-08
1848,1.1494208294493546e-05,1.287235473768078e-08
1849,1.2313549888176567e-05,3.9383248662261394e-08
1850,1.184476163018644e-05,4.2091777174846357e-08
1851,1.0849245882127434e-05,3.031236062156495e-08
1852,1.1594630684896856e-05,3.059956199535918e-08
1853,1.1530606279563926e-05,3.4040009921909586e-08
1854,1.3347662203955224e-05,2.1302223651709085e-08
1855,1.2729749883533259e-05,4.7231740296638236e-08
1856,1.291915818057987e-05,5.021873406008126e-08
1857,1.1972877388188863e-05,4.393358304932704e-08
1858,1.2492086867155194e-05,3.3766365703513657e-08
1859,1.2371435218483384e-05,4.4811123700583266e-08
1860,1.2894384795458791e-05,3.6617471055322426e-08
1861,1.3321182748882165e-05,2.8295782272813597e-08
1862,1.2249164186073358e-05,2.801151532949575e-08
1863,1.304644928268317e-05,5.7937603159530227e-08
1864,1.3764704846153109e-05,5.3221479112686154e-08
1865,1.3062905210858844e-05,4.1890914737052753e-08
1866,1.1889612153481721e-05,5.011581372116325e-08
1867,1.2295083038793564e-05,4.027833533370995e-08
1868,1.2181729601934421e-05,3.556709160523752e-08
1869,1.2334792458545962e-05,3.320793073857686e-08
1870,1.2445753000633886e-05,1.777555080906268e-08
1871,1.201786186300069e-05,2.9739295692721157e-08
1872,1.2294845859628367e-05,4.112190898908352e-08
1873,1.1223159617657075e-05,2.6338419445437466e-08
1874,9.806723163308106e-06,2.2703514179767126e-08
1875,1.0738161847712036e-05,2.345826055627498e-08
1876,1.1007979537680512e-05,1.3301232559825849e-08
1877,1.0630461630967147e-05,1.9172929910382663e-08
1878,9.942152033204366e-06,1.5701631050912823e-08
1879,1.0678489267945679e-05,4.093247962799751e-08
1880,9.911721733146805e-06,1.9895324276930637e-08
1881,1.0269109537830445e-05,1.394501542018034e-08
1882,1.0130161683719052e-05,1.3976308776975088e-08
1883,9.624353204173985e-06,2.148575239946382e-08
1884,9.695912282836616e-06,2.2445769687351458e-08
1885,9.253999522229606e-06,3.093905048823231e-08
1886,9.192313996209123e-06,1.7424353015993432e-08
