year,petites_ADJ ailes_NOUN,petites_ADJ pelles_NOUN
1800,2.5153315164061496e-07,0.0
1801,5.952956638743956e-08,2.3811825844433088e-09
1802,4.900870180790662e-07,2.2378401354217203e-09
1803,2.574447819370107e-07,0.0
1804,2.9415025437629083e-07,1.2359254952798437e-08
1805,2.50173229687789e-07,1.421438877713399e-08
1806,2.305335300434308e-08,0.0
1807,1.708173016368164e-07,1.4234775136401367e-08
1808,1.0877155176558517e-07,1.1330369531492579e-08
1809,6.777091243748146e-08,0.0
1810,1.3572734758326988e-07,7.020380277111826e-09
1811,1.1532553401139012e-07,2.5070768572277302e-08
1812,2.3204711396829225e-07,0.0
1813,3.163315653864629e-08,2.8757416448144113e-09
1814,1.7306724942045548e-07,1.2586708564299443e-08
1815,9.440282155992463e-08,0.0
1816,7.648093003354006e-08,4.6352077731626196e-09
1817,1.5724421587037796e-07,0.0
1818,2.7895555376744596e-07,2.384235475716423e-09
1819,7.866798057420965e-08,0.0
1820,1.3053129066520341e-07,7.119888678630559e-09
1821,1.143932671920922e-07,0.0
1822,2.0853281057497952e-07,7.017931125119503e-09
1823,1.5318164514610544e-07,7.906149512848515e-09
1824,9.347435447892849e-08,5.894778887238772e-09
1825,2.139722727889648e-07,1.937197424695114e-08
1826,1.2595416931659997e-07,1.76159691278599e-08
1827,1.1337245808817897e-07,1.1060727445055818e-08
1828,9.539193257523948e-08,0.0
1829,1.7489278614224446e-07,0.0
1830,1.2837307705737544e-07,1.0436835840010872e-09
1831,7.795603096383275e-08,0.0
1832,1.0959275442701255e-07,1.3529969367098715e-09
1833,1.5985407220142633e-07,9.266902800675325e-09
1834,2.156276650566724e-07,9.334530925997342e-10
1835,1.9588397748293573e-07,9.075705520444899e-09
1836,1.357591465911412e-07,4.032449929525228e-09
1837,2.0386620191992222e-07,4.174734336004349e-09
1838,8.8370269546445e-08,2.4617431648721322e-08
1839,8.739343826391632e-08,2.7965900706306e-09
1840,9.554532737210408e-08,1.2739377330817092e-09
1841,1.3097918838411715e-07,7.704658244733764e-09
1842,4.8970333565989677e-08,1.0733224087289273e-08
1843,2.3214160416173968e-07,5.906910960362666e-09
1844,6.476502534269457e-08,7.683985892015244e-09
1845,8.370341930685754e-08,1.674068439427856e-09
1846,1.0538102501733704e-07,6.439951683034906e-09
1847,5.8786138623645456e-08,1.6179670936367074e-09
1848,6.194820656446609e-08,5.63165514222419e-09
1849,1.248532868203256e-07,3.3517659758786067e-09
1850,9.979824255879066e-08,4.752297222410107e-09
1851,8.835731168943539e-08,5.8044946626978344e-09
1852,9.114763344086896e-08,1.9531636308300904e-09
1853,1.7975514765566913e-07,7.763511611358354e-09
1854,1.0443285702876892e-07,5.195664343204953e-09
1855,7.748128183493463e-08,9.552486801567284e-09
1856,1.3046517410852942e-07,2.5885946719483854e-09
1857,1.4156376787477498e-07,3.4170564155999728e-09
1858,5.774537825686821e-08,2.4468380654951716e-09
1859,9.165911762920587e-08,5.092173349652285e-10
1860,9.840945414119062e-08,0.0
1861,5.14040046084574e-08,9.431927461278633e-10
1862,1.3237699669765846e-07,3.162590411776023e-09
1863,6.393114659886123e-08,4.495158911765884e-09
1864,1.9274806950519974e-07,1.0068928801842958e-08
1865,1.0355057533661949e-07,4.706844247692743e-09
1866,1.2747906491528127e-07,1.0704348518686402e-08
1867,2.2274404010147464e-07,1.4073153309368536e-08
1868,1.556060260643477e-07,5.433861360870651e-09
1869,1.1280928902124288e-07,2.441759683335931e-09
1870,1.2500226898026767e-07,3.4404292748035914e-09
1871,1.8374636567841662e-07,0.0
1872,7.438227100919903e-08,1.7537283625301825e-08
1873,1.2450889419479694e-07,1.2570609442263958e-08
1874,1.505601545659374e-07,4.779687312606029e-09
1875,1.069925540941874e-07,1.3159512590732447e-08
1876,1.4268594905608722e-07,1.5719638923883394e-08
1877,1.2864416798485934e-07,4.9478527941460015e-09
1878,1.509772191155001e-07,1.3285995414946683e-08
1879,2.0588425775347474e-07,6.109325489944695e-09
1880,1.5017759680269194e-07,6.417846254436199e-09
1881,1.0040410813871858e-07,1.2550513517339823e-08
1882,1.510772464907717e-07,1.0648616211028639e-08
1883,9.163041170268116e-08,1.8958017378167824e-08
1884,1.0694748908690599e-07,9.242375753615306e-09
