year,aux_ADP autos_NOUN,aux_ADP poteaux_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,3.809892135109294e-08
1802,0.0,2.9091921760482364e-08
1803,0.0,0.0
1804,0.0,1.4831105232815389e-08
1805,0.0,8.528632911009026e-09
1806,0.0,3.458002950651462e-08
1807,2.8469551160981155e-09,1.9928686256776018e-08
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,0.0,4.51806094758922e-08
1810,0.0,4.914266327205041e-08
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,2.9339290108509886e-08,3.467370746079723e-08
1813,2.8757416448144113e-09,4.601186631703058e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,1.0788894222457657e-08
1816,2.3176038865813098e-09,2.7811246638975717e-08
1817,0.0,1.2454987263765815e-08
1818,0.0,3.2187177367859476e-08
1819,5.175524897538253e-09,5.589566853814176e-08
1820,0.0,2.0173018810965004e-08
1821,0.0,2.859831660373402e-08
1822,2.0051231786055723e-09,2.0051231786055723e-08
1823,1.9765373782121287e-09,5.6331316500290995e-08
1824,0.0,2.7789671008804362e-08
1825,0.0,6.692136622632461e-08
1826,1.7615968683770689e-09,8.367585024871005e-08
1827,0.0,3.410390903013649e-08
1828,0.0,6.512334016495203e-08
1829,3.429270423183084e-09,3.3435387791769244e-08
1830,0.0,4.174734158368665e-08
1831,0.0,2.494592976631793e-08
1832,0.0,6.088486514954639e-08
1833,3.4750886612755494e-09,3.359252431778259e-08
1834,9.334530925997342e-10,6.067445212920575e-08
1835,0.0,3.479020449503878e-08
1836,2.016224964762614e-09,3.8980349614803345e-08
1837,2.0873671680021744e-09,3.478945487245255e-08
1838,3.787297142565649e-09,5.996553653631054e-08
1839,5.5931801412612e-09,3.425822825420255e-08
1840,0.0,4.458782143501594e-08
1841,2.5682194149112547e-09,6.420548848140584e-08
1842,1.341653010911159e-09,3.6224630406422875e-08
1843,7.678984614845064e-09,2.3627643841450663e-08
1844,1.3172547053130756e-08,5.54344694592146e-08
1845,0.0,4.1293688468613254e-08
1846,7.025401371762996e-09,4.917781271096544e-08
1847,0.0,3.5055954583640414e-08
1848,0.0,6.59708183636809e-08
1849,8.379414939696517e-10,3.9383248662261394e-08
1850,6.788996032014438e-10,6.721106160512136e-08
1851,6.449438760824933e-10,9.416180635213323e-08
1852,6.510545436100301e-10,8.463709377792838e-08
1853,5.971931837933653e-10,5.3150191803297275e-08
1854,2.182179059673217e-08,5.4554476325296974e-08
1855,1.0083180512765466e-08,6.209116421018734e-08
1856,3.1063134287023786e-09,3.158085348786699e-08
1857,9.763018171682347e-09,6.101886640408338e-08
1858,5.383043732987147e-09,7.193704026908776e-08
1859,5.601390906662118e-09,6.467059976422718e-08
1860,4.119465657481669e-09,7.46080957014783e-08
1861,0.0,8.630213699234446e-08
1862,9.035972525772706e-10,1.1430505297838067e-07
1863,5.9935452156878455e-09,8.940371315491191e-08
1864,2.8768367688059016e-09,1.0068928402162669e-07
1865,4.706844358715045e-10,6.636650340396955e-08
1866,0.0,7.590356015940714e-08
1867,4.85281148598915e-10,8.589476152565112e-08
1868,4.93987406535723e-10,7.212216246443859e-08
1869,4.88351925564956e-09,6.202069613436834e-08
1870,1.9495765002375265e-08,5.963410787401813e-08
1871,2.1242354542039266e-09,1.147087174135919e-07
1872,0.0,8.466275147611668e-08
1873,2.9930022904522957e-09,8.79942660958477e-08
1874,6.572069999322139e-09,6.751308490038355e-08
1875,2.2886108008712824e-09,1.0012672646553256e-07
1876,5.441413541973361e-09,6.711076205867528e-08
1877,6.184815992682502e-10,6.061119961486838e-08
1878,2.4156354694326865e-09,1.1715832215486444e-07
1879,5.498392852132383e-09,8.369775628125353e-08
1880,1.9253538763308597e-09,6.032775701214632e-08
1881,1.3945015142624584e-09,5.717456375009533e-08
1882,4.6587693702804245e-09,8.452339272935205e-08
1883,2.5277355764075082e-09,8.467914219822958e-08
1884,5.281357573494461e-09,1.0364664593254247e-07
1885,5.156508553483263e-09,9.217258789551153e-08
1886,1.0325542088018835e-08,5.1627709440893454e-08
1887,6.528924623161458e-10,6.202478330941119e-08
1888,4.4384300679212174e-09,6.086990111953128e-08
1889,0.0,9.272402223814424e-08
1890,6.554386478008212e-10,7.340912588915671e-08
1891,4.461953917456185e-09,9.433845349349212e-08
1892,1.8805537127519756e-09,9.4654538429495e-08
1893,1.2316833108982905e-09,1.1331486238219668e-07
