year,des_DET âges_NOUN,des_DET ages_NOUN,des_DET pages_NOUN
1800,3.175606018146482e-07,2.829747991484055e-08,5.282196191558342e-07
1801,2.0001933620505952e-07,0.0,6.524440028243816e-07
1802,2.1483265300048515e-07,0.0,6.355465984597686e-07
1803,2.827991831821919e-07,7.801356893821776e-09,6.00704483488812e-07
1804,2.916784183071286e-07,4.943701892301533e-09,6.748153218438802e-07
1805,2.1037294750669844e-07,8.528632911009026e-09,5.145608552581393e-07
1806,3.4003695859041727e-07,0.0,1.097915889758383e-06
1807,1.7935816742919997e-07,5.693910232196231e-09,4.953702159582463e-07
1808,2.243413206315381e-07,2.2660739951163578e-09,5.030684508966488e-07
1809,1.874995396722312e-07,0.0,5.805708678252586e-07
1810,2.129515372928381e-07,0.0,8.822277601794326e-07
1811,2.381722890021365e-07,0.0,7.571371618553258e-07
1812,3.440698632672934e-07,5.3344164641089264e-09,9.148524462432306e-07
1813,2.933256553205865e-07,0.0,5.463909360514663e-07
1814,2.0453401816666883e-07,0.0,6.136020545000065e-07
1815,2.7781401268356376e-07,8.091670444798638e-09,4.0997798400610463e-07
1816,4.1253348825875946e-07,9.270415546325239e-09,6.419762712539523e-07
1817,4.919719917007015e-07,3.113746815941454e-09,5.277801093939161e-07
1818,3.516747337783954e-07,0.0,6.866598303290061e-07
1819,1.8631890696951814e-07,3.105315005136333e-09,7.846095764207917e-07
1820,2.2427649515321946e-07,1.1866481131050932e-09,8.12853966358773e-07
1821,2.642878911274238e-07,5.9168929755770705e-09,7.425700943031188e-07
1822,3.0076847679083585e-07,5.012807946513931e-09,7.058033730800162e-07
1823,2.520085287116558e-07,9.882686891060644e-10,6.660931077817622e-07
1824,2.467386028826013e-07,1.6000114122505238e-08,8.176900667677955e-07
1825,4.0152820579564263e-07,0.0,9.157660931791156e-07
1826,2.686435358612016e-07,1.7615968683770689e-09,8.24427353052215e-07
1827,2.9126583012129004e-07,6.452091139141913e-09,7.134169077716024e-07
1828,3.558852768037468e-07,5.503380751115117e-09,7.191084030466754e-07
1829,3.6435998440609296e-07,6.001223296081548e-09,7.981626648501106e-07
1830,3.266729482476194e-07,8.349468894053302e-09,8.829563000745111e-07
1831,3.3365182083855416e-07,4.677361831184612e-09,1.0773523158036369e-06
1832,3.5177920232332127e-07,2.705993873419743e-09,1.0012177718010662e-06
1833,4.4133624044206954e-07,1.50587168290528e-08,1.0992863366254824e-06
1834,4.648596432232921e-07,1.4001796166951408e-08,1.0604027274041528e-06
1835,3.335321636654953e-07,5.294161553592858e-09,9.794199087309607e-07
1836,2.6748584325275715e-07,8.064900081095061e-09,1.057174040752784e-06
1837,3.6250612289734363e-07,3.478945576063097e-09,1.0276804829345565e-06
1838,3.18764162177132e-07,1.0730675015224733e-08,1.0250951465451408e-06
1839,3.523703604457751e-07,9.78806569129631e-09,1.0627042570376943e-06
1840,3.216692761043305e-07,4.45878195476368e-09,1.1701118314277892e-06
1841,2.959872906771466e-07,3.852329122366882e-09,1.1158913615361143e-06
1842,2.321059748844334e-07,2.0124795163667386e-09,1.1685797929317232e-06
1843,3.9340026725120936e-07,1.1813822142769936e-09,1.3704034067529847e-06
1844,2.5631581213048094e-07,1.0977122766320235e-08,1.4094625662153248e-06
1845,3.242112533996533e-07,7.81231901392232e-09,1.151759052575585e-06
1846,2.657943625195003e-07,4.0981509297211005e-09,1.2657432248985856e-06
1847,2.944699986073829e-07,2.6966118227278457e-09,1.2641716651273782e-06
1848,3.8938873714311484e-07,1.2872354626658478e-08,1.0579466778182223e-06
1849,4.2399840882723083e-07,8.379414939696517e-09,1.4110934429822919e-06
1850,2.9871581475049425e-07,9.504594444820214e-09,1.0679090323151286e-06
1851,3.250517224273608e-07,3.8696632564949596e-09,1.4401596786228765e-06
1852,4.140706788557935e-07,1.9531636308300904e-09,1.4277626139147515e-06
1853,3.6906537914660476e-07,7.166318205520383e-09,1.4290833103558498e-06
1854,3.746073944377315e-07,7.793496625829732e-09,1.4360816269487486e-06
1855,4.2614705364485417e-07,5.837630823180007e-09,1.6101247233279992e-06
1856,3.240920398717151e-07,6.212627079449362e-09,1.6515233802749663e-06
1857,3.2510851433187327e-07,9.76301828270465e-09,1.731471266808171e-06
1858,3.1025905933290687e-07,3.9149408159744326e-09,1.5649976070619687e-06
1859,3.3048206304897576e-07,2.5460866748261424e-09,1.9676157840819997e-06
1860,4.2979756376126943e-07,1.098524138321011e-08,1.914636065691866e-06
1861,3.4285055017235777e-07,8.488734604128467e-09,1.74773610694956e-06
1862,3.835770244764447e-07,3.162590467287174e-09,1.8469527311992806e-06
1863,3.241508897966483e-07,4.495158911765884e-09,1.977370459371741e-06
1864,4.5406074455911494e-07,8.63051052846231e-09,1.7658982507384735e-06
1865,4.2596942773087676e-07,6.589582213223366e-09,1.7208223326292682e-06
1866,3.712462679494877e-07,3.8924903300596725e-09,1.7929783595604931e-06
1867,4.624729292856955e-07,5.338092634588065e-09,1.8382449979981175e-06
1868,3.986478418482875e-07,7.409810987013543e-09,1.6434960894429196e-06
1869,4.0728549510760104e-07,1.3673853382911716e-08,1.961709571673964e-06
1870,4.4553559774840323e-07,1.4335121978348297e-08,1.6267496611988008e-06
1871,3.621821509369738e-07,1.3807530674370128e-08,1.2692306405881482e-06
1872,4.4871257975920287e-07,7.861540973763681e-09,1.675717704152646e-06
1873,4.830705586655881e-07,1.0176207598799891e-08,1.9693954058652707e-06
1874,3.6385369295288683e-07,8.364452408482492e-09,1.8449592964486783e-06
1875,3.432916315659895e-07,9.154443536552037e-09,1.900691287914924e-06
1876,3.9117715733283376e-07,1.3301232559825849e-08,2.051412923975704e-06
1877,3.469681831846927e-07,6.80329748092845e-09,1.945124720847957e-06
1878,2.711550890488468e-07,7.246906463809211e-09,2.086505151766005e-06
1879,3.683923210928697e-07,1.3440515811424802e-08,2.2347912107534285e-06
1880,2.868777224662722e-07,4.492492378105339e-09,2.134575677104067e-06
1881,3.806989061772015e-07,6.972507737845746e-09,2.0638623219326746e-06
1882,3.8601234564339393e-07,1.0648616211028639e-08,2.1610036320396375e-06
1883,3.090156823759571e-07,9.479008467039307e-09,2.3223570373431812e-06
1884,2.9245518362586154e-07,9.242375753615306e-09,2.7489466631891446e-06
1885,3.551545315616522e-07,4.511944928786704e-09,2.3294527515815844e-06
1886,2.9298726733628655e-07,6.453463763378409e-09,2.3277645020414184e-06
1887,3.009834221856522e-07,3.2644623670918804e-09,2.375222841521918e-06
1888,2.929364084636177e-07,6.34061447790657e-09,2.518492205894063e-06
1889,3.3455829218098643e-07,5.012109283164534e-09,2.440897198141556e-06
1890,2.7659509638233715e-07,3.932631886804927e-09,2.5018093943174335e-06
1891,2.9576381299634136e-07,5.099376032546843e-09,2.5452261596115022e-06
1892,2.676654853317473e-07,1.1283322276511853e-08,2.6152233942866587e-06
1893,3.362495424319434e-07,9.237624998270633e-09,2.5489686130697464e-06
1894,2.659249460634783e-07,6.301539290376468e-09,2.8085961432111617e-06
1895,3.189865669384062e-07,7.824199066419624e-09,2.885925610485174e-06
1896,3.3731006898740645e-07,5.897029087265082e-09,2.7132230329129925e-06
1897,2.9716237870403006e-07,9.322741911788057e-09,2.758948902226166e-06
1898,3.4006713267586974e-07,6.790025763869778e-09,2.8704834633686005e-06
1899,3.211522976442893e-07,7.738609753005221e-09,2.9616765004902845e-06
1900,3.1976888603679754e-07,1.1420316803345543e-08,2.938655086381914e-06
1901,3.302944586724976e-07,8.941982154730965e-09,3.077718623956116e-06
1902,2.2439996483214486e-07,1.0311596132517309e-08,2.6741405250163552e-06
1903,3.2671333904943367e-07,1.1880484818149739e-08,2.899378159781918e-06
1904,3.4720078723182723e-07,6.449550227216605e-09,2.87757423933499e-06
