year,mêmes_ADJ âges_NOUN,mêmes_ADJ ages_NOUN,mêmes_ADJ pages_NOUN
1800,3.144164484325529e-09,0.0,1.2576658381391326e-08
1801,2.6193008650921e-08,0.0,9.524730337773235e-09
1802,0.0,0.0,3.5805442166747525e-08
1803,3.900678446910888e-09,0.0,6.241085515057421e-08
1804,0.0,0.0,3.9549615138412264e-08
1805,2.2743021688143017e-08,0.0,1.7057265822018053e-08
1806,0.0,0.0,8.645007376628655e-09
1807,5.693910232196231e-09,2.8469551160981155e-09,0.0
1808,1.8128591960930862e-08,0.0,2.945896149242344e-08
1809,1.0165637576164954e-07,0.0,4.743964154840796e-08
1810,9.360507036149102e-09,0.0,7.020380277111826e-09
1811,5.0141535368197765e-09,0.0,5.766276700569506e-08
1812,1.3336041604361526e-08,0.0,2.400487453257938e-08
1813,3.4508900625951355e-08,0.0,1.7254450312975678e-08
1814,0.0,0.0,3.4613449884091096e-08
1815,5.394447111228828e-09,0.0,4.5852800667489646e-08
1816,6.952811659743929e-09,0.0,4.6352077731626196e-09
1817,0.0,0.0,3.42512151974006e-08
1818,2.384235475716423e-09,0.0,2.5034472272977837e-08
1819,1.035105001712111e-09,1.035105001712111e-09,3.622867339458935e-08
1820,7.119888678630559e-09,0.0,3.5599443393152796e-09
1821,2.9584463767662328e-09,0.0,1.8736827200882544e-08
1822,2.0051231786055723e-09,2.0051231786055723e-09,2.2056354964661296e-08
1823,2.2730180404550993e-08,0.0,1.7788837070042973e-08
1824,1.51580028528997e-08,8.421112696055388e-10,1.9368560089105813e-08
1825,1.3208164340028361e-08,0.0,5.547429182684027e-08
1826,0.0,0.0,2.4662355713189754e-08
1827,8.295545583791863e-09,0.0,1.8434546333878643e-08
1828,3.668920500743411e-09,1.8344602503717056e-09,1.9261832351347152e-08
1829,2.1432940755516938e-08,0.0,1.7146351893870815e-08
1830,2.0873670791843324e-08,0.0,1.9829987651931447e-08
1831,1.7150327380477393e-08,0.0,6.236482441579483e-09
1832,1.7588959622116818e-08,0.0,3.5177919244233635e-08
1833,2.0850531967653296e-08,0.0,1.6217079790159517e-08
1834,3.267085801894609e-08,0.0,2.9870498963191494e-08
1835,7.563087933704082e-08,0.0,3.554651328840919e-08
1836,3.36037508930076e-08,6.720750067579218e-10,2.9571300075303952e-08
1837,2.1569462660409044e-08,6.957890930081589e-10,3.965997663613052e-08
1838,1.3886756633496589e-08,0.0,1.9567702125300457e-08
1839,3.915226187700682e-08,0.0,2.23727205650448e-08
1840,1.7835128929277744e-08,0.0,2.0383003729307347e-08
1841,2.0545755319290038e-08,0.0,2.118781061710706e-08
1842,6.708265054555795e-09,0.0,3.152884531232303e-08
1843,3.36693943836508e-08,5.906911071384968e-10,1.8902115428431898e-08
1844,2.140538946093784e-08,0.0,1.920996517412732e-08
1845,3.2923345827384765e-08,1.1160455892778032e-09,1.4508592549589139e-08
