year,aux_ADP airs_NOUN,aux_ADP pairs_NOUN
1800,1.5720823043352539e-07,2.200915218963928e-07
1801,1.7620750725200196e-07,1.166779455274991e-07
1802,2.0364345232337655e-07,1.6336232988578558e-07
1803,2.262393496987869e-07,1.423747626461136e-07
1804,1.6808586700278738e-07,4.696516597846312e-08
1805,1.478296409729296e-07,1.4214388510680465e-07
1806,2.4494187300660997e-07,1.6425514548501496e-07
1807,8.54086508184082e-08,3.9857373401730456e-08
1808,7.931259204951857e-08,2.130109493236887e-07
1809,1.3102376783535874e-07,1.2424667783506038e-07
1810,1.8721014161116045e-07,1.0296557695355091e-07
1811,1.1783261077980001e-07,2.5070767684098882e-09
1812,9.601949813031752e-08,1.2002436999836164e-07
1813,1.35159851311073e-07,1.409113341566126e-07
1814,1.384537871018665e-07,4.0906801812568006e-07
1815,4.855002422310406e-08,5.583252580265707e-07
1816,9.270415368689555e-08,5.1219046426354e-07
1817,1.4945985393755024e-07,4.53050168491842e-07
1818,1.1563542035020191e-07,3.349850965506107e-07
1819,1.8528379808202544e-07,6.138172512493156e-07
1820,1.6257079860082513e-07,4.414331078450573e-07
1821,1.3608853222102368e-07,2.3766186707518955e-07
1822,1.5639960793123464e-07,2.6267113639733e-07
1823,9.388552868472289e-08,3.399644228352372e-07
1824,1.2800091475639874e-07,3.2252862780524083e-07
1825,1.1799293964109836e-07,2.8353526526636585e-07
1826,1.2595417842042878e-07,4.2102164155011224e-07
1827,6.267745611410191e-08,5.723926452816386e-07
1828,1.0823315454988602e-07,5.989512885662407e-07
1829,9.51622528555518e-08,9.601957202676203e-07
1830,1.7533884189013804e-07,5.082739065187525e-07
1831,1.309661297188569e-07,6.002614494349245e-07
1832,3.125422969318947e-07,5.533757434506015e-07
1833,1.3089500561225265e-07,4.81878933200619e-07
1834,1.1388127951761362e-07,2.949711674915534e-07
1835,1.459675971204888e-07,2.1025385166240085e-07
1836,1.196293524241554e-07,2.520281237039512e-07
1837,1.0715152298779174e-07,3.2632507540597544e-07
1838,1.205622943700746e-07,2.7647269629227367e-07
1839,1.3703291867894762e-07,4.3137403427095933e-07
1840,1.2038711361128662e-07,3.617983028725291e-07
1841,8.154096420298629e-08,1.431782385985514e-07
1842,1.3483613425790963e-07,3.8505440924652135e-07
1843,1.3290549683020458e-07,3.839492095369934e-07
1844,1.3007890231619967e-07,2.8650291139520334e-07
1845,8.816759988761191e-08,3.1305077463628095e-07
1846,9.777017462297977e-08,2.470599556048114e-07
1847,8.46736130100112e-08,2.34605229465501e-07
1848,1.3757328987118456e-07,1.6894965604308254e-07
1849,9.133561951202296e-08,1.4245005774959907e-07
1850,1.1948632749891885e-07,1.7855059653015815e-07
1851,8.513259319720134e-08,9.932135558443633e-08
1852,1.367214490510804e-07,1.2044509256625702e-07
1853,9.913406562311877e-08,1.6900566945921014e-07
1854,7.79349695889664e-08,1.4911557189023483e-07
1855,1.2895856826844465e-07,1.241823284203747e-07
1856,9.629572161884425e-08,2.630012232440748e-07
1857,1.0836950115056254e-07,4.554447956550689e-07
1858,1.1598011928626306e-07,2.08470596785304e-07
1859,1.5632971717138844e-07,2.362768425356876e-07
1860,1.2587255593388136e-07,1.7027123822010992e-07
1861,1.6788831125325032e-07,2.1457634558075256e-07
1862,9.307051873630456e-08,1.5496693708816345e-07
1863,1.143768160183356e-07,2.062778428069123e-07
1864,1.2466292620416652e-07,2.1959854412667568e-07
1865,1.0355057483701913e-07,1.4073464449371187e-07
1866,1.2942529759030208e-07,1.7467550250671593e-07
1867,1.1889387963037734e-07,1.780981850885155e-07
1868,9.682153423451467e-08,1.852452751194278e-07
1869,1.1573940161824225e-07,1.6750470832604947e-07
1870,1.0665330840708975e-07,1.697278473322683e-07
1871,4.99195342840153e-08,1.348889497876371e-07
1872,1.1066630678513434e-07,1.3787933839104483e-07
1873,1.4725570851581438e-07,1.5683331078264473e-07
1874,1.0216581447508588e-07,2.216580057279316e-07
1875,1.0127102711976477e-07,1.6764074572961363e-07
1876,8.283040520140617e-08,1.2273409977225924e-07
1877,1.0576035047726862e-07,2.492480741800307e-07
1878,1.600358487952036e-07,1.8358829079190286e-07
1879,1.4601287046112077e-07,1.6434085459149372e-07
1880,8.214843538745242e-08,3.439965610141371e-07
1881,1.1295462259974798e-07,1.5409242060115957e-07
1882,1.2844893282348835e-07,3.880089398666797e-07
1883,1.0742876366265364e-07,1.415531940551773e-07
1884,1.558000528589787e-07,1.960704061332308e-07
1885,1.0055191379532147e-07,2.0561578129019153e-07
1886,1.5423778870760074e-07,1.187437317362594e-07
1887,1.3514874475095695e-07,1.8280988950403199e-07
1888,1.0842450848258522e-07,1.3315291180759914e-07
1889,1.2029062695928516e-07,1.1841108554788704e-07
1890,8.455158556630593e-08,1.212561464569717e-07
1891,7.394095424828606e-08,1.3385862496217982e-07
1892,8.650546878818943e-08,1.667424271989404e-07
1893,1.1146733691624888e-07,7.513268318604105e-08
1894,1.102769380256774e-07,9.326278394006238e-08
1895,1.3361324713301315e-07,1.9079008506395212e-07
1896,1.0614652418139414e-07,4.186890412150035e-08
1897,7.982597916011969e-08,7.283392178258907e-08
1898,1.0637707481553349e-07,1.391955368745812e-07
1899,1.0668226124721514e-07,5.582854178953767e-08
1900,1.1835600921550338e-07,6.956011078251834e-08
1901,8.327221268089602e-08,9.277306567412325e-08
1902,7.660042644630494e-08,8.93671643353855e-08
1903,1.1880484729331897e-07,5.0222049630122e-08
1904,7.524475620357407e-08,3.386013691653034e-08
1905,8.463644651790503e-08,5.8316577455919116e-08
1906,1.116288048663705e-07,5.247068157743229e-08
1907,1.1777111208477464e-07,6.994267098825446e-08
1908,1.502885083048966e-07,5.5007557620001535e-08
1909,1.4907666123775698e-07,7.646367272684529e-08
1910,1.1436482716398189e-07,7.481810904153008e-08
1911,1.500345536697978e-07,4.894744309869026e-08
1912,1.2346328115420135e-07,6.928530343897066e-08
1913,1.6386237833287964e-07,1.4158982708512013e-07
1914,1.325955188424821e-07,7.701255128056417e-08
1915,5.890380805340101e-08,2.0027294933555595e-08
1916,1.0108465020586266e-07,1.7579939060041738e-08
1917,1.5681987053373092e-07,4.276905585243185e-08
