year,trois_DET ailes_NOUN,trois_DET pelles_NOUN
1800,2.829747991484055e-08,0.0
1801,4.524246932646747e-08,0.0
1802,1.2979472785445978e-07,0.0
1803,3.21805970315836e-07,0.0
1804,8.898663206302615e-08,0.0
1805,1.2224374312808095e-07,0.0
1806,2.1036184705280903e-07,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,6.798222074166915e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,3.042164919975221e-08,0.0
1811,1.1281845502253418e-07,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,2.5173417128598885e-08,0.0
1815,7.821948599939788e-08,0.0
1816,1.0892738089296472e-07,0.0
1817,7.628679554727569e-08,1.556873407970727e-09
1818,6.556647491606782e-08,2.384235475716423e-09
1819,1.1386155307491208e-07,1.2421260464634543e-08
1820,5.933240565525466e-09,0.0
1821,5.0293590514449704e-08,0.0
1822,3.8097340393505874e-08,1.0025615893027862e-09
1823,2.7671523739059012e-08,2.668325471688604e-08
1824,3.789500624407083e-08,1.6842225392110777e-08
1825,4.754939197937347e-08,0.0
1826,1.6735169472426037e-08,7.0463874735082754e-09
1827,1.2904182500328432e-07,5.530363722527909e-09
1828,1.7885987801946612e-07,0.0
1829,8.573175946935407e-09,1.714635211591542e-09
1830,3.757260813586072e-08,0.0
1831,2.494593065449635e-08,0.0
1832,2.841293600397421e-08,8.117981842303834e-09
1833,2.3167256557599103e-08,0.0
1834,1.9602515166639023e-08,0.0
1835,2.4958190181223472e-08,0.0
1836,3.76361994902652e-08,6.720750067579218e-10
1837,2.5048406460115302e-08,1.3915781860163179e-09
1838,2.8404729457420785e-08,0.0
1839,4.4046294167543465e-08,0.0
1840,2.8663598772293852e-08,0.0
1841,4.8154113585496816e-08,2.5682194149112547e-09
1842,1.2074877542289641e-08,8.049918065466954e-09
1843,2.4218335115122613e-08,4.134837805480629e-09
1844,2.5796237201891614e-08,1.3172547497219966e-08
1845,4.631589334280761e-08,5.580227946389016e-10
1846,2.751615646445771e-08,2.3418005312692003e-09
1847,1.9954927488186058e-08,1.0786447290911383e-09
1848,2.976732055293141e-08,1.6090443422100975e-09
1849,3.6869426622843093e-08,0.0
1850,2.4440385715251978e-08,0.0
1851,2.96674187438839e-08,3.2247193804124663e-09
1852,5.4688582773465555e-08,7.1615997576657264e-09
1853,5.01642281047765e-08,2.388772735173461e-09
1854,2.6497888327980945e-08,5.195664454227256e-10
1855,2.600399184871094e-08,3.1841622671890946e-09
1856,4.400610875698874e-08,1.0354378465748937e-09
1857,4.3445432140742923e-08,0.0
1858,3.670256892851498e-08,1.468102750479261e-09
1859,4.1246604132183506e-08,0.0
1860,2.0139609091529564e-08,1.8308735638683515e-09
1861,3.536972875695099e-08,0.0
1862,3.614389165740306e-08,9.035972525772706e-10
1863,2.447364266799923e-08,4.994620828036034e-10
1864,3.2604148714199255e-08,0.0
1865,3.0594488331647796e-08,4.706844358715045e-10
1866,2.8220554781910323e-08,4.865612912574591e-10
1867,3.34843974769683e-08,1.455843445796745e-09
1868,2.420538258718352e-08,3.951899252285784e-09
1869,4.3463320054115684e-08,3.4184632902167778e-09
1870,4.472558146062511e-08,8.027668307875047e-09
1871,2.6552942955504477e-08,5.310588635509816e-09
1872,2.2979889990892843e-08,0.0
1873,3.052862140862089e-08,1.1972008939764578e-09
1874,4.899179595341252e-08,4.779687312606029e-09
1875,3.318485752856759e-08,5.721527140956084e-10
1876,6.106474947920049e-08,0.0
1877,4.3293710283442977e-08,0.0
1878,2.4760263173106978e-08,6.039088784604019e-09
