year,sans_ADP oser_VERB,sans_ADP poser_VERB
1800,1.7512996208779441e-06,5.345079756580162e-08
1801,1.5930110990325375e-06,2.6193008650921e-08
1802,1.4904015586125752e-06,6.713520406265161e-08
1803,1.655838033798318e-06,4.4857802805609026e-08
1804,1.7772607918686845e-06,4.2021465418429216e-08
1805,1.6147544954492332e-06,5.970043304159844e-08
1806,1.7491731512109254e-06,2.881669125542885e-08
1807,1.2612010920065586e-06,1.4234775136401367e-08
1808,1.5817196015177615e-06,5.211970233176544e-08
1809,1.5090323728372823e-06,4.292158095609011e-08
1810,2.1084541259597245e-06,7.254392642153107e-08
1811,1.5192885669534917e-06,3.5099073869560016e-08
1812,1.4616301342584848e-06,2.6672083208723052e-08
1813,1.2768292876330634e-06,2.8757416448144113e-09
1814,1.2429375146894017e-06,4.405347819869121e-08
1815,1.3216395799986458e-06,3.236668177919455e-08
1816,1.36506867320918e-06,3.7081662185300956e-08
1817,1.6222620473627103e-06,3.7364962679475866e-08
1818,1.9526888124232755e-06,2.6226590676969863e-08
1819,1.9998228424356057e-06,4.45095160728215e-08
1820,2.200045621236768e-06,3.322614716694261e-08
1821,2.009771282729389e-06,4.536284592404627e-08
1822,1.951987357529106e-06,3.5089655625597516e-08
1823,1.6622678984390404e-06,2.3718449093657057e-08
1824,1.466115726600492e-06,3.621078548121659e-08
1825,1.7029727246153925e-06,1.4969252504215547e-08
1826,1.5563708046784086e-06,7.839106075380187e-08
1827,1.3226786634845666e-06,3.9634273363287065e-08
1828,1.5060918769904674e-06,5.686826770601172e-08
1829,1.875810937690403e-06,8.315981014916929e-08
1830,1.6145785259880086e-06,5.114049628218709e-08
1831,1.198963762050198e-06,4.6773619422069146e-08
1832,1.3908808718099408e-06,3.111892965534935e-08
1833,1.348334357942349e-06,6.255159412660305e-08
1834,1.5532659478623145e-06,3.173740625861399e-08
1835,1.6873249109039534e-06,5.218530674255817e-08
1836,1.4866298769788955e-06,6.586334783120762e-08
1837,1.472289671511362e-06,4.2443134229408486e-08
1838,1.5502670009936992e-06,5.554702586785254e-08
1839,1.3626385495513205e-06,6.152498244205162e-08
1840,1.7975260888647426e-06,6.242295036429368e-08
1841,1.4215094950031926e-06,7.383630551416331e-08
1842,1.4489852446786244e-06,5.500777433553594e-08
1843,1.6639768674053812e-06,8.801297335381264e-08
1844,1.4819115321529353e-06,7.244901212288823e-08
1845,1.5730662994428712e-06,7.031087467801456e-08
1846,1.3254591522127157e-06,8.020666886210392e-08
1847,1.2657895780421313e-06,7.388716571909981e-08
1848,1.0474878138211352e-06,6.516629724728773e-08
1849,1.125355446163212e-06,6.619738002200393e-08
1850,1.2512119234031616e-06,1.0590833898760366e-07
1851,1.2208787509848662e-06,6.96539399491769e-08
1852,1.3691677303029337e-06,5.5339634652540326e-08
1853,1.41713936940846e-06,4.419229693297666e-08
1854,1.1820137117979357e-06,8.884586399915406e-08
1855,1.4344651333431102e-06,7.111295374784277e-08
1856,1.5702414728480107e-06,7.972871074457544e-08
1857,1.541580559205613e-06,7.468708806968039e-08
1858,1.47397519967285e-06,5.4809172755909685e-08
1859,1.4690920338011892e-06,9.624207386593753e-08
1860,1.5461727187471297e-06,5.2179896847803775e-08
1861,1.4397837588830953e-06,6.790987738813925e-08
1862,1.4127742531400145e-06,6.641440131183174e-08
1863,1.3105885230402237e-06,7.042415117730627e-08
1864,1.4173215276969131e-06,5.322147900166385e-08
1865,1.4638286067736317e-06,7.20147168564722e-08
1866,1.2825756030565572e-06,7.541699820201586e-08
1867,1.2253348700141942e-06,5.774845668327089e-08
1868,1.1959435042285804e-06,7.311013860977766e-08
1869,1.3771524436378968e-06,9.620532681609006e-08
1870,1.2729587979265489e-06,7.22490183235891e-08
1871,1.1364659258106258e-06,4.460894276192562e-08
1872,1.2088631038409403e-06,7.014913261382816e-08
1873,1.2043840982300935e-06,7.003625124291091e-08
1874,1.1429427573261819e-06,7.587753270144049e-08
1875,1.2896322232336388e-06,6.06481881382237e-08
1876,1.2092029422205997e-06,9.552703161830323e-08
1877,1.2066576502434145e-06,5.1333972184153254e-08
1878,1.0834125241387937e-06,7.005342972377093e-08
1879,1.3678779495762683e-06,6.842444388865943e-08
1880,1.1532869805819246e-06,5.2626337510019994e-08
1881,1.1804454942421216e-06,6.205531732916825e-08
1882,1.3091142534449318e-06,6.389169637799341e-08
1883,1.1368490646646023e-06,6.129758878259395e-08
1884,1.2285757691188337e-06,5.677459480324387e-08
1885,1.1241189241673055e-06,7.025743054001055e-08
1886,1.0970888268957424e-06,5.356375154530468e-08
1887,9.858676364160601e-07,7.965287962541368e-08
1888,1.0341542449054941e-06,1.0144983253468354e-07
1889,9.823734323788358e-07,7.831420756332363e-08
1890,8.894302396811327e-07,6.030035448745252e-08
1891,9.478465443635287e-07,6.374219907456791e-08
1892,8.920093250708305e-07,7.020734038576393e-08
1893,9.471644411007674e-07,7.020594972040328e-08
1894,9.58464106304291e-07,6.490585691132367e-08
1895,1.0219607702310896e-06,7.703826376825873e-08
1896,9.276026347038169e-07,7.725107842304624e-08
1897,8.920698313374942e-07,5.710179173945562e-08
1898,9.421161095701791e-07,7.69536288025563e-08
