year,plusieurs_DET îles_NOUN,plusieurs_DET iles_NOUN,plusieurs_DET piles_NOUN
1800,1.1067458807190178e-06,3.772997292372793e-08,1.8864987794131594e-08
1801,9.143740875572348e-07,3.5717738544605027e-08,2.3811825400343878e-08
1802,8.839468250698701e-07,4.2518962573012686e-08,5.147032311469957e-08
1803,8.776526363440951e-07,4.8758479920252285e-08,6.436119548425268e-08
1804,1.2730032636909527e-06,5.6852570651244605e-08,3.9549615138412264e-08
1805,6.4249033471242e-07,4.264316544322355e-08,2.55858996212055e-08
1806,5.734521471012499e-07,2.881669125542885e-08,2.881669125542885e-09
1807,7.459022306477436e-07,3.9857373401730456e-08,0.0
1808,1.0514582911014259e-06,3.852325791697808e-08,2.2660739951163578e-09
1809,6.709320814479725e-07,3.6144488291256494e-08,2.710836710662079e-08
1810,6.224737028048821e-07,5.616304221689461e-08,9.360507036149102e-09
1811,6.042054963018018e-07,6.267691565753353e-08,1.2535384286138651e-08
1812,7.121445904090251e-07,2.1337665856435706e-08,8.00162425207418e-09
1813,9.403675087504837e-07,2.0130191291656274e-08,8.627225156487839e-08
1814,3.4298780970942744e-07,1.8880061958270744e-08,3.1466771410748606e-09
1815,8.81992090029371e-07,6.473336511270134e-08,1.6183340889597275e-08
1816,7.578564780175157e-07,3.7081662185300956e-08,5.0987285504788815e-08
1817,6.383181148095218e-07,3.113746771532533e-08,3.7364962679475866e-08
1818,5.281081403296639e-07,2.2650237685439834e-08,3.5763532135746345e-09
1819,3.881643646508337e-07,1.7596785029105888e-08,8.280840013696888e-09
1820,7.689480021610962e-07,5.933240565525466e-08,2.3732962262101864e-08
1821,5.650632939335765e-07,2.0709125858608957e-08,1.972297702934611e-08
1822,5.453935330024251e-07,3.8097340393505874e-08,1.7043547018147365e-08
1823,4.0222534991585235e-07,2.8659791428964354e-08,1.7788837070042973e-08
1824,4.909508639627802e-07,5.642145595174952e-08,1.8526447931321854e-08
1825,5.309681903042929e-07,5.547428960639422e-08,6.163809906922779e-09
1826,8.182617499130629e-07,5.7251897223054016e-08,2.7304752237000685e-08
1827,5.355235632720223e-07,5.253845775099464e-08,2.6730091917670507e-08
1828,5.861100333959257e-07,4.769596506637441e-08,4.1275356466030644e-08
1829,6.104101082371471e-07,8.144517060770795e-08,4.029392641768936e-08
1830,6.147296467418073e-07,6.36646975138433e-08,2.0873670791843324e-08
1831,4.2408081135647535e-07,1.8709447990872263e-08,4.677361786775691e-08
1832,5.344337807855482e-07,6.764984983309574e-08,2.841293600397421e-08
1833,1.3135835033040166e-06,1.8881314556296047e-07,3.359252431778259e-08
1834,7.747660735191175e-07,6.627516691004587e-08,2.240287422239362e-08
1835,5.611811175754156e-07,6.277362984974388e-08,2.647080776796429e-08
1836,5.020400131172664e-07,3.427582545567631e-08,1.814602440530777e-08
1837,3.9938294982277966e-07,6.331680624249714e-08,1.6698937344017395e-08
1838,4.172338989860691e-07,7.385229161549489e-08,2.3354999711955315e-08
1839,4.152936377010974e-07,6.571986554959608e-08,4.124970420793517e-08
1840,3.949207094677831e-07,7.452535866203647e-08,3.248541347034006e-08
1841,4.83467292866635e-07,7.961480319451653e-08,1.0914932957462042e-08
1842,4.6823691102204634e-07,4.494537542143462e-08,2.2808100297311285e-08
1843,3.5323327285397e-07,5.670634461996116e-08,1.1813821976236483e-08
1844,3.2327627152994864e-07,5.762989474522584e-08,3.1833653935109396e-08
1845,3.398358714434835e-07,6.361459825576787e-08,1.1718478465372328e-08
1846,4.150841510508485e-07,5.1519611243833197e-08,2.9272506196775794e-08
1847,3.537954729182502e-07,5.3932235566378495e-08,2.480882876909618e-08
1848,3.2985408893182466e-07,4.58577624762313e-08,1.126331028444838e-08
1849,2.974692185908623e-07,4.1897074698482584e-08,4.4410899846525353e-08
1850,2.6884425086137753e-07,6.856885992334583e-08,8.82569484161877e-09
1851,3.0183374732928314e-07,4.385618246338652e-08,1.2898877521649865e-08
