year,serons_VERB à_ADP,serons_VERB a_ADP,serons_VERB pas_ADV
1800,4.244622004989651e-07,3.144164484325529e-09,4.936338200423052e-07
1801,3.905139465132379e-07,0.0,4.548058711861813e-07
1802,3.6924362234458386e-07,0.0,4.788977889802482e-07
1803,2.652461432717246e-07,1.950339223455444e-09,4.368759789485921e-07
1804,3.781931923185766e-07,4.943701892301533e-09,3.9302429399867833e-07
1805,2.3311596919484145e-07,0.0,3.752598445316835e-07
1806,1.7578182109900808e-07,2.881669125542885e-09,4.005520111149963e-07
1807,1.9643989901396708e-07,0.0,3.188589801084163e-07
1808,2.2660739773527894e-07,2.2660739951163578e-09,3.965629389313108e-07
1809,1.965356517530381e-07,0.0,4.134025743951497e-07
1810,2.971960952891095e-07,0.0,4.820661274607119e-07
1811,1.1031137603367824e-07,0.0,3.0335630185618356e-07
1812,2.2404549326893175e-07,0.0,4.7476305553573184e-07
1813,2.904499183387088e-07,2.8757416448144113e-09,1.7542024011163448e-07
1814,2.580275122454623e-07,0.0,6.482155185949523e-07
1815,1.8341120266995858e-07,0.0,4.935919264426047e-07
1816,2.3871319854151807e-07,2.3176038865813098e-09,4.542503688753641e-07
1817,3.5496714190230705e-07,4.670620334934483e-09,4.950857714902668e-07
1818,3.326008481963072e-07,1.1921177378582115e-09,3.8028557014513353e-07
1819,2.5463583597229444e-07,1.449147024601416e-08,5.455003133647551e-07
1820,2.7174240813110373e-07,0.0,4.4143308741695364e-07
1821,3.609304712881567e-07,0.0,6.390244493559294e-07
1822,3.6794011748497724e-07,2.0051231786055723e-09,4.972705482941819e-07
1823,2.2532526600116398e-07,0.0,4.644862769964675e-07
1824,3.4442351193320064e-07,5.894778887238772e-09,4.791613150700869e-07
1825,3.927227680833312e-07,8.805443041381977e-10,4.7461338681387133e-07
1826,2.4310037360919523e-07,8.807984341885344e-10,3.787433229263115e-07
1827,3.272132005349704e-07,0.0,3.8343856090250483e-07
1828,2.5132104042313586e-07,9.172301251858528e-10,5.099799409435946e-07
1829,3.154928833737358e-07,8.57317605795771e-10,4.286588080049114e-07
1830,3.4963400707965775e-07,3.1310507520032616e-09,5.38540746219951e-07
1831,2.853190608220757e-07,3.1182412207897414e-09,5.082733309791365e-07
1832,3.0171833031999995e-07,4.058990921151917e-09,4.6543095777451526e-07
1833,3.092828819717397e-07,3.475088550253247e-09,5.14313114763354e-07
1834,3.0990642585493333e-07,7.467624518753269e-09,4.881959512204048e-07
1835,3.524398834997555e-07,3.781543966852041e-09,6.292489160841797e-07
1836,2.822715146066912e-07,1.3441500135158435e-09,4.859102205045929e-07
1837,3.089303675096744e-07,3.478945576063097e-09,3.7503031080632354e-07
1838,3.067710565574089e-07,1.2624323808552163e-09,4.74674578754275e-07
1839,3.544678008893243e-07,6.9914751765765e-10,5.474324780152529e-07
1840,3.541546789165295e-07,4.458782232319436e-09,4.6498726646859723e-07
1841,3.2616387102279987e-07,2.5682194149112547e-09,4.99518648666708e-07
1842,3.2468003041685733e-07,2.0124795163667386e-09,4.6555359745070746e-07
1843,3.047966004032787e-07,2.953455480181333e-09,4.6073907356003474e-07
1844,2.8869831680822244e-07,1.6465684371524958e-09,5.472095381264808e-07
1845,3.498802811918722e-07,2.7901139176833567e-09,4.882699613517616e-07
1846,3.4307376495235076e-07,2.9272506640865004e-09,4.6660375119245145e-07
1847,2.933913663127896e-07,2.1572894581822766e-09,4.557273882710433e-07
1848,3.0813200169177435e-07,2.413566457803995e-09,4.86735928006965e-07
1849,3.510974977416481e-07,3.3517659758786067e-09,5.379584422371408e-07
1850,3.2179841014112753e-07,2.0366988096043315e-09,5.302205750012945e-07
1851,2.8828992526541697e-07,3.8696632564949596e-09,4.3920678649556066e-07
1852,2.6107286998922064e-07,1.9531636308300904e-09,5.071714781479386e-07
