year,ces_DET arts_NOUN,ces_DET parts_NOUN
1800,1.8613453391935764e-06,3.458580977167003e-08
1801,1.0715321216991924e-06,6.191074675143682e-08
1802,1.8036990923064877e-06,6.489736392722989e-08
1803,1.5290658978983629e-06,3.900678446910888e-09
1804,1.7846763444850922e-06,7.16836807690413e-08
1805,1.239494731741786e-06,8.528633421711618e-08
1806,1.455242912840049e-06,6.051504897186533e-08
1807,1.79642871245278e-06,9.964342684298799e-08
1808,1.4253605664649172e-06,8.611080914988634e-08
1809,1.19954516009102e-06,4.0662548883574345e-08
1810,1.2683486758646723e-06,1.8721014072298203e-08
1811,1.1432269886313406e-06,7.521230349638586e-08
1812,1.2509206577249188e-06,6.401299401659344e-08
1813,9.489947192520276e-07,1.121539270343419e-07
1814,1.0352568011740004e-06,1.1642705288750221e-07
1815,1.057311649788062e-06,3.236668177919455e-08
1816,8.204317882842815e-07,6.721051448721482e-08
1817,1.3217855674430012e-06,2.9580593974287694e-08
1818,1.2493393768409078e-06,6.318224166079744e-08
1819,1.2711089310002421e-06,3.8298885840504227e-08
1820,1.121382496194201e-06,3.559944161679596e-08
1821,1.0315116751868914e-06,2.7612167663448872e-08
1822,1.150940676097889e-06,1.0025615893027862e-07
1823,1.1701101758632149e-06,4.743689885344793e-08
1824,8.867431589010266e-07,3.2842341290972854e-08
1825,1.0689807763419878e-06,2.201360693732113e-08
1826,1.0366997047484006e-06,3.435113882233054e-08
1827,9.49379131753858e-07,8.203373091930644e-08
1828,8.016591381831972e-07,1.0364700619991396e-07
1829,9.224737400614913e-07,4.715246859632316e-08
1830,9.560141460696059e-07,5.844628248041772e-08
1831,5.924658061928767e-07,8.26333899084375e-08
1832,9.227439328185483e-07,4.600189584813563e-08
1833,7.274518623034965e-07,1.3552845068431907e-07
1834,8.130376194515065e-07,9.521221677744052e-08
1835,5.952150203825113e-07,6.655517381659593e-08
1836,6.828282295145982e-07,7.527239942461961e-08
1837,7.076175028153386e-07,6.331680857396549e-08
1838,6.514151209557895e-07,6.817135145276154e-08
1839,5.900805231107142e-07,8.809258655873009e-08
1840,6.095791853510946e-07,4.522479013502334e-08
1841,5.951848325302933e-07,5.5216718308770396e-08
1842,4.467704446398102e-07,8.04991784342235e-08
1843,6.73978572729439e-07,8.919435590115654e-08
1844,5.565400993390313e-07,1.3282318755969413e-07
1845,7.07014885081847e-07,8.258737560495888e-08
1846,6.000863805866175e-07,8.664661965696041e-08
1847,6.293891754438619e-07,1.0624650226276344e-07
1848,5.165032396781122e-07,1.1826476198351088e-07
1849,3.242833592764782e-07,1.139600462884971e-07
1850,4.344957575952435e-07,1.6293590476834652e-07
1851,3.9470566459698375e-07,1.663955218056401e-07
