year,plus_ADV heureux_ADJ,plus_ADV peureux_ADJ
1800,1.8742364403578904e-05,1.5720821977538435e-08
1801,2.1154426974590024e-05,7.143547975374531e-09
1802,1.888289435214574e-05,6.713520406265161e-09
1803,1.9068466428961983e-05,3.900678446910888e-09
1804,2.163116732845083e-05,2.4718509461507665e-09
1805,1.953341222815652e-05,5.685755422035754e-09
1806,1.8886458775568826e-05,0.0
1807,1.8140798886179255e-05,2.8469551160981155e-09
1808,1.8810679762282234e-05,6.798221985349073e-09
1809,1.678459651088815e-05,3.162642769893864e-08
1810,2.2848998355584627e-05,0.0
1811,1.6153095089066483e-05,7.521229861140455e-09
1812,1.7880963099514702e-05,0.0
1813,2.146165928706978e-05,0.0
1814,2.0292920197562125e-05,3.776012391654149e-08
1815,1.882392388097287e-05,2.697223555614414e-09
1816,1.7270784923084648e-05,1.622322720606917e-08
1817,1.8652900251936444e-05,3.113746815941454e-09
1818,1.9418406452587078e-05,1.668964877410417e-08
1819,1.9709435264303465e-05,2.070210003424222e-09
1820,1.994636880908729e-05,5.933240565525466e-09
1821,2.0019806584059552e-05,4.930744257336528e-09
1822,1.963216089961861e-05,1.9048670196752937e-08
1823,1.8844307078325073e-05,2.075364236020505e-08
1824,1.8101181183283188e-05,1.0947446504872005e-08
1825,1.840689827758979e-05,1.2327619813845558e-08
1826,1.6294770347258236e-05,1.2331177856594877e-08
1827,1.676990706300785e-05,2.2121454890111636e-08
1828,1.5153558479141793e-05,1.834460228167245e-08
1829,1.6277031647859985e-05,4.286587973467704e-09
1830,1.847737462412624e-05,1.461157062010443e-08
1831,1.524040362710366e-05,1.2472964883158966e-08
1832,1.592071464528999e-05,1.7588959622116818e-08
1833,1.7751911343566462e-05,5.21263281427764e-08
1834,1.5753887851133186e-05,3.9205030333278046e-08
1835,1.4828190558091592e-05,2.4201881387853064e-08
1836,1.4053760878596222e-05,2.419469957715137e-08
1837,1.4264372396155522e-05,6.957891152126194e-09
1838,1.4243393053448017e-05,1.3255539776935166e-08
1839,1.3586533640363996e-05,9.788065469251706e-09
1840,1.4747102937917589e-05,1.592422194107712e-08
1841,1.4124564415851637e-05,9.630822361827995e-09
1842,1.5190866292869032e-05,2.2808102073668124e-08
1843,1.4917313194473536e-05,1.5357969118667825e-08
1844,1.4204397018602322e-05,3.2382512671347286e-08
1845,1.3302704985562741e-05,3.0133230854989534e-08
1846,1.363396245324111e-05,2.3418005534736608e-08
1847,1.255650369103023e-05,1.833696039454935e-08
1848,1.2837760493766837e-05,4.02261068899179e-09
1849,1.2158531433215103e-05,2.513824570726797e-08
1850,1.2688633376001235e-05,3.055048125588655e-08
1851,1.1609635123477346e-05,1.483370937194195e-08
1852,1.227563370775897e-05,1.6927417689771573e-08
1853,1.3222454242622916e-05,2.329053394589664e-08
1854,1.3544577257107449e-05,2.338049043260071e-08
1855,1.3844206591784314e-05,6.368324534378189e-09
1856,1.2765913481871394e-05,1.9673318973900678e-08
1857,1.2593805536198488e-05,8.78671624349181e-09
1858,1.2990751997676853e-05,1.468102794888182e-08
1859,1.3799280168313999e-05,2.800695320104296e-08
1860,1.3924708980539435e-05,1.876645328025006e-08
1861,1.3381075461893488e-05,1.7920662287451705e-08
1862,1.2780027873304789e-05,3.7951085885001845e-08
1863,1.2324227270710253e-05,2.8968800691586694e-08
1864,1.301433047729006e-05,2.445311331200628e-08
1865,1.264776119569433e-05,1.4591217123438582e-08
1866,1.1853119588067784e-05,9.731225603104576e-09
1867,1.1858329855840566e-05,2.3778776281346836e-08
1868,1.1545967993242812e-05,2.1241458370013788e-08
1869,1.121646653245989e-05,2.0999133099053324e-08
1870,1.1909618990557647e-05,2.8670243068518175e-08
1871,1.0451238722453127e-05,1.3807530230280918e-08
1872,1.10436512841261e-05,2.660829245826335e-08
1873,1.0642517054293421e-05,1.5563610844537834e-08
1874,1.0546977250669443e-05,2.8678122987457755e-08
1875,1.1143246126721351e-05,2.3458261722009155e-08
1876,1.065972895730738e-05,1.0278225381910033e-08
1877,1.1125865057692863e-05,1.7935965934690046e-08
1878,1.0336504374208744e-05,1.6305540029293297e-08
1879,1.0919196824943356e-05,9.774920428640144e-09
1880,1.1213261018383491e-05,1.1552122813895949e-08
1881,1.038415518905822e-05,2.091752193678076e-08
1882,1.0166100423703028e-05,9.983077475794744e-09
1883,9.75010806314458e-06,1.8326083761621703e-08
1884,1.0196320943123283e-05,1.386356363042296e-08
1885,9.1876087253695e-06,2.0626034213933053e-08
1886,9.506597393738048e-06,4.4528899678653033e-08
1887,8.759205172736984e-06,9.140494583448344e-09
1888,8.83247659544395e-06,2.7264643875923866e-08
1889,9.202232462257598e-06,1.628935564212952e-08
1890,8.445326727724023e-06,2.1629475099871343e-08
1891,8.153902086860398e-06,1.1473596295275001e-08
1892,8.563414581885809e-06,1.5044429702015805e-08
1893,8.345270458676168e-06,2.093861639629324e-08
1894,8.255646378074744e-06,1.8904618537263218e-08
1895,8.465181423389367e-06,1.023164486468886e-08
1896,8.037650474079783e-06,1.4152869098893461e-08
1897,7.48907481806782e-06,2.2724183423861177e-08
1898,8.056366084474575e-06,1.7540900287826844e-08
1899,7.747454077389193e-06,1.326618814800895e-08
1900,7.744013061028454e-06,1.038210584169974e-08
1901,7.488910199526799e-06,1.3412973842719111e-08
1902,6.2851632378624345e-06,1.6203935970793282e-08
1903,7.4118023860592075e-06,1.8900770726304472e-08
1904,7.165987824464537e-06,1.9348650681649815e-08
1905,7.459360915618163e-06,1.9610883583709438e-08
1906,7.16379116738608e-06,1.2860461140462576e-08
1907,7.471008586890093e-06,1.8514235478050978e-08
1908,7.350876046530175e-06,1.1787333775714615e-08
1909,7.503341521442053e-06,1.1001967337165297e-08
1910,7.554491475048053e-06,1.1757131268552712e-08
1911,6.979799053397073e-06,1.0108710979395141e-08
1912,7.539595515027031e-06,1.614920641657136e-08
1913,7.233277898421875e-06,1.4848371032716301e-08
1914,7.138059118005913e-06,1.4063162190325329e-08
1915,6.186078138625817e-06,2.591767689352764e-08
