year,serais_VERB assez_ADV
1800,9.746909768182377e-08
1801,1.04772034603684e-07
1802,1.1860552717735118e-07
1803,1.1311967540450496e-07
1804,8.898663139689234e-08
1805,5.970043304159844e-08
1806,5.76333825108577e-08
1807,7.402083213037258e-08
1808,9.517511045942229e-08
1809,1.1746958961111886e-07
1810,7.722418615685456e-08
1811,1.6045291317823285e-07
1812,2.827240734859515e-07
1813,1.0927818294703684e-07
1814,5.349351184236184e-08
1815,5.933891955578474e-08
1816,5.7940098940889584e-08
1817,9.185553295765203e-08
1818,1.6332012364728143e-07
1819,1.0868602373648173e-07
1820,1.376511846729045e-07
1821,1.9525747063653398e-07
1822,1.7845596289589594e-07
1823,1.7195874590925087e-07
1824,1.440010208852982e-07
1825,8.101007864524945e-08
1826,9.953022583886195e-08
1827,1.7236300209333422e-07
1828,1.0456423638061096e-07
1829,1.285976338749606e-07
1830,1.5133412034629146e-07
1831,1.933309619062129e-07
1832,2.2189149717632972e-07
1833,2.1313876175099722e-07
1834,1.1854854164994322e-07
1835,2.609265266073635e-07
1836,1.303825456488994e-07
1837,1.2872098409388855e-07
1838,1.1929985532788123e-07
1839,1.5940563002914132e-07
1840,1.4713981499880902e-07
1841,1.4061001252230199e-07
1842,1.8045233218799694e-07
1843,1.6952834869243816e-07
1844,1.7618282299736165e-07
1845,1.6573277150655485e-07
1846,1.2528633419606194e-07
1847,8.952751073820764e-08
1848,1.311371136125672e-07
1849,1.2736710175431654e-07
1850,1.0522943938440221e-07
1851,1.2060451126671978e-07
1852,1.4648726676114165e-07
1853,1.5646460838070197e-07
1854,1.5898733352059935e-07
1855,1.353268999082502e-07
1856,1.532447981844598e-07
1857,1.4839787354503642e-07
1858,1.5855509616358177e-07
1859,1.7415233344308945e-07
1860,1.3228061845893535e-07
1861,1.6270074354451936e-07
1862,1.6897269006221904e-07
1863,1.7930689466538752e-07
1864,2.0281699164570455e-07
1865,1.5203107750494382e-07
1866,1.9365138825833128e-07
1867,1.339375899078732e-07
1868,1.2349684652690485e-07
1869,1.8557372527538973e-07
1870,1.3761717809757101e-07
1871,1.8374636567841662e-07
1872,1.4211246934792143e-07
1873,1.3767810003173508e-07
1874,1.7027636545208225e-07
1875,1.7450658162943e-07
1876,1.7170681587685976e-07
1877,1.9667714923343738e-07
1878,1.2742476940275083e-07
1879,1.4845660700757435e-07
1880,1.354165561906484e-07
1881,1.4293640049345413e-07
1882,1.8102647914020054e-07
1883,1.5798347874351748e-07
1884,1.1090850904338367e-07
1885,1.2311164709899458e-07
1886,1.413308581277306e-07
1887,1.2470246701923315e-07
1888,1.490044496677001e-07
1889,1.165315453022231e-07
1890,1.3960843148197455e-07
1891,1.5361869998287148e-07
1892,1.5733965597064525e-07
1893,1.5888714699485718e-07
1894,1.386338652764607e-07
1895,1.6430817595392e-07
1896,1.4742572318482416e-07
1897,1.2702236062978045e-07
1898,1.2108878877370444e-07
1899,1.5145565157581586e-07
1900,1.3081454142138682e-07
1901,1.5536694775164506e-07
1902,1.2177504515875626e-07
1903,1.344654805279788e-07
1904,1.3167831980354094e-07
1905,1.181813829020939e-07
1906,1.2603251775544777e-07
1907,1.727995311284758e-07
1908,1.203290338480656e-07
1909,9.626721464428556e-08
1910,1.4375765999830037e-07
1911,1.181123039373233e-07
1912,1.5836640443467331e-07
1913,1.288626521045444e-07
1914,1.2656845171932218e-07
1915,8.128725426104211e-08
1916,1.2965205087311915e-07
1917,9.650453591802943e-08
1918,1.0567465835720213e-07
1919,1.022071174361372e-07
1920,1.2418459505170176e-07
1921,1.3782400287709606e-07
1922,9.296199010577766e-08
1923,1.2951456085374957e-07
1924,1.19892106908992e-07
1925,1.1108159725381483e-07
1926,1.0031524766418443e-07
1927,1.2041162733567035e-07
1928,1.3254208397484035e-07
1929,1.2811467797746445e-07
1930,9.453243166035463e-08
1931,1.1975625113791466e-07
1932,1.3370635087994742e-07
1933,8.832410003378754e-08
1934,1.1142869738023364e-07
1935,9.813992818408224e-08
1936,8.608547119592913e-08
1937,7.302848814561003e-08
1938,7.001215607260747e-08
1939,1.2541121918729914e-07
1940,6.339457314652464e-08
1941,6.788455664263893e-08
1942,1.153000468434584e-07
1943,7.83873517207212e-08
1944,8.354284375400312e-08
1945,7.406913482554955e-08
1946,1.1554516277101357e-07
1947,1.0967201546918659e-07
1948,9.675979839585125e-08
1949,1.0504199110528134e-07
1950,9.465471606517895e-08
1951,1.3646594254623778e-07
1952,9.806667833345273e-08
1953,8.295847209183194e-08
1954,1.006571253014954e-07
1955,7.320774386698758e-08
1956,8.982775767663043e-08
1957,1.0336994193949067e-07
1958,5.9560154141991006e-08
1959,7.673240531858028e-08
1960,8.166583143065509e-08
1961,8.476754231878658e-08
1962,1.1161843360696366e-07
1963,1.0992290810918348e-07
1964,1.0281906526188322e-07
1965,8.37222629002099e-08
1966,8.640956394856403e-08
1967,7.987143391119389e-08
1968,9.29723071863009e-08
1969,8.856427768932917e-08
1970,8.691590380749403e-08
1971,1.0276794881747264e-07
1972,9.234264553015237e-08
1973,8.545465846054867e-08
1974,7.313243344242437e-08
1975,6.511087491389844e-08
1976,6.39915000988367e-08
1977,7.228441489814941e-08
1978,7.960392167660757e-08
1979,6.495690740848659e-08
1980,6.367368854398592e-08
1981,6.57857128771866e-08
1982,6.021276988121826e-08
1983,4.673333720006667e-08
1984,4.1752862500743504e-08
1985,6.436646771135202e-08
1986,7.073492724885e-08
1987,6.171924837872211e-08
1988,5.217001941559829e-08
1989,6.969915489207779e-08
1990,5.285191306825254e-08
1991,6.213153369571955e-08
1992,5.234446831536843e-08
1993,5.096070765375771e-08
1994,4.2199413741172975e-08
1995,5.314001683132119e-08
1996,5.818520421030371e-08
1997,4.075660342550691e-08
1998,4.6727667069035306e-08
1999,4.113180906983871e-08
2000,5.831801530575831e-08
2001,5.9584479572549753e-08
2002,5.783212486676348e-08
2003,4.8752998083045895e-08
2004,4.5809830595544554e-08
2005,4.4136747590073355e-08
2006,4.776752149382446e-08
2007,5.2727127552998354e-08
2008,5.704969296971285e-08
2009,6.103286409597786e-08
2010,6.991214007712188e-08
2011,6.577231914661752e-08
2012,8.885099589406309e-08
2013,1.0459218913183577e-07
2014,1.2213111233450036e-07
2015,1.3077794847049518e-07
2016,1.4292245964497852e-07
2017,9.28260561749994e-08
2018,1.2700816398591996e-07
2019,1.1173326441848985e-07
