year,pas_ADV osé_VERB,pas_ADV posé_VERB
1800,2.2040592284611193e-06,8.174827570428533e-08
1801,1.9787628389167367e-06,8.810375362600098e-08
1802,2.2490294213639572e-06,1.2308120744819462e-07
1803,1.8313685359316878e-06,9.166594594489652e-08
1804,2.0590518943208735e-06,5.6852570651244605e-08
1805,2.3169452560978243e-06,1.7057265822018053e-08
1806,2.011405058510718e-06,5.187004603612877e-08
1807,1.7423365079594078e-06,5.693910054560547e-08
1808,1.9850808712362777e-06,4.985362878073829e-08
1809,1.6400562117269146e-06,4.743964154840796e-08
1810,1.9352848994458327e-06,8.424456154898508e-08
1811,1.5243026609823573e-06,2.5070768572277302e-08
1812,1.9097210497420747e-06,5.601137331723294e-08
1813,2.5795402507355902e-06,2.5881675469463516e-08
1814,2.583421974122757e-06,6.608021863030444e-08
1815,2.4355929326702608e-06,8.361393355471591e-08
1816,2.13914836422191e-06,6.721051448721482e-08
1817,2.6171042009082157e-06,5.1376822796100896e-08
1818,2.2316444301395677e-06,7.033494853203592e-08
1819,2.3766010599501897e-06,6.83169290027763e-08
1820,2.73047726295772e-06,1.0205173595068118e-07
1821,3.0659366530016996e-06,6.409967312492881e-08
1822,2.3359684746537823e-06,7.318699601910339e-08
1823,2.533920905989362e-06,5.5343047478118024e-08
1824,2.4025434868235607e-06,5.136878655775945e-08
1825,2.226016022177646e-06,3.434122675116669e-08
1826,2.475043629601714e-06,4.932471142637951e-08
1827,2.1918674519838532e-06,5.8068820862899884e-08
1828,2.3627846985618817e-06,8.805409379419871e-08
1829,2.4364967430301476e-06,6.687077558353849e-08
1830,2.6384320790384663e-06,8.662573947049168e-08
1831,2.751847887338954e-06,8.886987501455224e-08
1832,3.0077121664362494e-06,1.1094574858816486e-07
1833,2.4927969661803218e-06,7.066013552048389e-08
1834,2.6575410174700664e-06,7.467625096069241e-08
1835,2.5101887786149746e-06,7.865611451052246e-08
1836,2.244730467282352e-06,7.661655132551459e-08
1837,2.3635955130885122e-06,1.0784730619661786e-07
1838,2.236399041066761e-06,8.900148174006972e-08
1839,2.218395138697815e-06,1.1046530801195331e-07
1840,2.8593533443199703e-06,1.1210651962301199e-07
1841,2.44045054387243e-06,1.3868384485249408e-07
1842,2.488095560693182e-06,1.7106076199979725e-07
1843,2.5647807433415437e-06,2.492716362212377e-07
1844,2.5214451397914672e-06,1.6026598359530908e-07
1845,2.596480044303462e-06,1.3950570121323835e-07
1846,2.4705996111151762e-06,1.469479826710085e-07
1847,2.5747249310370535e-06,1.9685266750002484e-07
1848,2.1585328795481473e-06,1.6573156358390406e-07
1849,2.4384096377616515e-06,1.466397634430905e-07
1850,2.5289009499829262e-06,1.6429370930381992e-07
1851,2.6474945116206072e-06,1.1093034402165358e-07
1852,1.9570700260373997e-06,1.3281513133733824e-07
1853,2.0507613953668624e-06,1.6363092925075762e-07
1854,1.9712351786438376e-06,1.6989822881896544e-07
1855,2.1312660010153195e-06,1.6239226852121647e-07
1856,2.0424010926944902e-06,1.2114622904846328e-07
1857,2.432456085443846e-06,1.1764436891326113e-07
1858,2.423348405500292e-06,1.5708700118466368e-07
1859,2.3332338514592266e-06,1.1355546547520134e-07
1860,2.5375907171110157e-06,1.2724571263333928e-07
1861,2.4593750822532456e-06,1.1318312687080834e-07
1862,2.4351945739908842e-06,1.3192520498250815e-07
1863,2.3349853108811658e-06,1.6282463377592649e-07
1864,2.6337440885981778e-06,1.4959550753701478e-07
1865,2.2592853383684997e-06,1.289675424231973e-07
1866,2.3067871097737225e-06,1.4694151673211309e-07
1867,2.1468838440341642e-06,1.6984840556233394e-07
1868,2.1804603420605417e-06,1.3535255050101114e-07
1869,2.368506784478086e-06,1.3429678347165463e-07
1870,2.2483204702439252e-06,1.5481931825434003e-07
1871,2.429063215458882e-06,1.2214353262152144e-07
1872,2.5162978545267833e-06,1.4332194098187756e-07
1873,2.2028496005077614e-06,1.2869909937762714e-07
1874,2.1837197436980205e-06,1.4518300872623513e-07
1875,2.185051243941416e-06,1.0642040138009179e-07
1876,1.9969986624346348e-06,1.2938471627421677e-07
1877,2.151697572116973e-06,1.1194516957857559e-07
1878,2.092544264087337e-06,1.1776222663684166e-07
1879,2.349646592847421e-06,1.3990354830184515e-07
1880,2.111471530952258e-06,1.6622222176465584e-07
1881,2.312780679858406e-06,1.5409241882480273e-07
1882,2.3486854843213223e-06,1.4175969909047126e-07
1883,2.204817292295047e-06,1.6809441660825541e-07
1884,2.2742844976164633e-06,1.5381954199256143e-07
1885,2.2740202894055983e-06,1.4696048822315788e-07
1886,2.156102254957659e-06,1.3165066548026516e-07
1887,2.200247536165989e-06,1.841156773707553e-07
1888,2.187512109230738e-06,1.2554417594401457e-07
1889,2.0142415451118723e-06,1.566284169030041e-07
1890,2.105269004459842e-06,1.3305404422681022e-07
1891,1.963897148016258e-06,1.4278252535859792e-07
1892,2.0773850337718613e-06,9.4654538429495e-08
1893,1.9971744222857524e-06,1.471861565960353e-07
1894,2.0133418274781434e-06,1.4682586879644077e-07
1895,2.101098289131187e-06,1.5227094252168172e-07
1896,2.1524156181840226e-06,2.2703561342041212e-07
1897,2.1803562049171887e-06,1.8820284708453983e-07
1898,2.2695660391036654e-06,1.6805313407530775e-07
1899,2.1988707885611802e-06,1.5200841119167308e-07
1900,1.9393773982301354e-06,2.0037465731093107e-07
1901,1.910231048896094e-06,1.8498725751214806e-07
1902,1.7760496575647267e-06,1.6842272998474073e-07
1903,2.0909653812850593e-06,1.9872810241849947e-07
1904,2.0864295038336422e-06,2.101478457916528e-07
1905,1.965217052202206e-06,1.8939985579891072e-07
1906,1.9254682683822466e-06,1.893059931035168e-07
1907,2.005708893193514e-06,1.8925663880509092e-07
1908,2.0131783458054997e-06,1.831948139852102e-07
1909,2.0485663299041335e-06,2.1233796587694087e-07
1910,2.123765398209798e-06,2.2338549854339362e-07
1911,1.9648141460493207e-06,1.6918789924602606e-07
1912,2.0228183075232664e-06,2.0316743132298143e-07
