year,as_VERB eu_VERB,as_VERB pu_VERB
1800,2.200915076855381e-07,7.545995117652637e-08
1801,1.619204113012529e-07,1.8811341817581706e-07
1802,1.7231369042747247e-07,7.608656460433849e-08
1803,1.2677205063482688e-07,1.2092102963379148e-07
1804,1.3842365831351344e-07,8.898663139689234e-08
1805,2.5301611117356515e-07,1.2224374756897305e-07
1806,6.916005901302924e-08,8.645007376628655e-09
1807,1.537355700520493e-07,8.54086508184082e-08
1808,1.0423940466353088e-07,8.384473915157287e-08
1809,9.93973401364201e-08,4.0662548883574345e-08
1810,1.591286178381779e-07,8.89248141788812e-08
1811,1.3287507272252697e-07,3.760615285841595e-08
1812,1.6269970615212515e-07,4.5342538612658245e-08
1813,1.0352670187785407e-07,8.052076339026826e-08
1814,7.552024783308298e-08,1.8250727862323401e-07
1815,8.091670622434322e-08,6.47333635583891e-08
1816,7.879853569647821e-08,3.9399267848239106e-08
1817,1.214361304846534e-07,7.628679554727569e-08
1818,1.2755660350194375e-07,6.914282835168706e-08
1819,1.35598753558952e-07,6.93520334493769e-08
1820,1.3053129066520341e-07,7.475883023744245e-08
1821,2.169527419937367e-07,1.1242096320529527e-07
1822,2.546506436829077e-07,1.4035862250239006e-07
1823,2.174191138237802e-07,1.2748665767503553e-07
1824,2.450543661325355e-07,1.1200079796935825e-07
1825,3.10832149352791e-07,1.2855946351919556e-07
1826,1.418085417981274e-07,5.549030035467695e-08
1827,1.1798109511573784e-07,7.465990847776993e-08
1828,1.2657775982916064e-07,6.879226077671774e-08
1829,1.2002446680980938e-07,4.715246859632316e-08
1830,1.5655253093882493e-07,7.305784777145163e-08
1831,2.1204040479005926e-07,7.327867024287116e-08
1832,2.1512651926514081e-07,1.5830063659905136e-07
1833,1.6796261093077192e-07,1.2394482951094687e-07
1834,2.4549817112529126e-07,1.4188486829880276e-07
1835,3.0327981903610635e-07,1.3991711966809817e-07
1836,3.0646620530205837e-07,1.0349955203992067e-07
1837,2.1708619613036717e-07,1.4472412601662654e-07
1838,1.988331064239901e-07,6.690891751759409e-08
1839,1.8247750688260567e-07,9.788065113980338e-08
1840,1.840840013755951e-07,8.153201491722939e-08
1841,2.221509731725746e-07,8.603534951134861e-08
1842,2.743680340699939e-07,9.592819338877234e-08
1843,2.658109963249444e-07,8.91943585656918e-08
1844,2.1130961158633e-07,8.562155784375136e-08
1845,2.1539679551096924e-07,9.318980431771706e-08
1846,1.6978053452021413e-07,8.196301592988675e-08
1847,1.5316754797822796e-07,6.364003724002032e-08
1848,1.4240042389701557e-07,9.010648227558704e-08
1849,1.0055298105271504e-07,4.524883934209356e-08
1850,1.575047008373076e-07,4.955967014552698e-08
1851,1.5672135589284153e-07,5.997978291816253e-08
1852,2.0963956615105417e-07,6.575650957074686e-08
1853,1.9767094272538088e-07,7.942669100202693e-08
1854,1.7041779187820794e-07,7.06610379097583e-08
1855,2.069705544727185e-07,8.119613426060823e-08
1856,2.2727860482518736e-07,9.784887566866018e-08
1857,2.5969629291466845e-07,9.958278468502613e-08
1858,2.6915216722045443e-07,8.466059853162733e-08
1859,2.6021007215604186e-07,9.165911762920587e-08
1860,2.842431285898783e-07,1.2495712553572957e-07
1861,2.664519627160189e-07,1.2591623033131327e-07
1862,2.3041729946271516e-07,1.3192520498250815e-07
1863,2.9068692697364895e-07,8.291070230370678e-08
1864,3.5624827887659194e-07,1.2514239244865166e-07
1865,2.574643929165177e-07,1.0825741725284388e-07
1866,2.875577251870709e-07,8.660791195325146e-08
1867,2.7563970661503845e-07,8.104195359237565e-08
1868,2.5341554987790005e-07,6.471235280969267e-08
1869,2.6517508899814857e-07,8.741499613051928e-08
1870,2.322289702760827e-07,9.633201614178688e-08
1871,3.1544897183266585e-07,1.1577083114389097e-07
1872,3.0962377195464796e-07,8.708168763860158e-08
1873,2.2986256453805254e-07,8.55998649740286e-08
1874,2.820015652105212e-07,9.200898176686678e-08
1875,3.15828287966724e-07,6.865832347102696e-08
1876,2.110059114102114e-07,1.2575711139106716e-07
1877,2.4058934400272847e-07,9.339072448710795e-08
1878,2.11972007946315e-07,1.0930750704574166e-07
1879,3.4090035683220776e-07,7.575563643058558e-08
1880,2.2462461402028566e-07,7.38052321480609e-08
1881,2.2660650245143188e-07,7.111957955885373e-08
1882,2.7353632958693197e-07,8.119570082953942e-08
1883,2.4961389044619864e-07,5.245051326596695e-08
1884,2.970763546272792e-07,9.968562153517269e-08
1885,2.507352405700658e-07,7.8636752220973e-08
1886,1.981213415547245e-07,8.454037470073672e-08
1887,2.428759842132422e-07,6.8553710264041e-08
1888,2.4918614371927106e-07,7.291706793921549e-08
1889,2.2930400689347152e-07,8.64588898252805e-08
1890,2.7856142992277455e-07,5.702316130395957e-08
1891,1.905891764408807e-07,4.780665108228277e-08
1892,2.137562660209369e-07,8.149066133000815e-08
1893,1.866000189920669e-07,9.052872229631248e-08
1894,2.2370464591858763e-07,6.427570298228602e-08
1895,2.8106930471949454e-07,5.8982422501685505e-08
1896,2.8954411845916184e-07,1.2737582721911167e-07
1897,2.2316312708881014e-07,7.283392022827684e-08
1898,2.682060085135163e-07,8.883617397259513e-08
1899,2.7306236916047055e-07,7.185852268776216e-08
1900,1.9777912996232772e-07,9.966822034357392e-08
1901,2.0734221095608518e-07,8.718432553678213e-08
1902,2.131063183696824e-07,7.070809004972034e-08
1903,1.9602799739004695e-07,5.778235845355084e-08
1904,2.2519679987453856e-07,6.395804064140975e-08
1905,2.069464386522668e-07,5.676835002077496e-08
1906,2.0525295951756561e-07,9.259532163241602e-08
1907,2.4994218961182924e-07,9.359975194911385e-08
1908,2.9861246275686426e-07,7.6126532633225e-08
1909,2.8770145377166045e-07,1.496267572065335e-07
1910,3.1797696919966256e-07,1.004700322937424e-07
1911,2.5112166213148157e-07,8.24657959697106e-08
1912,2.484893855125847e-07,7.657849465658728e-08
1913,2.2060437743220973e-07,7.636305099367746e-08
1914,2.089384025794061e-07,9.308473636338022e-08
1915,1.9673872486691835e-07,7.186265094105693e-08
1916,2.0766303521213558e-07,5.933229374477378e-08
1917,2.1055535626146593e-07,7.128176093829097e-08
1918,1.9526839878380997e-07,7.236417332023848e-08
1919,2.384832669122261e-07,7.918749389546065e-08
1920,2.6351366955168487e-07,6.66356356759934e-08
1921,2.506579335204151e-07,9.541661682987979e-08
1922,3.2905592206589063e-07,1.2542490424038988e-07
1923,2.8450742206587165e-07,9.978991499792755e-08
1924,3.416280378587544e-07,1.1473545669105079e-07
1925,3.134480834887654e-07,8.028669640225417e-08
1926,3.5444719514998724e-07,1.3821211553022295e-07
1927,4.6269283870969957e-07,1.3267577969600097e-07
1928,3.6906112654833123e-07,1.199734356305271e-07
1929,3.219577422441944e-07,1.0360577817891681e-07
1930,3.770793739477085e-07,9.978423065604147e-08
1931,2.7144747605234443e-07,8.89617837174228e-08
1932,3.6276065884521813e-07,1.0301964437076094e-07
1933,3.0167842623995966e-07,9.176530113563786e-08
1934,3.258989806909085e-07,1.55760545794692e-07
1935,2.9920710176156717e-07,1.3404478238498996e-07
1936,3.103926928815781e-07,1.0548501450102776e-07
1937,2.581179217031604e-07,6.547381303789734e-08
1938,3.1116513810047763e-07,9.07565009811151e-08
1939,3.1658683496971207e-07,9.329370698196726e-08
1940,2.0032685199566913e-07,8.368083825871508e-08
1941,3.6598632391360297e-07,7.67390702094417e-08
1942,3.3679751254567236e-07,9.102635090130207e-08
1943,3.135494068828848e-07,9.580676163523094e-08
1944,3.373845345322479e-07,1.2210107058763242e-07
1945,4.966989308741177e-07,1.764588262176403e-07
1946,4.176331174221559e-07,1.3085838190818322e-07
1947,4.4584058400687354e-07,2.0503898667811882e-07
1948,4.5770647716381063e-07,1.4350891319736547e-07
1949,3.524305896007718e-07,1.0602369115986221e-07
1950,5.28577459135704e-07,1.7229285731445998e-07
1951,4.0086871422317927e-07,1.6311945216784807e-07
1952,3.237254873056372e-07,1.4973620920955e-07
1953,3.835482687009062e-07,1.1527995269489111e-07
1954,4.896040763924248e-07,1.4463353181781713e-07
1955,3.557145475951984e-07,1.023031259705931e-07
1956,4.1163787045661593e-07,1.3168923373996222e-07
1957,3.640035401986097e-07,1.0513694803648832e-07
1958,4.4008334043610375e-07,1.381464613814387e-07
1959,4.286163459710224e-07,1.4261375724800018e-07
1960,3.7856958101656346e-07,1.4395332925687399e-07
1961,3.696420662890887e-07,1.3340465443434368e-07
1962,4.6042603685236827e-07,1.464991896682477e-07
1963,4.209400685795117e-07,1.2608803956482006e-07
1964,4.033670961689495e-07,1.6487554432842444e-07
1965,3.649852828857547e-07,7.9344630421474e-08
1966,3.938282020499173e-07,1.1133540311902834e-07
1967,3.682960709738836e-07,9.90997435224017e-08
1968,3.745840899682662e-07,1.2575964092320646e-07
1969,3.7742006497865077e-07,1.199024097786605e-07
1970,3.168521516272449e-07,1.0301143760216291e-07
1971,3.5968781730844057e-07,1.130447415675917e-07
1972,2.7138477776134096e-07,9.38816882012361e-08
1973,3.3079223271670344e-07,1.152259585524007e-07
1974,3.139068951441004e-07,9.675983392298804e-08
1975,2.6501268735046324e-07,1.005220511274274e-07
1976,2.58251418472355e-07,1.1312783243511149e-07
1977,3.138201520869188e-07,1.0166832709046503e-07
1978,2.7504938771016896e-07,9.980193738101661e-08
1979,3.429256310027995e-07,1.2406184168867185e-07
1980,3.558904211331537e-07,1.2223074463690864e-07
1981,3.5676100651471643e-07,9.931112998629033e-08
1982,3.0975436970948067e-07,9.435403569568734e-08
1983,3.479739234535373e-07,1.004135228299674e-07
1984,3.3576259284018306e-07,1.1482036654797412e-07
1985,3.783786155509006e-07,9.925670951815846e-08
1986,3.7285698795130884e-07,1.1149742817906372e-07
1987,3.0309652743198967e-07,1.0571713460194587e-07
1988,3.6459047692005697e-07,1.0314072795836182e-07
1989,3.5672795206664887e-07,1.0537194583548626e-07
1990,3.6288014371166355e-07,1.1115248099713426e-07
1991,3.3410350397389266e-07,9.143885648654759e-08
1992,3.300456512533856e-07,1.0689291940479961e-07
1993,3.7278866216183815e-07,1.05798861227413e-07
1994,3.27572934111231e-07,1.1552089063116e-07
1995,3.6709991491079563e-07,1.0953350937370487e-07
1996,3.36833608116649e-07,1.0836327390961742e-07
1997,3.763992140193295e-07,9.781584964230206e-08
1998,3.4902706147477147e-07,1.416134409737424e-07
1999,3.190000370523194e-07,1.0785674930957612e-07
2000,3.251671216730756e-07,1.1796144150366672e-07
2001,3.662693188744015e-07,1.353794374381323e-07
2002,4.2278787759642e-07,1.3012227384479047e-07
2003,4.487775981942832e-07,1.404252998327138e-07
2004,3.8630020071650506e-07,1.4183427765601664e-07
2005,4.0668859924153367e-07,1.4592149000236532e-07
2006,4.5749757759949716e-07,1.5606802605816483e-07
2007,8.356450962310191e-07,2.352748396106108e-07
2008,9.779339507076656e-07,2.7247614298175904e-07
2009,1.0790419082695735e-06,2.7512470524015953e-07
2010,1.5583792674078722e-06,3.94909108081265e-07
2011,1.6825476905069081e-06,4.508463007368846e-07
2012,2.037785634456668e-06,5.593187211161421e-07
2013,2.258354470541235e-06,6.124918741079455e-07
2014,2.4614614630991127e-06,6.641420213782112e-07
2015,2.4847809072525706e-06,6.782720447517931e-07
2016,2.4893365662137512e-06,7.144051892282732e-07
2017,2.871821834560251e-06,8.100268473754113e-07
2018,2.9501002245524433e-06,8.980922530099633e-07
2019,2.803025381581392e-06,8.693766062606301e-07
