year,des_DET arts_NOUN,des_DET parts_NOUN
1800,4.483578486258466e-06,1.1318991832709457e-07
1801,3.931332472006943e-06,5.476719877606229e-08
1802,4.428685599577875e-06,1.096541666356643e-07
1803,3.526213344429152e-06,1.7943121011221308e-07
1804,3.3913795363105237e-06,5.339197794995698e-07
1805,3.223823284770333e-06,2.7007339253870555e-07
1806,3.5992048168509427e-06,1.6137347103040156e-07
1807,4.011359820310645e-06,2.676137746959739e-07
1808,3.7050310908171014e-06,2.6059852276105744e-07
1809,3.1671608553551778e-06,1.8524050915402768e-07
1810,3.896311042694833e-06,1.3806747745093162e-07
1811,3.387060658610608e-06,1.353821517113829e-07
1812,3.6300704806535578e-06,1.2802598803318688e-07
1813,3.255339500185528e-06,1.6391727797326894e-07
1814,3.2410774721824964e-06,1.5733386149463513e-08
1815,3.331071116718931e-06,1.1598061178119679e-07
1816,3.1287652859646187e-06,1.321034233114915e-07
1817,3.2118297426109166e-06,1.0898114144453075e-07
1818,2.9159198788875074e-06,1.1086694939876907e-07
1819,2.927277048314636e-06,8.280840191332572e-08
1820,2.876435104326447e-06,1.483310114736014e-07
1821,2.9022359342434356e-06,2.13994300946041e-07
1822,3.4929246055526164e-06,1.6442010064565693e-07
1823,2.9173692723816202e-06,9.388552646427684e-08
1824,2.833704328963904e-06,1.1957979850762968e-07
1825,3.2941162402266855e-06,9.774041975774139e-08
1826,2.9453898733322603e-06,1.3300056922460612e-07
1827,3.0260306473905985e-06,2.2766663754225647e-07
1828,2.8287376423463684e-06,1.7152202724801668e-07
1829,3.052907935341409e-06,1.9032450443434712e-07
1830,2.933794661430511e-06,1.8160093873120786e-07
1831,2.5101842915375983e-06,1.5903029804142932e-07
1832,2.9278854398739895e-06,1.4747666732262132e-07
1833,3.0430191131358697e-06,2.513647521240614e-07
1834,2.6426057289086202e-06,2.3336327181766592e-07
1835,2.160017992025587e-06,1.4067342846146857e-07
1836,2.150639986098213e-06,1.4718442375993845e-07
1837,2.4992744016572033e-06,1.7185990985879585e-07
1838,2.1499224018839413e-06,2.2471296934334362e-07
1839,2.275725186962063e-06,1.7478687563965423e-07
1840,2.2172886460225527e-06,1.4459193375948587e-07
1841,2.300482588424302e-06,2.3756029410293422e-07
1842,2.4116211712055247e-06,1.650233261152323e-07
1843,2.311964927059762e-06,2.2623469497773385e-07
1844,1.9797239900753993e-06,2.3765469947534257e-07
1845,1.9748427249055567e-06,2.5166827999356656e-07
1846,2.3014045282820916e-06,2.669652685582946e-07
1847,2.3638499619949016e-06,2.928520377309951e-07
1848,1.978319961182251e-06,2.4859734337745465e-07
1849,2.097367545417228e-06,2.2037861135970616e-07
1850,2.3530659802872833e-06,3.163672062100886e-07
1851,1.8658225933165795e-06,2.167011452502976e-07
1852,2.4668457729859483e-06,2.7995345419640216e-07
1853,2.176172033685475e-06,1.690056716796562e-07
1854,2.1624355373006665e-06,2.1925703830305565e-07
1855,1.946053803436598e-06,2.3775077906407205e-07
1856,2.319380863369247e-06,3.3082239470072494e-07
1857,2.2210867385297206e-06,2.5042141982289934e-07
1858,2.2501123346785334e-06,2.843225908044644e-07
1859,2.1977820203744614e-06,2.3169388629895593e-07
1860,2.1380026424822063e-06,2.3435182006092958e-07
1861,2.0915298755141976e-06,1.6741671926556734e-07
1862,1.912915438495588e-06,2.0150218915659934e-07
1863,2.378937921321267e-06,2.3674502580561807e-07
1864,2.125023428334316e-06,1.2801923787719716e-07
1865,1.7387083470765674e-06,1.7791871331773734e-07
1866,2.080049533503825e-06,2.534984275825991e-07
1867,2.040121913182702e-06,2.7030159444052515e-07
1868,1.9966971045448645e-06,2.2328230064871946e-07
1869,1.9040840726347597e-06,2.461293623357008e-07
1870,2.326877021729956e-06,1.9954489660634067e-07
1871,1.7227549875542536e-06,2.8783389893760614e-07
1872,1.712606495729574e-06,2.6789712659347487e-07
1873,1.6521372550037938e-06,2.8313801259116644e-07
1874,1.4345035985741106e-06,2.867812280982207e-07
1875,1.7805392893421867e-06,2.2657247700230698e-07
1876,1.9171912626347876e-06,2.1947034234415241e-07
1877,1.8981200753387384e-06,1.8925537492719968e-07
1878,1.9288849166798627e-06,2.457909125119784e-07
1879,1.7234407145849673e-06,1.6678457526175805e-07
1880,1.8367876002400862e-06,2.5607205689226475e-07
1881,1.6594567648908765e-06,2.3427625617244985e-07
1882,1.6225828964877564e-06,2.3826278194860606e-07
1883,1.997543050080708e-06,2.995366683578027e-07
1884,1.6900344306236548e-06,2.799119513952064e-07
1885,1.677154427781602e-06,2.9456556349671814e-07
1886,1.684999411111221e-06,2.8976052746099157e-07
1887,1.7249418924336624e-06,3.662726615893952e-07
1888,1.5743746288876537e-06,2.36504927642045e-07
1889,1.637706779078485e-06,3.1701592906330234e-07
1890,1.5737082366129584e-06,3.4607161847333145e-07
1891,1.5623213585058693e-06,3.5185695557160557e-07
1892,1.4793689473435734e-06,2.6202380642992296e-07
1893,1.4798675076477252e-06,3.8736439483821883e-07
1894,1.533794662833543e-06,3.314609626769993e-07
1895,1.4336339413389965e-06,3.671354804613003e-07
1896,1.4530279415225777e-06,3.349512369688057e-07
1897,1.7439353028336768e-06,3.3037465674290445e-07
1898,1.454197253725198e-06,4.764334913254231e-07
1899,1.3072723259455188e-06,4.3612594424757845e-07
1900,1.6585414570613466e-06,4.111313947063877e-07
1901,1.5000174871104832e-06,4.292151596363425e-07
1902,1.2359184502486187e-06,4.3897938728498787e-07
1903,1.5082814863731642e-06,4.044764905231091e-07
1904,1.4146013516125322e-06,4.5469329634784117e-07
1905,1.5440990992487968e-06,4.371162920513427e-07
1906,1.4799818419675148e-06,5.576295742937276e-07
1907,1.5557101438190557e-06,4.3199883137390316e-07
