year,avons_VERB assez_ADV,avons_VERB passé_VERB
1800,5.219313266024983e-07,6.917161954334006e-07
1801,5.071918849353096e-07,9.548542720949627e-07
1802,4.900870180790662e-07,4.744221087094047e-07
1803,5.363432933336298e-07,5.129392093294882e-07
1804,4.375176274606929e-07,6.599842095056374e-07
1805,4.4348891492518305e-07,5.543611791836156e-07
1806,2.679952331163804e-07,5.388721433519095e-07
1807,2.932363827312656e-07,8.341578450199449e-07
1808,5.665185085490521e-07,5.121327149026911e-07
1809,3.411136049180641e-07,4.156616171258065e-07
1810,4.3058332721557235e-07,5.967323204458808e-07
1811,3.484836668121716e-07,5.189648959458282e-07
1812,3.334010330036108e-07,4.2408609601807257e-07
1813,2.7894694198948855e-07,9.259887860935123e-07
1814,4.940283133691992e-07,6.324821129055636e-07
1815,4.7471135644627793e-07,6.82397569562454e-07
1816,4.3339193211977545e-07,9.687583997219917e-07
1817,4.0011647683968476e-07,8.266997610917315e-07
1818,6.008273203406134e-07,9.29851807995874e-07
1819,7.09046901192778e-07,7.732234621471434e-07
1820,5.565379410654714e-07,6.36043409940612e-07
1821,5.542156600313319e-07,1.090680598281324e-06
1822,6.085548989176459e-07,7.21844344298006e-07
1823,4.80298581351235e-07,1.1058726840929012e-06
1824,5.482144160851021e-07,8.581113775107951e-07
1825,4.578830328227923e-07,6.665720206910919e-07
1826,5.082206939732714e-07,6.015853273311222e-07
1827,4.940458211422083e-07,7.51207778648677e-07
1828,4.3935324356425554e-07,5.228211534813454e-07
1829,5.058174110672553e-07,5.075320359537727e-07
1830,5.134922957950039e-07,7.858937465243798e-07
1831,6.08057064255263e-07,7.093998988239036e-07
1832,4.383710177080502e-07,5.452577624964761e-07
1833,5.838148808834376e-07,9.730248393680085e-07
1834,6.944890742488496e-07,7.35561059173051e-07
1835,5.68744212614547e-07,9.257219630853797e-07
1836,6.539289643114898e-07,7.197923537205497e-07
1837,7.062259328449727e-07,5.837670755681756e-07
1838,6.444717541853606e-07,6.703515964545659e-07
1839,6.488089070444403e-07,6.425165679502243e-07
1840,6.032095143382321e-07,7.274184667949157e-07
1841,7.512041975132888e-07,6.972715596020862e-07
1842,6.231978204596089e-07,7.083928039719467e-07
1843,5.983700930300984e-07,6.651181934103079e-07
1844,6.213051619852195e-07,6.449059242186195e-07
1845,6.701853862978169e-07,5.050106324233639e-07
1846,7.171764195845753e-07,6.920020609868516e-07
1847,5.533447620109655e-07,6.315464702311147e-07
1848,5.108715868118452e-07,7.071749905662728e-07
1849,7.48281763662817e-07,7.583370802421996e-07
1850,5.784224867966259e-07,5.967527272332518e-07
1851,6.997640866757138e-07,6.384944413184712e-07
1852,5.358178896130994e-07,7.181131422839826e-07
1853,5.547924502025126e-07,7.745595667074667e-07
1854,6.224406092769641e-07,6.83229870901414e-07
1855,5.832324063703709e-07,5.551056005970167e-07
1856,5.839869459123292e-07,7.051331749607925e-07
1857,5.120703008287819e-07,8.327854743583885e-07
1858,5.564109528677363e-07,8.78904188539309e-07
1859,6.202267286425922e-07,9.451073879063188e-07
1860,6.444674909289461e-07,7.959722552186577e-07
1861,6.144900908111595e-07,9.134821539191762e-07
1862,6.316144549600722e-07,8.105267284008733e-07
1863,6.32318972293433e-07,8.056323395067011e-07
1864,6.213967367330042e-07,7.537312285421649e-07
1865,5.563489935411781e-07,8.067531211963797e-07
1866,5.989569444864173e-07,7.984471039890195e-07
1867,5.925282948737731e-07,7.332598102038901e-07
1868,6.500874292214576e-07,8.580561257076624e-07
1869,6.309506943580345e-07,8.248263725363358e-07
1870,5.682442179022473e-07,7.712295655437629e-07
1871,6.436433181988832e-07,9.346636034024414e-07
1872,6.156191147965728e-07,9.083103691409633e-07
1873,5.692690479008888e-07,8.3444899701135e-07
1874,5.741599125030916e-07,7.653474085600465e-07
1875,6.562591465808509e-07,9.308924404649588e-07
1876,5.725576102122432e-07,9.522473192191683e-07
1877,5.739508992519404e-07,7.656802267774765e-07
1878,5.501609621205716e-07,6.878522071929183e-07
1879,5.35787819444522e-07,9.512219207863382e-07
1880,4.723534914319316e-07,8.375289439754852e-07
1881,4.943507860843965e-07,8.736552103982831e-07
1882,5.909981837248779e-07,8.811729799163004e-07
1883,5.213454414843e-07,9.384218060404237e-07
1884,5.142721875017742e-07,9.638478104534443e-07
1885,4.776215973834042e-07,7.406035251733556e-07
1886,5.408002721196681e-07,7.053636181808542e-07
1887,5.144792680766841e-07,8.983800512396556e-07
1888,4.1087182012233825e-07,8.699323643668322e-07
1889,4.7113829282352526e-07,7.179846761573572e-07
1890,4.6863863190083066e-07,8.664898700772028e-07
1891,4.716922887837427e-07,9.459342322770681e-07
1892,5.271818963592523e-07,8.700695275365433e-07
1893,5.573367047873035e-07,7.581010663670895e-07
1894,4.833280513594218e-07,8.286523893730191e-07
1895,4.5801655801369634e-07,8.889493869901344e-07
1896,3.9745975755067775e-07,8.580176995565125e-07
1897,5.02845352912118e-07,7.702915354457218e-07
1898,5.652696586366801e-07,8.430948810200789e-07
1899,5.129592750563461e-07,8.783322300587315e-07
1900,5.36754896529601e-07,7.729478284090874e-07
1901,4.716895602996374e-07,8.668134228173585e-07
1902,4.0755355712462915e-07,6.751640171387407e-07
1903,4.509184066137095e-07,8.013926731109677e-07
1904,4.928531325276708e-07,8.706892913323827e-07
1905,5.40331484444323e-07,7.405689075312694e-07
1906,4.521738219409599e-07,7.330463063226489e-07
1907,5.518270995708008e-07,7.775979042889958e-07
1908,5.043996793574479e-07,7.671589514757216e-07
1909,5.187427518649201e-07,7.81689777795691e-07
1910,4.815079819309176e-07,1.0314211067452561e-06
1911,5.341655651136534e-07,8.092288794614433e-07
1912,5.454264169202361e-07,8.840387977215869e-07
1913,5.186324187889113e-07,7.85903068845073e-07
1914,6.013675601934665e-07,8.290568871416326e-07
1915,5.478054276863986e-07,1.159226940217195e-06
1916,6.614451990571979e-07,1.1163261888214038e-06
1917,5.132286560183275e-07,1.0747096439445158e-06
1918,6.39791153389524e-07,9.097209954234131e-07
1919,5.966685989733378e-07,9.327550287707709e-07
1920,6.057785526536463e-07,7.57980387788848e-07
1921,5.687133466381056e-07,7.474301924048632e-07
1922,5.349003231458482e-07,8.22639833586436e-07
1923,5.382285621635674e-07,6.656199502685922e-07
1924,5.98171368437761e-07,7.528708465542877e-07
1925,5.38910740033316e-07,7.929686489660526e-07
1926,4.893154823548684e-07,7.947196536406409e-07
1927,5.273583383313962e-07,9.220408969667915e-07
1928,4.85606733491295e-07,7.495482918784546e-07
1929,5.737309152209491e-07,6.929332698746293e-07
1930,5.08374398577871e-07,6.995400099185645e-07
1931,4.584953501307609e-07,7.869696219131583e-07
1932,5.238658218331693e-07,7.320970212276734e-07
1933,4.4391461528903164e-07,5.574742090175278e-07
1934,5.619361331810069e-07,6.865445243420254e-07
1935,5.074552404948918e-07,6.797985179218813e-07
1936,4.971133193976129e-07,6.656468372057134e-07
1937,4.797216206497978e-07,5.955598680884577e-07
1938,4.576720584736904e-07,6.74191142024938e-07
1939,4.7564498117935727e-07,6.897616913192905e-07
1940,3.930463492451963e-07,6.6691092115434e-07
1941,4.397738848638255e-07,6.434275405808876e-07
1942,4.885080784333695e-07,6.97868699717219e-07
1943,5.25485575053608e-07,8.767770509621187e-07
1944,4.884042823505297e-07,7.261800760716142e-07
1945,5.337334982868924e-07,8.801156354820705e-07
1946,5.902548423364351e-07,7.573080438305624e-07
1947,5.793543209620111e-07,8.213480100494053e-07
1948,5.979538286737807e-07,7.555962042715691e-07
1949,4.58454280760634e-07,6.233800036170578e-07
1950,5.253868380350468e-07,6.008979198668385e-07
1951,5.160118234925903e-07,8.02803526767093e-07
1952,4.2284662526981265e-07,5.841821462126973e-07
1953,4.438816745278018e-07,9.717991815705318e-07
1954,4.387868841604359e-07,7.583487899864849e-07
1955,4.270451654520002e-07,7.179990006989101e-07
1956,4.848954517910897e-07,6.924586273271416e-07
1957,4.3645087544064154e-07,6.555598019986064e-07
1958,3.6894206800752727e-07,5.418319233285729e-07
1959,4.1156471297654207e-07,6.285856670729117e-07
1960,4.4846999003311794e-07,6.900070843585127e-07
1961,5.190274805499939e-07,7.330307880692999e-07
1962,4.724757616259012e-07,6.906390694894071e-07
1963,4.6749565285608696e-07,6.472519089584239e-07
1964,4.6055640723352553e-07,7.160830932662066e-07
1965,4.377634752472659e-07,6.287377800617833e-07
1966,4.4811113752984966e-07,6.292389116424602e-07
1967,4.609863708537887e-07,6.414366566787066e-07
1968,5.048351567893405e-07,7.365921987911861e-07
1969,4.2374600184302835e-07,6.526506126647291e-07
1970,4.566533959859953e-07,6.033527029103425e-07
1971,3.828106116543495e-07,6.243153052309935e-07
1972,3.8219593534449814e-07,5.668812264048029e-07
1973,4.0907971765591356e-07,6.560712222380971e-07
1974,3.3472150562374736e-07,6.756311563549389e-07
1975,3.786711317843583e-07,5.311676432029344e-07
1976,3.2567103858127666e-07,5.542120788959437e-07
1977,3.6083440591028193e-07,5.917919452258502e-07
1978,4.02772087682024e-07,5.655442691931967e-07
1979,3.815486593339301e-07,6.782437367292005e-07
1980,3.769254988128523e-07,7.123493901417532e-07
1981,3.409471105442208e-07,5.876435693608073e-07
1982,3.7803690133841883e-07,5.977824457659153e-07
1983,3.069243632580765e-07,6.498460152215557e-07
1984,3.224248814603925e-07,5.926586936766398e-07
1985,2.887467758228013e-07,6.250164688026416e-07
