year,anciens_ADJ airs_NOUN,anciens_ADJ pairs_NOUN
1800,3.144164484325529e-09,6.288328791015374e-08
1801,9.524730337773235e-09,3.571773810051582e-08
1802,4.475680270843441e-09,1.7902721083373763e-08
1803,4.290746247193056e-08,2.3404069793286908e-08
1804,1.4831105232815389e-08,1.730295728918918e-08
1805,5.685755422035754e-09,1.677297829516533e-07
1806,5.76333825108577e-09,2.0171683878800195e-08
1807,2.8469551160981155e-09,3.131650672116848e-08
1808,1.8128591960930862e-08,1.6768947830314573e-07
1809,0.0,2.4849335034105025e-08
1810,6.786367379163494e-08,6.31834251585417e-08
1811,7.521229861140455e-09,4.011322829455821e-08
1812,2.6672083208723052e-08,4.000812481308458e-08
1813,1.4378708002027452e-08,9.489947672136623e-08
1814,3.1466772298927026e-08,2.1712072673096827e-07
1815,2.697223555614414e-09,9.710005155483259e-08
1816,6.952811659743929e-09,6.257530316133852e-08
1817,2.1796227045456362e-08,1.0586738863338496e-07
1818,1.5497530370112145e-08,1.1444330039189765e-07
1819,5.175524897538253e-09,3.1984744275348476e-07
1820,2.4919611263385377e-08,9.730514261008238e-08
1821,1.3806083387635226e-08,5.325203744632745e-08
1822,1.9048670196752937e-08,5.213320264374488e-08
1823,1.087095569118901e-08,1.5120511420718685e-07
1824,2.7789671008804362e-08,3.115811608722652e-08
1825,2.1133063299316746e-08,1.3560382328137166e-07
1826,1.9377566218281572e-08,9.248383292526086e-08
1827,1.1060727445055818e-08,1.3457218395185322e-07
1828,1.559291185060374e-08,1.2015714878632622e-07
1829,1.8860987438529264e-08,3.034904445531339e-07
1830,5.322786122974321e-08,2.160425041086711e-07
1831,4.677361609140007e-09,1.6682590509020656e-07
1832,4.058990921151917e-09,1.1365173968602704e-07
1833,1.2741991128883967e-08,7.41352224054026e-08
1834,1.4001796166951408e-08,4.2005389389032644e-08
1835,3.554651328840919e-08,6.050470346963266e-08
1836,1.8146025126952736e-08,7.325617445985699e-08
1837,2.2265251753417203e-08,3.409366655660051e-08
1838,5.870310459954453e-08,1.2813688798907208e-07
1839,4.4046294611632675e-08,7.131304968766017e-08
1840,6.369688665408546e-09,1.0255198645836572e-07
1841,1.0914932957462042e-08,5.264849889385914e-08
1842,6.037438549100216e-09,5.1653639587811995e-08
1843,1.7720733325177207e-08,4.7255287682901326e-08
1844,2.5796238034558883e-08,6.805816221699956e-08
1845,1.1160455670733427e-08,6.640471250651814e-08
1846,2.1661655580373917e-08,7.376671762315823e-08
1847,9.168480197274675e-09,3.883120935910256e-08
1848,8.84974404868899e-09,5.953464210506354e-08
1849,7.54147322368226e-09,1.5585711810039982e-07
1850,1.3577992064028876e-08,7.943125179821209e-08
1851,2.1283147688677673e-08,3.8696633453128015e-08
1852,1.9531636752390114e-08,6.445440137170522e-08
1853,2.329053394589664e-08,1.5706180267471836e-07
1854,3.221311928314208e-08,4.3124016357865e-08
1855,7.429711956774554e-09,6.474462921346458e-08
1856,1.2425253714809514e-08,1.1234500618684251e-07
1857,2.001418764052687e-08,1.7573432353756857e-07
1858,1.7127865348243176e-08,7.144766778210965e-08
1859,2.2405561850291633e-08,4.379269036292044e-08
1860,2.013960886948496e-08,6.636916771718404e-08
1861,8.017138064531082e-09,3.819930682880113e-08
1862,2.2589931703009825e-08,4.834245359575107e-08
1863,2.996772441310469e-09,3.745965782009364e-08
1864,1.2945765348604255e-08,5.609831599251436e-08
1865,5.177528628053096e-09,5.6482131860491336e-08
1866,2.0435575009969398e-08,4.670988396071607e-08
1867,2.814630661873707e-08,5.386620749447957e-08
1868,2.420538258718352e-08,5.878450259899637e-08
1869,2.0999133099053324e-08,5.5183767000421824e-08
1870,9.747882501187632e-09,3.4404294524392753e-08
1871,1.2745412503178954e-08,5.523012092112367e-08
1872,1.3304146229131675e-08,3.8098239008022006e-08
1873,8.979006316245375e-09,3.8909027111344585e-08
1874,3.465273329394947e-08,5.855116924635695e-08
1875,4.577221712764867e-09,5.3210200690045895e-08
1876,3.264847947548333e-08,2.237025520379632e-08
1877,3.772737733331866e-08,3.030559869721117e-08
1878,3.019544392302009e-08,5.67674342533131e-08
1879,1.9549840857280287e-08,4.581994039742909e-08
1880,7.059631101924424e-09,1.1102873997970164e-07
1881,1.1853263259808955e-08,5.089930699142542e-08
1882,1.1979693681496428e-08,4.858431168486277e-08
1883,2.717315822353683e-08,3.6020232130340446e-08
1884,2.178559910248623e-08,7.063815576913157e-08
1885,1.6114089618213256e-08,2.513797880965285e-08
1886,4.58195934527339e-08,4.969167122226281e-08
1887,2.6768591565584643e-08,2.9380160138092748e-08
1888,1.7119660356001987e-08,3.994587172151398e-08
1889,1.4409814674820609e-08,2.0048436688568927e-08
1890,1.2453334363726754e-08,1.3108772733971819e-08
1891,8.286486163910922e-09,2.4859457381509742e-08
1892,5.01480967862733e-09,3.259626502050139e-08
1893,5.542574899042307e-09,4.618812443624165e-08
1894,3.150769600779313e-08,1.764431045714332e-08
1895,7.824199066419624e-09,1.8657704714541978e-08
1896,7.076434549446731e-09,3.774098544795379e-08
1897,1.4566783779201842e-08,2.330685378026942e-08
1898,7.3558613644664206e-09,1.867257104493092e-08
1899,2.3768587098516036e-08,4.2562355417885556e-08
1900,9.34389543516545e-09,1.816868544501915e-08
