year,deux_DET oies_NOUN,deux_DET pois_NOUN
1800,3.458580932758082e-08,0.0
1801,5.23860170797974e-08,2.3811825400343878e-08
1802,1.1860552717735118e-07,6.713520406265161e-09
1803,9.751696339321825e-09,1.5602713787643552e-08
1804,7.4155528384522995e-09,2.4718509461507665e-09
1805,5.970043304159844e-08,5.685755422035754e-09
1806,5.76333825108577e-09,2.0171683878800195e-08
1807,0.0,0.0
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,4.518061036407062e-09,1.3554183553310395e-08
1810,2.3401266702194334e-08,9.360507036149102e-09
1811,0.0,2.757784400841956e-08
1812,7.468182872116813e-08,2.6672082320544632e-09
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,9.440031423224582e-09,6.293354282149721e-09
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,1.622322720606917e-08,0.0
1817,7.784366928831332e-09,1.556873407970727e-09
1818,9.536941902865692e-09,4.768470951432846e-09
1819,1.6561680027393777e-08,1.4491469912947252e-08
1820,3.322614805512103e-08,9.493184904840746e-09
1821,1.577838126820552e-08,5.9168927535324656e-09
1822,1.604098542884458e-08,8.02049271442229e-09
1823,3.95307486744656e-09,4.941343445530322e-09
1824,1.2631669044083083e-08,8.421112696055388e-09
1825,1.1447076175841175e-08,1.8491430608946757e-08
1826,1.8496766784892316e-08,1.145037931138404e-08
1827,9.217273166939322e-09,1.013900075008678e-08
1828,0.0,5.503380862137419e-09
1829,2.914879759785549e-08,0.0
1830,1.982998831806526e-08,5.218417920005436e-09
1831,6.236482441579483e-09,4.677361609140007e-09
1832,2.1647950210201827e-08,1.3529969367098715e-09
1833,2.548398292390175e-08,1.50587169400751e-08
1834,1.7735608537350345e-08,3.733812370398937e-09
1835,2.2689263801112247e-09,9.832014313815307e-09
1836,4.099657546774438e-08,3.3603750337896088e-09
1837,1.5307360268224102e-08,9.045257876039159e-09
1838,2.651107999795954e-08,1.7674054220151447e-08
1839,1.2584655206815398e-08,1.188550780018005e-08
1840,1.2102408297742784e-08,4.458782232319436e-09
1841,3.980740226339208e-08,6.420548537278137e-09
1842,2.4149754196400863e-08,1.0733224087289273e-08
1843,6.497602011990011e-09,2.3627644285539873e-09
1844,3.293136902060567e-08,3.841993001518773e-09
1845,2.678509469777879e-08,1.5624637417221976e-08
1846,8.781752214304106e-09,8.781752214304106e-09
1847,2.8044763844548015e-08,6.47186837454683e-09
1848,8.84974404868899e-09,1.126331028444838e-08
1849,1.5920887941334172e-08,1.5920887719289567e-08
1850,5.431196825611551e-09,2.104588769924476e-08
1851,1.3543821175687754e-08,1.9348316282474798e-09
1852,1.5625309490729933e-08,5.208436570924846e-09
1853,9.555090940693844e-09,5.971931837933653e-09
1854,2.4419623212423858e-08,1.4547860527347467e-08
1855,2.1227748447927297e-08,1.5920811335945473e-08
1856,8.28350277259915e-09,1.3460691561384408e-08
1857,1.757343248698362e-08,6.834112886711097e-09
1858,1.4681027893370668e-08,3.425573102955326e-09
1859,2.7497735644033128e-08,1.1202781369235026e-08
1860,3.4328881071132855e-08,1.0069804545764782e-08
1861,1.6034276573151374e-08,1.3204698667834691e-08
1862,3.388489855371546e-08,8.132375661773494e-09
1863,2.7969877358646755e-08,3.496234690647526e-09
1864,2.1096803748399395e-08,1.0548401263577034e-08
1865,3.9066808454890634e-08,5.177528628053096e-09
1866,2.6274310116480848e-08,7.784980660119345e-09
1867,2.2808213984149006e-08,2.91168689159349e-09
1868,2.321740799615668e-08,6.9158236915001225e-09
1869,1.0743742229202269e-08,5.860223195597314e-09
1870,4.013834153937523e-09,2.8670243956696595e-09
1871,2.6552942955504477e-08,5.3105884134652115e-09
1872,1.2699412743621963e-08,3.0236697590169115e-09
1873,2.514121905106137e-08,9.577607151811662e-09
1874,1.732636678575261e-08,1.1949218503559678e-08
1875,1.2015207495608138e-08,2.860763570478042e-09
1876,3.023007311142578e-08,1.5719638923883394e-08
1877,1.0514187187560253e-08,9.27722432209066e-09
1878,2.1136809524868738e-08,5.435179750712393e-09
1879,3.299035578052667e-08,6.720258016734704e-09
1880,1.7969970178555172e-08,6.417846254436199e-09
1881,2.6495528548942104e-08,9.064259565150223e-09
1882,2.5956002014382307e-08,1.1314154724217929e-08
1883,5.2450515042323786e-08,1.2006744043446815e-08
1884,1.3203393933736152e-08,9.242375753615306e-09
1885,2.2559724921489277e-08,5.156508553483263e-09
1886,1.097088819790315e-08,3.2267319927115068e-09
1887,1.566941915109865e-08,5.223139809551469e-09
1888,2.4094334971636044e-08,9.510922271971367e-09
1889,2.380751940034287e-08,3.759081934617825e-09
1890,6.554386366985909e-09,7.865263829121005e-09
1891,2.7409145841872373e-08,1.4023283867459213e-08
1892,2.4447198931909497e-08,5.641661138255927e-09
