year,trois_DET autos_NOUN,trois_DET poteaux_NOUN
1800,0.0,2.829748035892976e-08
1801,0.0,1.1905912922216544e-08
1802,0.0,0.0
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,9.064295980465431e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,0.0,1.7549536934780008e-08
1812,0.0,1.600324850414836e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,0.0,9.341240669868967e-09
1818,0.0,2.1458118837358597e-08
1819,0.0,1.5526575580793178e-08
1820,0.0,9.493184904840746e-09
1821,0.0,4.930744257336528e-09
1822,0.0,1.0025615893027862e-09
1823,0.0,8.894418535021487e-09
1824,0.0,1.431589158329416e-08
1825,0.0,3.522177216552791e-09
1826,0.0,4.403992281964975e-09
1827,0.0,5.530363722527909e-09
1828,0.0,3.668920500743411e-09
1829,0.0,0.0
1830,0.0,1.0436835840010872e-09
1831,0.0,1.7150327380477393e-08
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,9.334530925997342e-10
1835,0.0,1.285724948729694e-08
1836,0.0,0.0
1837,0.0,9.74104708006962e-09
1838,0.0,6.312161904276081e-09
1839,0.0,9.788065469251706e-09
1840,0.0,3.1848443882154243e-09
1841,0.0,8.346713542550788e-09
1842,0.0,2.2137275124123335e-08
1843,1.2995204023980023e-08,1.2404512972352677e-08
1844,0.0,1.8661107548112454e-08
1845,0.0,7.812318791877715e-09
1846,0.0,1.7563504428608212e-08
1847,0.0,8.089835468183537e-09
1848,0.0,9.65426583121598e-09
1849,0.0,1.5920888607467987e-08
1850,0.0,4.073397619208663e-09
1851,0.0,1.4188765717904062e-08
1852,0.0,1.6927417689771573e-08
1853,0.0,1.6721409146214228e-08
1854,0.0,4.676098175337984e-09
1855,0.0,1.539011762474729e-08
1856,0.0,6.73034605824796e-09
1857,0.0,9.274867096564776e-09
1858,0.0,1.0766087132907387e-08
1859,0.0,1.1202781369235026e-08
1860,0.0,7.781213007262977e-09
1861,0.0,2.7352589526685733e-08
1862,0.0,1.6264750657413174e-08
1863,0.0,7.991393435879957e-09
1864,0.0,7.671564716815737e-09
1865,0.0,7.530951029455224e-09
1866,0.0,9.244664811447478e-09
1867,0.0,1.455843445796745e-08
1868,0.0,2.0747470408366553e-08
1869,9.767038289254515e-10,1.8069020502053945e-08
1870,0.0,1.490852685748223e-08
1871,0.0,2.2304472935275044e-08
1872,0.0,2.1165687535962263e-08
1873,0.0,1.7958013742713774e-08
1874,5.974609140757536e-10,1.3144140165177731e-08
1875,0.0,2.8607635371713513e-08
1876,0.0,1.6324239293652454e-08
1877,0.0,1.7317485223600215e-08
1878,0.0,2.3552445327368332e-08
1879,0.0,1.2218650646822482e-08
1880,0.0,1.2193908105473383e-08
1881,0.0,5.5780060570498335e-09
1882,0.0,4.658769592325029e-09
1883,0.0,2.1485752121908064e-08
1884,0.0,1.2543224237049344e-08
1885,6.445635691854079e-10,6.445635636342928e-09
1886,1.936039106809062e-09,9.68019597813452e-09
1887,0.0,1.5016526300204447e-08
1888,0.0,1.3315291091942072e-08
1889,0.0,2.130146459222715e-08
1890,0.0,1.2453334363726754e-08
1891,0.0,2.549687905251119e-09
1892,0.0,1.3163876211308434e-08
1893,0.0,2.4633665884898903e-08
1894,0.0,2.5836310868498913e-08
1895,0.0,2.04632888411993e-08
1896,0.0,1.6511680911435178e-08
1897,0.0,1.3401440845939305e-08
1898,2.8291773368493978e-09,2.4896761097181752e-08
1899,0.0,9.949641111006713e-09
1900,0.0,1.3496738504592543e-08
1901,2.794369402536745e-09,1.0059730159994729e-08
1902,4.910283846193408e-10,1.767702145771821e-08
1903,0.0,9.720396709766987e-09
1904,1.0749250378694342e-09,1.5048950530172078e-08
1905,0.0,7.741138396966107e-09
1906,1.0288369045596824e-09,1.0802787109298606e-08
1907,1.5428529565042481e-09,1.07999713061524e-08
1908,4.4202499438483756e-09,1.4734167441687873e-08
1909,3.300590023513905e-09,6.60118004702781e-09
1910,6.947395991829808e-09,1.870452770447173e-08
