year,des_DET eaux_NOUN,des_DET pots_NOUN
1800,1.2161627836348998e-05,1.4588923393787923e-06
1801,1.0810568916497232e-05,1.5953923029332628e-06
1802,1.0750584408469877e-05,1.512779931545083e-06
1803,1.2193521158110343e-05,3.1341950785801487e-06
1804,1.1934096463050992e-05,2.7289233539562474e-06
1805,1.0493061409988513e-05,2.686519485095573e-06
1806,8.725694257805117e-06,1.8125699305926446e-06
1807,1.0451171831959982e-05,1.6711626731336082e-06
1808,9.442730757314166e-06,1.1942209958704098e-06
1809,1.143069447095968e-05,3.745472497485025e-06
1810,9.154575806746834e-06,1.0483768102531599e-06
1811,1.0775416043884434e-05,3.1639308133435406e-06
1812,1.0788856940280311e-05,8.80178731677006e-07
1813,9.303023773554742e-06,5.780240805997039e-07
1814,7.325464238761015e-06,8.71629575627253e-07
1815,9.127404766218206e-06,8.631115553381363e-07
1816,8.081484850208653e-06,1.4809488515510338e-06
1817,7.968077664344264e-06,1.142745123083877e-06
1818,8.528410489816451e-06,1.0156843424091733e-06
1819,8.172153641794466e-06,8.446456853938855e-07
1820,7.181594508409717e-06,8.057340892264619e-07
1821,6.7215905588113856e-06,9.930518896084095e-07
1822,8.149823329972605e-06,8.95287499247388e-07
1823,6.7113327801848754e-06,7.935797396996236e-07
1824,7.527632703840936e-06,5.877936537501682e-07
1825,7.487268231187727e-06,8.118618719521464e-07
1826,8.103345280119356e-06,8.843216052767389e-07
1827,7.783987014065019e-06,1.0406300807730418e-06
1828,7.69739506267797e-06,8.291760167367102e-07
1829,8.64176151793572e-06,7.964480603916968e-07
1830,8.167867537878237e-06,9.330531245410612e-07
1831,8.966502967666656e-06,8.98053448272762e-07
1832,8.223515258976022e-06,6.994994063980187e-07
1833,9.679280147167901e-06,1.068010586635637e-06
1834,8.237723786663764e-06,9.819926169996052e-07
1835,8.491078808958719e-06,6.224421511547007e-07
1836,6.8820482610476574e-06,6.996300845329984e-07
1837,7.70795137583491e-06,7.236206531757716e-07
1838,7.458450674846517e-06,6.507838801184107e-07
1839,6.9446324175714835e-06,6.446140067284389e-07
1840,7.442981001304361e-06,5.426974469813217e-07
1841,7.3110786047436704e-06,6.003213024463605e-07
1842,6.6042869377724855e-06,6.104520950955816e-07
1843,7.415536231292208e-06,5.139012895227779e-07
1844,7.332169111862186e-06,7.815711304814954e-07
1845,7.733079932847886e-06,7.192914006637352e-07
1846,7.986125666548105e-06,7.751359687446779e-07
1847,6.925438384541849e-06,5.792322399500449e-07
1848,6.943831074579521e-06,7.868227083207557e-07
1849,7.152668619170299e-06,1.0130712304601275e-06
1850,6.721785084096155e-06,6.069362603611239e-07
1851,7.5155312018182485e-06,6.726764496534088e-07
1852,8.450037128682197e-06,7.298321600401891e-07
1853,7.715138671926525e-06,6.903553186887734e-07
1854,8.09380572519558e-06,6.193232215956357e-07
1855,8.42688534419267e-06,8.422109125660882e-07
1856,7.945431899969435e-06,7.424089396579348e-07
1857,8.011532955265466e-06,6.848757330146782e-07
1858,7.1614053993585e-06,7.374769488421862e-07
1859,8.112850899522073e-06,6.609641127752752e-07
1860,7.203114428477875e-06,6.85662133292908e-07
1861,7.572423086799063e-06,5.767623543206923e-07
1862,7.998191151159517e-06,7.255885723367328e-07
1863,7.627784853525554e-06,8.181189006251088e-07
1864,7.602041137033666e-06,5.681752366371029e-07
1865,7.054618528457013e-06,6.575461801716642e-07
1866,7.208892000676315e-06,6.135537962137505e-07
1867,7.036091247414333e-06,7.017165302158901e-07
1868,7.288290028384381e-06,6.367497880077622e-07
1869,6.767580892130809e-06,5.02025755189095e-07
1870,7.1973782382883655e-06,7.305178417738034e-07
1871,6.624428294799145e-06,5.62922415348055e-07
1872,6.733107710488184e-06,5.726830485386358e-07
1873,8.112831608286797e-06,7.40468756532664e-07
1874,7.736521247636574e-06,7.63555054739129e-07
1875,7.623934770606411e-06,7.495200371465671e-07
1876,7.904559844007508e-06,7.237079984179218e-07
1877,7.546712389228105e-06,7.953673271110517e-07
1878,7.1859116275163615e-06,7.723994430719472e-07
1879,7.152798069398614e-06,6.396463696489718e-07
1880,7.279762776590815e-06,6.661724532008861e-07
1881,7.238857200775328e-06,6.895810216178688e-07
1882,7.0413976160921266e-06,6.994809638172228e-07
1883,7.053014144275949e-06,8.290972557389864e-07
1884,6.847280161537128e-06,7.235459742460648e-07
1885,7.208154563898006e-06,6.941949886041243e-07
1886,6.695468691475526e-06,6.698695651508046e-07
1887,7.375726312375264e-06,7.273221758197224e-07
1888,6.678569661744405e-06,6.961994847287656e-07
1889,6.352222271743813e-06,7.662262166974187e-07
1890,6.851300383914349e-06,7.01319344820206e-07
1891,6.857385699277074e-06,7.572573226255486e-07
1892,7.3040705999005695e-06,7.327890738650922e-07
1893,6.971327501048563e-06,7.901248300079544e-07
1894,7.339402820605301e-06,9.15613643570623e-07
1895,6.161255665659837e-06,6.319545322597264e-07
1896,6.510909507539964e-06,7.65434384319974e-07
1897,6.841144177371916e-06,7.184337622589965e-07
1898,6.608392482121417e-06,6.705150497055001e-07
1899,6.924950255893236e-06,9.269749146056938e-07
1900,6.856861965331973e-06,7.324575976852543e-07
1901,6.472318631267626e-06,6.041426496850022e-07
1902,6.062236636239504e-06,7.006975026868645e-07
1903,7.404242083453028e-06,6.415461868414241e-07
1904,6.919829928619947e-06,5.546613026652381e-07
1905,6.729629639323775e-06,6.20323246991461e-07
1906,6.96574034719788e-06,5.864370624664161e-07
1907,6.356554379749468e-06,6.233126370602804e-07
1908,6.3288159140029165e-06,5.780705158997534e-07
1909,6.2133607130476776e-06,7.041259140194711e-07
