year,véritables_ADJ artisans_NOUN,véritables_ADJ partisans_NOUN
1800,2.5153315874604232e-08,2.2009151834367913e-08
1801,0.0,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.504245972228091e-08,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,3.776012391654149e-08,0.0
1815,5.394447111228828e-09,4.315557688983063e-08
1816,1.3905623319487859e-08,9.270415546325239e-09
1817,1.2454986930698908e-08,4.670620334934483e-09
1818,5.483741682965615e-08,8.344824387052086e-09
1819,1.2421260464634543e-08,0.0
1820,3.5599443393152796e-09,2.254631326081835e-08
1821,1.577838126820552e-08,0.0
1822,0.0,0.0
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,1.6000115010683658e-08,0.0
1825,8.805443041381977e-10,0.0
1826,6.1655889282974385e-09,1.4092774947016551e-08
1827,9.217273055917019e-10,1.8434546111834038e-09
1828,1.9261833017480967e-08,2.7516904310687096e-09
1829,1.971830521085849e-08,3.429270423183084e-09
1830,5.218417697960831e-09,7.305785310052215e-09
1831,7.795603274018958e-09,0.0
1832,0.0,1.352996914505411e-08
1833,0.0,8.108539617524002e-09
1834,9.334530925997342e-10,8.401078055442213e-09
1835,5.294161553592858e-09,9.075705520444899e-09
1836,5.376600054063374e-09,1.0753200108126748e-08
1837,3.478945576063097e-09,9.74104708006962e-09
1838,6.312161904276081e-10,4.418513555037862e-09
1839,4.194885327990505e-09,1.1885507689157748e-08
1840,4.458782232319436e-09,1.592422194107712e-08
1841,7.704658244733764e-09,1.926164561183441e-09
1842,5.366612043644636e-09,8.049918065466954e-09
1843,8.269675610961258e-09,1.063243981747064e-08
1844,7.135129875823765e-09,6.037417232818143e-09
1845,8.928364714222425e-09,1.6182660544927785e-08
1846,1.3465353276842507e-08,8.196302303531411e-09
1847,8.089835468183537e-09,8.629157832729106e-09
1848,9.65426583121598e-09,8.045221711050488e-10
1849,1.1731181359664333e-08,1.1731181359664333e-08
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,1.2898877521649865e-08,1.2898877521649865e-09
1852,2.6042181744401205e-09,3.2552727180501506e-09
1853,1.0152284346531815e-08,2.9859659189668264e-09
1854,5.7152309551611324e-09,1.558699391779328e-09
1855,5.306937111981824e-10,1.0083180512765466e-08
1856,8.28350277259915e-09,1.1389816201301528e-08
