year,elles_PRON aient_VERB,elles_PRON paient_VERB
1800,2.5153315164061496e-07,4.7162468153061354e-08
1801,3.4527147363405675e-07,2.1668761718274254e-07
1802,2.64065135979763e-07,3.5805442166747525e-08
1803,2.0478562134940148e-07,5.0708818477573914e-08
1804,3.9302429399867833e-07,1.1370514485520289e-07
1805,3.0703080255989335e-07,8.528633133053631e-09
1806,2.4782355012575863e-07,3.7461699520235925e-08
1807,3.1601200589648215e-07,4.270432718556094e-08
1808,2.6739672875919496e-07,7.024829251633946e-08
1809,2.1008983708270534e-07,5.873479480555943e-08
1810,3.01876355024433e-07,1.4040760554223652e-08
1811,2.507076715119183e-07,6.267691965433642e-08
1812,2.453831484672264e-07,2.6672082320544632e-08
1813,3.192073165791953e-07,5.7514832008109806e-08
1814,2.517341783914162e-07,0.0
1815,2.0498899289123074e-07,3.776113022269101e-08
1816,2.503012126453541e-07,2.5493642752394408e-08
1817,2.8957845188415376e-07,1.401186100480345e-08
1818,2.741870730460505e-07,5.960588467246453e-09
1819,2.8154855158391e-07,3.519357072434559e-08
1820,1.96983592104516e-07,3.322614716694261e-08
1821,2.514679522391816e-07,1.1833786284221048e-08
1822,3.5189913205613266e-07,2.5064039732569654e-08
1823,2.431141012948501e-07,2.6683254050752225e-08
1824,3.267391832650901e-07,6.736890156844311e-09
1825,2.5447729967709165e-07,2.289415235168235e-08
1826,2.880210843159148e-07,5.108631029315802e-08
1827,3.3919565112228156e-07,4.700809230762104e-08
1828,3.2561669627284573e-07,4.586150481600271e-08
1829,2.854867489077151e-07,3.086343447478157e-08
1830,3.0893033908796497e-07,2.817945654598475e-08
1831,2.447819440476451e-07,3.2741533706470705e-08
1832,3.0036531484256557e-07,7.576782756757439e-08
1833,3.9268499563149817e-07,4.9809601776473755e-08
1834,3.416438403291977e-07,3.3604311111545826e-08
1835,2.677332986422698e-07,4.5378527602224494e-08
1836,3.313329841603263e-07,6.98957980382886e-08
1837,2.5952934379347425e-07,5.427154770032416e-08
1838,2.3859971065576246e-07,2.840472790310855e-08
1839,3.3838739454949973e-07,5.4533505045029074e-08
1840,3.102038306224131e-07,4.0766007458614695e-08
1841,3.2102741442940896e-07,6.292137477714732e-08
1842,2.80405487274038e-07,3.4882978283690136e-08
1843,3.343311618664302e-07,3.1306627956695365e-08
1844,2.958334448521782e-07,2.799166165523559e-08
1845,2.9128790401955484e-07,3.850357410684069e-08
1846,2.897978106375376e-07,3.2785207437768804e-08
1847,2.5402084702363936e-07,4.47637544809254e-08
1848,2.6629683702594775e-07,3.459445352405055e-08
1849,2.81548352631944e-07,2.4300303991253713e-08
1850,2.1996346788455412e-07,2.2403687793826066e-08
1851,2.844202526830486e-07,5.868989205737307e-08
1852,3.3138675803456863e-07,3.3854837155899986e-08
1853,3.081516695147002e-07,4.299790878903309e-08
1854,3.190137931596837e-07,1.558699347370407e-08
1855,2.791448991956713e-07,2.865746040470185e-08
1856,3.1477310358241084e-07,3.468716691656937e-08
1857,2.7141189207213756e-07,4.5886185517929334e-08
1858,2.6768407224153634e-07,3.327699760191649e-08
1859,3.162239750054141e-07,1.527652027100146e-08
1860,3.176565712692536e-07,1.5104707262736383e-08
1861,2.9097495257701667e-07,2.876737825729947e-08
1862,3.393007546037552e-07,1.626475143456929e-08
1863,3.261487506733829e-07,3.0467186551419445e-08
1864,2.800121023938118e-07,2.589153114129772e-08
1865,3.4595305464790727e-07,3.2006541417217704e-08
1866,2.9193677164585097e-07,2.6760871407738307e-08
1867,3.4309377383578976e-07,2.620518202434141e-08
1868,3.265256793838489e-07,1.7783546302219122e-08
