year,aurais_VERB eu_VERB,aurais_VERB pu_VERB
1800,1.0690159513160324e-07,7.545995117652637e-08
1801,5.714838380299625e-08,5.2386017301842e-08
1802,2.9091921760482364e-08,8.280008501060365e-08
1803,4.290746247193056e-08,8.581492494386112e-08
1804,7.662737999680758e-08,8.651478111687538e-08
1805,4.5486043376286034e-08,5.401467717547348e-08
1806,8.645007198992971e-08,5.76333825108577e-08
1807,8.540865792383556e-09,4.839823830593559e-08
1808,4.985362878073829e-08,7.478044494746428e-08
1809,1.581321384946932e-08,5.873479480555943e-08
1810,8.190443878675069e-08,1.4976811257838563e-07
1811,4.512738271955641e-08,8.774768645025688e-08
1812,1.1735716043403954e-07,8.001624962616916e-08
1813,5.7514832008109806e-08,2.01301915581098e-07
1814,1.0069366851439554e-07,1.1013369771717407e-07
1815,1.8880564667256294e-08,1.0519171667056071e-07
1816,5.3304887615013286e-08,6.025770460382773e-08
1817,6.694555310104988e-08,1.479029805295795e-07
1818,5.364529798157491e-08,1.263644833215949e-07
1819,5.693077653745604e-08,9.833497216504838e-08
1820,9.137190204455692e-08,1.281579926626364e-07
1821,1.7060374091215635e-07,2.5639869249971525e-07
1822,8.521773509073682e-08,3.037761757695989e-07
1823,8.400284201570685e-08,1.7393529105902417e-07
1824,6.736890156844311e-08,1.7263280938095704e-07
1825,5.987701001686219e-08,1.5409524678489106e-07
1826,8.543744911548856e-08,1.964180569302698e-07
1827,9.032927295038462e-08,1.5392845398309873e-07
1828,7.521286704559316e-08,1.72439257539736e-07
1829,7.372931065674493e-08,1.7060619939002208e-07
1830,1.231546633562175e-07,3.3084768347180216e-07
1831,7.795603096383275e-08,3.0870589284859307e-07
1832,6.629684889958298e-08,1.7724259748774784e-07
1833,1.2973663388038403e-07,3.0233269399104756e-07
1834,1.0454674281845655e-07,1.8202335638761724e-07
1835,1.013453783116347e-07,2.548760562604002e-07
1836,8.199315004731034e-08,2.5471643994023907e-07
1837,8.697363540477454e-08,2.3100197665826272e-07
1838,9.341999884782126e-08,1.4770458278690057e-07
1839,7.341049013120937e-08,1.6919369727474987e-07
1840,9.108654808187566e-08,2.1848032361049263e-07
1841,8.603534951134861e-08,1.8748001195945108e-07
1842,8.720744659740376e-08,1.9655216476621717e-07
1843,1.0396163219184018e-07,2.0969534375581134e-07
1844,6.037417676907353e-08,1.3666517872934492e-07
1845,8.370341930685754e-08,2.1037459418948856e-07
1846,6.381406336686268e-08,1.6626783860829164e-07
1847,5.069630049092666e-08,1.2781940483819199e-07
1848,5.068489628001771e-08,1.689496542667257e-07
1849,7.792856138166826e-08,1.4412593429824483e-07
1850,5.4311968256115506e-08,2.0706437453554827e-07
1851,9.41618054639548e-08,1.5478653381251206e-07
