year,choix_NOUN heureux_ADJ
1800,1.6349655007630304e-07
1801,1.4763331535050384e-07
1802,8.951360541686881e-08
1803,1.5992782209650613e-07
1804,2.3235398316501232e-07
1805,2.75759134638065e-07
1806,4.610670600868616e-07
1807,1.5942949005420815e-07
1808,2.1980918063491117e-07
1809,2.3493917922223773e-07
1810,1.2168659679900884e-07
1811,1.9805906781300564e-07
1812,3.200650011692119e-07
1813,2.875741575980584e-07
1814,1.227204098341872e-07
1815,1.1867783911156948e-07
1816,1.8077309960062848e-07
1817,1.977229260319291e-07
1818,1.8477824426099687e-07
1819,1.72862542058283e-07
1820,1.269713489904234e-07
1821,1.045317724601702e-07
1822,2.2156611123591574e-07
1823,1.0277994599849904e-07
1824,2.0715936788207046e-07
1825,1.0918749193677968e-07
1826,8.279505347985605e-08
1827,1.3733736636822869e-07
1828,1.008953134373769e-07
1829,1.1488055662312036e-07
1830,1.7325147050328837e-07
1831,9.04289956249471e-08
1832,7.17088382007347e-08
1833,1.0772774317047151e-07
1834,8.68111342811062e-08
1835,7.789980571715205e-08
1836,9.476257356588746e-08
1837,9.114836962975659e-08
1838,9.53136434223012e-08
1839,7.061390050466798e-08
1840,9.936714073788266e-08
1841,1.091493282423528e-07
1842,9.257405508833472e-08
1843,8.446883015267304e-08
1844,8.342613450063041e-08
1845,7.533307988527582e-08
1846,9.074476836623546e-08
1847,8.521293182184309e-08
1848,1.247009322469239e-07
1849,5.446619866233959e-08
1850,9.233034603539636e-08
1851,1.4124270664161998e-07
1852,9.830923319853468e-08
1853,1.2779933911133412e-07
1854,7.429800064073788e-08
1855,1.1675261291088646e-07
1856,1.0250834436842382e-07
1857,9.958278468502613e-08
1858,9.444794812907276e-08
1859,1.0897250746211284e-07
1860,8.833964865173627e-08
1861,1.1742749911336503e-07
1862,7.816116465164669e-08
1863,8.840478926686046e-08
1864,9.589455629566146e-08
1865,6.636650895508467e-08
1866,9.828538338751969e-08
1867,1.1258522292223461e-07
1868,8.595381162379567e-08
1869,8.39965282883881e-08
1870,9.231818554056304e-08
1871,5.098165090089424e-08
1872,7.922014333416882e-08
1873,8.260686490402236e-08
1874,9.200898387629053e-08
1875,1.0241533726640384e-07
1876,8.464420631071334e-08
1877,1.0019402019167956e-07
1878,1.1172313696405922e-07
1879,1.1852090942010562e-07
1880,1.078198152981713e-07
1881,7.460582907015123e-08
1882,1.1513816389197018e-07
1883,1.0110942127994349e-07
1884,1.076076632244849e-07
1885,8.37932674357944e-08
1886,1.0131938266155771e-07
1887,6.202478175509896e-08
1888,6.721051759583929e-08
1889,8.896493824961382e-08
1890,5.505684647078013e-08
1891,1.2111017611005082e-07
1892,7.20878892135346e-08
1893,9.360793051804706e-08
1894,7.62486271899121e-08
1895,9.810341294880232e-08
1896,1.085053313865103e-07
1897,1.130382450975631e-07
1898,6.903193250362705e-08
1899,9.175780313341875e-08
1900,1.033019594309792e-07
1901,7.936009194242644e-08
1902,9.771464704044774e-08
1903,9.828400981959362e-08
1904,1.2791607950646267e-07
1905,9.650619237078217e-08
1906,7.613392849492584e-08
1907,8.485691499471315e-08
1908,1.0510372505656562e-07
1909,1.226719348323968e-07
1910,9.459146688151066e-08
1911,8.565802600557504e-08
1912,1.2450516412298995e-07
1913,1.1666577193203409e-07
1914,1.4397999503756864e-07
1915,6.83284211433488e-08
1916,1.0657838123151464e-07
1917,9.65045345857618e-08
1918,9.993147109810252e-08
1919,9.852397653276057e-08
1920,1.332712713519868e-07
1921,9.465934130981069e-08
1922,1.224737280480781e-07
1923,9.235874598445548e-08
1924,8.121723338305742e-08
1925,9.898359953908198e-08
1926,9.139833245797035e-08
1927,9.476841267286318e-08
1928,1.0968999708538263e-07
1929,1.2700063112269788e-07
1930,8.928062666946346e-08
1931,1.0264820993199919e-07
1932,1.238427627114902e-07
1933,8.602996826034826e-08
1934,1.1502316787925793e-07
1935,9.215579055421586e-08
1936,9.093535968673905e-08
1937,1.0954272999796899e-07
1938,1.037217138843971e-07
1939,1.1470537586433238e-07
1940,7.860926753977537e-08
1941,6.788455664263893e-08
1942,1.5474480186128403e-07
1943,1.1032293656398906e-07
1944,1.0603514155604898e-07
1945,1.067466950388507e-07
1946,1.0719250553847814e-07
1947,8.821444730244821e-08
1948,1.054573113279389e-07
1949,6.675565877856116e-08
1950,8.933703732338927e-08
1951,1.194077015043149e-07
1952,8.119499339542813e-08
1953,7.54167928107563e-08
1954,7.915754274279152e-08
1955,9.291751368323276e-08
1956,1.0203735634206623e-07
1957,1.0513694892466674e-07
1958,8.024075848211965e-08
1959,9.068375028675746e-08
1960,8.858666888933442e-08
1961,6.809196118062744e-08
1962,8.942158447045045e-08
1963,8.017906161228439e-08
1964,6.996563284289437e-08
1965,8.043904031751481e-08
1966,7.200796980910695e-08
1967,1.1093255336547259e-07
1968,9.16248814597509e-08
1969,7.811823299341825e-08
1970,6.576176625472385e-08
1971,6.936836260962309e-08
1972,9.029058389842248e-08
1973,6.946636932347872e-08
1974,5.175525807921133e-08
1975,5.882824671843423e-08
1976,5.999203245288243e-08
1977,5.582942752546671e-08
1978,4.0990079108738087e-08
1979,4.8571379362982725e-08
1980,4.946081166856686e-08
1981,4.997184133159749e-08
1982,4.59355158355379e-08
1983,4.483874249672226e-08
1984,3.189454800267555e-08
1985,4.271046316617344e-08
1986,3.177077378957449e-08
1987,4.033139267001218e-08
1988,3.238138990280248e-08
1989,4.116091578687531e-08
1990,5.4486509526441296e-08
1991,5.4511625879882786e-08
1992,3.912060414501539e-08
1993,3.489700839409693e-08
1994,4.272690601325735e-08
1995,3.470368614699737e-08
1996,2.7224270171544163e-08
1997,3.164630291152548e-08
1998,2.7655150391936445e-08
1999,2.5136106529544122e-08
2000,3.401884285381129e-08
2001,2.9354118913360594e-08
2002,3.6802261460522345e-08
2003,2.708499868830927e-08
2004,2.2904913743460042e-08
2005,3.152624672431159e-08
2006,3.047238505970995e-08
2007,2.995859560428471e-08
2008,3.278228666303562e-08
2009,2.336414262060771e-08
2010,1.8422792014138878e-08
2011,1.911985947344874e-08
2012,2.893614869936556e-08
