year,efforts_NOUN heureux_ADJ
1800,9.746909768182377e-08
1801,5.714838380299625e-08
1802,5.147032311469957e-08
1803,9.55666195068261e-08
1804,1.2112069214254007e-07
1805,1.250866148438945e-07
1806,5.187004603612877e-08
1807,6.547996633798903e-08
1808,1.3596443837471384e-07
1809,5.873479480555943e-08
1810,1.0764583180389309e-07
1811,1.579458341893769e-07
1812,1.893717893608482e-07
1813,1.2940837734731758e-07
1814,3.1466772298927026e-08
1815,8.90083740046066e-08
1816,3.244645441213834e-08
1817,6.22749372070075e-08
1818,9.894576891156248e-08
1819,5.693077653745604e-08
1820,3.441279616822612e-08
1821,7.297501269931672e-08
1822,5.6143449000956025e-08
1823,7.510841726343642e-08
1824,5.052667617633233e-08
1825,1.0742640199623565e-07
1826,9.512623222462935e-08
1827,5.8068820862899884e-08
1828,6.145441489024961e-08
1829,5.1439055681612444e-08
1830,5.4271545479878114e-08
1831,7.483778574624012e-08
1832,6.22378593106987e-08
1833,3.590924946283991e-08
1834,4.387229424196448e-08
1835,5.294161553592858e-08
1836,7.52724034214225e-08
1837,6.74915412446353e-08
1838,3.597932263232906e-08
1839,7.271134450093086e-08
1840,7.070354257621148e-08
1841,5.714288064950779e-08
1842,4.695785449371215e-08
1843,7.088293330070883e-08
1844,7.738871232731981e-08
1845,4.073566339801715e-08
1846,7.727941508939296e-08
1847,8.359496916909848e-08
1848,1.0136979256003542e-07
1849,7.709061833338637e-08
1850,9.300924830313306e-08
1851,7.416854685970975e-08
1852,4.7526981461487594e-08
1853,5.3747385209135246e-08
1854,6.546537179019651e-08
1855,7.801197554613282e-08
1856,5.6949079840773464e-08
1857,4.78387889302212e-08
1858,8.661806560894547e-08
1859,8.962224740116653e-08
1860,5.538392597315145e-08
1861,7.592701933845092e-08
1862,7.545037350453754e-08
1863,7.392038980924553e-08
1864,8.007195617665275e-08
1865,3.012380389577629e-08
1866,7.930948875412014e-08
1867,6.842464017609018e-08
1868,7.261614987097431e-08
1869,5.5672116472393895e-08
1870,5.2753250656678574e-08
1871,4.779529660936532e-08
1872,4.354084381930079e-08
1873,8.32054638522095e-08
1874,6.452577849813679e-08
1875,6.179249112392426e-08
1876,6.711076139254146e-08
1877,5.751878973114799e-08
1878,3.38188961279684e-08
1879,5.681672377022551e-08
1880,5.198455355071019e-08
1881,5.2293806618308736e-08
1882,3.926677294430192e-08
1883,3.854796659652493e-08
1884,5.479408571318345e-08
1885,4.125206853888841e-08
1886,2.968593371122097e-08
1887,5.288428894800745e-08
1888,4.7554610915767626e-08
1889,3.3205225236088154e-08
1890,3.736000309118026e-08
1891,4.270727416155751e-08
1892,3.823792482648969e-08
1893,2.894455697344256e-08
1894,3.4028311723943716e-08
1895,4.935263886451935e-08
1896,3.184395680477792e-08
1897,2.7968225069230357e-08
1898,4.7530182456512193e-08
1899,2.5979618456517528e-08
1900,3.633737222230593e-08
1901,5.7005138387467014e-08
1902,2.995273007400101e-08
1903,3.456140973412403e-08
1904,4.8909090111237674e-08
1905,8.670075324346271e-08
1906,5.6071609577657e-08
1907,4.2685599055403145e-08
1908,4.371136164138534e-08
1909,6.711200101205961e-08
1910,3.847788576649691e-08
1911,5.054355511902031e-08
1912,3.802877363012769e-08
1913,5.090870303092743e-08
1914,3.683209115479258e-08
1915,8.128725426104211e-08
1916,8.24059682713596e-08
1917,6.031533672512523e-08
