year,vrais_ADJ artisans_NOUN,vrais_ADJ partisans_NOUN
1800,0.0,4.087413785214267e-08
1801,0.0,3.095537337571841e-08
1802,0.0,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,1.730295728918918e-08
1805,0.0,2.842877755426798e-08
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,3.2761775514700275e-08
1811,0.0,0.0
1812,0.0,1.600324850414836e-08
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,1.2586708564299443e-08,2.5173417128598885e-08
1815,0.0,3.506390555685357e-08
1816,0.0,5.0987285504788815e-08
1817,3.113746815941454e-09,4.3592454090912724e-08
1818,1.1921177378582115e-09,1.3113295338484932e-08
1819,0.0,4.0369094733705424e-08
1820,0.0,8.306536791735653e-09
1821,7.88919063410276e-09,1.2819934447350079e-08
1822,1.0025615893027862e-09,2.5064039732569654e-08
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,0.0,3.9579230559638745e-08
1825,0.0,1.4969252504215547e-08
1826,8.80798456392995e-09,1.0569580766173203e-08
1827,0.0,1.013900075008678e-08
1828,0.0,4.586150570418113e-09
1829,8.57317605795771e-10,3.5150023336427694e-08
1830,0.0,2.400472176589119e-08
1831,0.0,7.795603274018958e-09
1832,1.3529969367098715e-09,2.0294953273491956e-08
1833,0.0,0.0
1834,4.667265685043276e-09,2.6136685704614138e-08
1835,2.2689263801112247e-09,1.3613558280667348e-08
1836,1.3441500135158435e-09,2.1506400216253496e-08
1837,6.957890930081589e-10,8.349468672008697e-09
1838,3.1560809521380406e-09,1.2624323808552163e-08
1839,4.894032734625853e-09,6.9914749545318955e-09
1840,2.5478754661634184e-09,7.0066574764382494e-09
1841,4.494383976094696e-09,3.2102742686390684e-09
1842,6.708265054555795e-10,1.0733224087289273e-08
1843,2.953455480181333e-09,1.2404512972352677e-08
1844,1.097712254427563e-09,9.330554107123135e-09
1845,0.0,1.6182660544927785e-08
1846,2.9272506640865004e-09,1.9905304071698993e-08
1847,1.6179670936367074e-09,4.314578916364553e-09
1848,1.206783295515379e-08,6.43617736884039e-09
