year,mes_DET airs_NOUN,mes_DET pairs_NOUN
1800,9.432493452976587e-09,2.2009151834367913e-08
1801,3.333655596016172e-08,9.524730337773235e-09
1802,2.2378401354217203e-08,1.1189200677108602e-08
1803,3.1205427575287104e-08,1.3652374342143503e-08
1804,5.19088700912107e-08,1.730295728918918e-08
1805,1.7057266488151868e-08,1.421438877713399e-08
1806,8.068673551520078e-08,5.187004603612877e-08
1807,0.0,0.0
1808,6.798222074166915e-08,6.798221985349073e-09
1809,1.1295152813062259e-08,2.25903047379461e-08
1810,6.552354792077608e-08,0.0
1811,5.515568801683912e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,4.313612333994854e-08,0.0
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,1.0788894222457657e-08,2.4275012222574333e-08
1816,1.8540831092650478e-08,9.270415546325239e-09
1817,1.5568733857662664e-08,9.341240669868967e-09
1818,0.0,3.2187177367859476e-08
1819,4.140420006848444e-09,1.3456364911235141e-08
1820,3.678609061807947e-08,6.170570543417853e-08
1821,2.465372084259343e-08,6.01550809165019e-08
1822,1.0025615893027862e-08,4.210758675071702e-08
1823,2.9648061450338048e-08,5.633131583415718e-08
1824,2.6105450245950124e-08,2.0210670470532932e-08
1825,1.496925317034936e-08,5.371320166425164e-08
1826,1.76159691278599e-08,2.3781557056956615e-08
1827,1.3825909916942436e-08,3.041700225026034e-08
1828,2.2013523448549677e-08,1.1006761113652175e-08
1829,2.0575622983187714e-08,1.628903412154159e-08
1830,2.2961039292113128e-08,4.8009445086094615e-08
1831,9.354723218280014e-09,4.6773619422069146e-08
1832,2.5706942574643676e-08,4.329590197471589e-08
1833,2.548398292390175e-08,1.1583628278799551e-08
1834,5.600718555598405e-09,4.29388435918554e-08
1835,1.663879345414898e-08,5.067268915581735e-08
1836,2.419469957715137e-08,4.906147521577253e-08
1837,7.653680356156656e-09,4.383471363667013e-08
1838,1.7042836475411605e-08,5.6809456916440126e-08
1839,6.9914749545318955e-09,6.851645872885115e-08
1840,3.184844388215424e-08,3.6944192760568484e-08
1841,1.733548060656176e-08,5.4574664343221e-08
1842,7.379091560011375e-09,3.8237110810968034e-08
1843,2.4218335781256428e-08,2.8353173198159e-08
1844,4.390849017710252e-09,3.183365487879897e-08
1845,1.0602432709561072e-08,3.013323068845608e-08
1846,9.367202125076801e-09,5.0348710978198596e-08
1847,6.47186837454683e-09,1.833696039454935e-08
1848,1.528592186161859e-08,4.585776380849893e-08
1849,6.703531951757213e-09,9.720121596501485e-08
1850,2.1045888587423178e-08,3.258718184184772e-08
1851,5.804494884742439e-09,7.094382858952031e-09
1852,1.3021090872200602e-08,1.8880582652869293e-08
1853,2.20961471342207e-08,2.030456824897442e-08
1854,3.013485283531736e-08,2.4419623489979614e-08
1855,2.812676669350367e-08,2.653468555990912e-08
1856,2.8992259260007813e-08,8.801221973442352e-09
1857,1.6597130780837688e-08,1.2691924067276261e-08
1858,7.829881809584549e-08,3.768130507619816e-08
1859,3.360834455179429e-08,4.226503946824778e-08
1860,1.876645361331697e-08,4.302552819579475e-08
1861,1.7920661843362495e-08,3.772771101084871e-08
1862,2.5300723294208183e-08,7.228778048373741e-09
1863,1.9479021062807078e-08,5.194405616748554e-08
1864,8.151037178549814e-09,1.4863656416785886e-08
1865,1.3179164537469035e-08,8.943004559114343e-09
1866,3.503241252644784e-08,2.4814625021463144e-08
1867,1.5043715606566366e-08,6.01748642026223e-08
1868,1.2349684830326169e-08,2.7663294210888978e-08
1869,1.6115613732381462e-08,4.0044856319809696e-08
1870,1.490852596930381e-08,2.5803220449205355e-08
1871,1.5931766128574054e-08,2.8677179297886823e-08
1872,1.8746751706544273e-08,3.507456891593819e-08
1873,3.112722185560912e-08,1.7359413462259e-08
1874,2.3898437007119355e-08,2.0911132714296343e-08
1875,2.7463329999033448e-08,1.4875970399952365e-08
1876,4.353130833578689e-08,1.3905833595728723e-08
1877,8.040260901509555e-09,9.277223989023753e-09
1878,2.355244521634603e-08,2.6571990829893366e-08
1879,2.077170613290491e-08,2.6881031622849605e-08
1880,2.6954953824542827e-08,2.7596738449986447e-08
1881,2.9284532132578533e-08,1.8825771164188154e-08
1882,2.6621540527571597e-08,2.0631693464778778e-08
1883,1.895801765572358e-08,2.338155447034751e-08
1884,2.3105939384038265e-08,2.442627877741188e-08
1885,2.6427105892512515e-08,2.127059772760731e-08
1886,1.677900662855336e-08,1.2906927471245666e-08
1887,2.154545164501087e-08,1.3710741653127911e-08
1888,1.9021844543942734e-08,1.775372027168487e-08
1889,1.3156787381785051e-08,1.190375947812683e-08
1890,1.2453334363726754e-08,2.6872984393300214e-08
1891,2.6771723837804018e-08,1.5935549768641977e-08
1892,1.6298132621272998e-08,1.4417578020342603e-08
1893,1.23168328869383e-08,2.9560400349737392e-08
