year,exemples_NOUN heureux_ADJ
1800,1.5720821977538435e-08
1801,4.0480102825313224e-08
1802,4.475680270843441e-09
1803,4.095712213825209e-08
1804,1.2359254952798437e-08
1805,4.264316544322355e-08
1806,1.4408345627714425e-08
1807,5.693910232196231e-09
1808,1.1330369531492579e-08
1809,1.129515236897305e-08
1810,2.3401267590372754e-09
1811,3.760615285841595e-08
1812,1.3336041604361526e-08
1813,2.300593315851529e-08
1814,2.8320094713762956e-08
1815,4.8550024445148665e-08
1816,1.622322720606917e-08
1817,2.490997452753163e-08
1818,5.48374146092101e-08
1819,2.794783426907088e-08
1820,5.458581142647745e-08
1821,1.97229765852569e-09
1822,1.804610860745015e-08
1823,8.894418535021487e-09
1824,5.894778887238772e-09
1825,8.805443041381977e-10
1826,5.284790383086602e-09
1827,1.1060727445055818e-08
1828,1.0089530988466322e-08
1829,5.143905745796928e-09
1830,3.1310506187764986e-08
1831,7.795603274018958e-09
1832,4.058990921151917e-09
1833,1.50587169400751e-08
1834,5.600718555598405e-09
1835,1.2100940693926532e-08
1836,5.376600054063374e-09
1837,5.5663127440652715e-09
1838,6.943378316748294e-09
1839,6.292327547896548e-09
1840,1.0191501864653674e-08
1841,8.346713542550788e-09
1842,7.379091560011375e-09
1843,2.3627643841450663e-08
1844,9.330554107123135e-09
1845,1.2276501593078137e-08
1846,4.6836010625384006e-09
1847,0.0
1848,2.252662056889676e-08
1849,1.0893239199560867e-08
1850,1.425689166723032e-08
1851,7.094382858952031e-09
1852,2.018269107395554e-08
1853,1.4332636411040767e-08
1854,1.2469595134234623e-08
1855,4.2455496895854594e-09
1856,7.248064815001953e-09
1857,7.810414537345878e-09
1858,9.297984604472731e-09
1859,5.092173349652285e-09
1860,1.2358396972445007e-08
1861,7.545541969022906e-09
1862,1.445755604123633e-08
1863,7.991393324857654e-09
1864,7.671564716815737e-09
1865,2.165148416111151e-08
1866,9.244664589402873e-09
1867,5.82337378318698e-09
1868,1.1855697756857353e-08
1869,7.813630631403612e-09
1870,1.0321287824410774e-08
1871,1.0621177271019633e-09
1872,2.6003558417642125e-08
1873,2.095101514498765e-08
1874,1.7326366119618797e-08
1875,2.0025344937835143e-08
1876,1.1487427897804992e-08
1877,8.658742167710898e-09
1878,1.3889904337816006e-08
1879,3.0546627449723474e-09
1880,8.343199908722454e-09
1881,2.7890030285249168e-09
1882,7.320923423037584e-09
1883,9.479008689083912e-09
1884,4.621187876807653e-09
1885,9.66845359329227e-09
1886,1.871504551331782e-08
1887,1.3710741875172516e-08
1888,6.340614699951175e-09
1889,1.0650732740202784e-08
1890,3.9326319978272295e-09
1891,8.92390783491237e-09
1892,9.402768341715273e-09
1893,1.2316833108982905e-09
1894,1.2603078580752936e-08
1895,2.5278181325916194e-08
1896,1.8870492723976895e-08
1897,2.330685422435863e-09
1898,5.6583546736987955e-09
1899,5.527578395003729e-09
1900,7.26747462209687e-09
1901,1.0618603774048552e-08
1902,6.874397495693074e-09
1903,4.860198465905796e-09
1904,5.374625189347171e-09
1905,5.676835002077496e-09
1906,9.773950537805831e-09
1907,2.3142794347563722e-08
1908,2.9468334439286537e-09
1909,3.300590023513905e-09
1910,7.481810726517324e-09
1911,1.755723388896513e-08
1912,7.814131564032323e-09
1913,1.2727175757731857e-08
1914,3.3483718020477227e-09
1915,1.1780761921542648e-09
1916,8.789969641043172e-09
1917,1.2063066989753679e-08
1918,2.2972752589112133e-09
1919,1.1970202606903513e-08
1920,1.0601124422748853e-08
1921,1.2873671018098776e-08
1922,1.549366501762961e-08
1923,7.431163684401554e-09
1924,6.445812328337297e-09
1925,7.698724324711748e-09
1926,8.916910765321973e-09
1927,6.689535148041159e-09
1928,9.14083297942625e-09
1929,1.4482528065684619e-08
1930,1.2604324695075775e-08
1931,6.843213995466613e-09
1932,5.4797681947604815e-09
1933,1.4911860191091364e-08
1934,1.0783422155213884e-08
1935,2.393656828303392e-09
1936,1.2124714565686645e-08
1937,5.0364472592434595e-09
1938,2.5930428915188486e-09
1939,1.988226472349197e-08
1940,1.0143131667916805e-08
1941,0.0
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,1.1920871401116528e-08
1948,8.697510267552389e-09
1949,7.853606653895895e-09
1950,4.2541445921528975e-09
1951,8.529121409139861e-09
1952,5.272402070488624e-09
1953,3.232148326759443e-09
1954,1.07497895029951e-08
1955,7.508486277174597e-09
1956,7.849027205963921e-09
1957,5.301022731885041e-09
1958,4.1361216673863055e-09
1959,4.650448914844674e-09
1960,2.7683333403416555e-09
1961,8.33779090214648e-09
1962,5.0735651235811474e-09
1963,1.2932106496776896e-09
1964,4.258777774879263e-09
1965,6.0192477668863376e-09
1966,6.6468897053084675e-09
1967,6.902469706915326e-09
1968,5.3896989093971115e-09
1969,7.2668124850849836e-09
1970,2.2993624781975086e-09
1971,5.138397263237948e-09
1972,7.182205497002769e-09
1973,7.1671650836435674e-09
1974,3.937900228123681e-09
1975,2.2845920710778955e-09
1976,5.713526984862938e-09
1977,5.289103821581875e-09
1978,2.3762365408686037e-09
1979,2.925986564150662e-09
1980,1.1370301367108482e-09
1981,3.1627747087981106e-09
1982,1.2415004579935385e-09
1983,1.89459470334441e-09
1984,7.538710988796993e-09
1985,2.4062232206745193e-09
1986,4.196139880008332e-09
1987,1.2221633705067347e-09
1988,6.596209356501959e-09
1989,1.6464366536794728e-09
1990,8.172976073694826e-09
1991,2.9307325455363298e-09
1992,1.1019888335184191e-09
1993,2.2156829704300662e-09
1994,4.747434001473039e-09
1995,2.7112254663563817e-09
1996,5.338092190498855e-10
