year,sentiments_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,0.0
1814,9.440030979135372e-09
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,3.1053151161586356e-09
1820,0.0
1821,5.9168927535324656e-09
1822,6.015369535816717e-09
1823,3.9530747564242574e-09
1824,0.0
1825,7.924898959288385e-09
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,5.218417697960831e-09
1831,0.0
1832,4.058990921151917e-09
1833,2.3167257001688313e-09
1834,5.600718555598405e-09
1835,4.5378527602224494e-09
1836,6.720750067579218e-10
1837,1.3915781860163179e-09
1838,1.8936485712828244e-09
1839,0.0
1840,1.9109065441114126e-09
1841,0.0
1842,2.0124795163667386e-09
1843,7.088293507706567e-09
1844,5.488561161115513e-09
1845,1.1160455892778032e-09
1846,1.1709002656346001e-09
1847,6.47186837454683e-09
1848,0.0
1849,0.0
1850,1.3577992064028876e-09
1851,3.8696632564949596e-09
1852,5.859490670445666e-09
1853,4.777545470346922e-09
1854,7.79349651480743e-09
1855,3.1841622671890946e-09
1856,9.836659486950339e-09
1857,1.9526036343364694e-09
1858,2.936205500958522e-09
1859,2.036869339860914e-09
1860,2.197048232233101e-08
1861,2.357981809808507e-09
1862,3.162590411776023e-09
1863,4.994620717013731e-09
1864,7.671564716815737e-09
1865,7.0602665935837194e-09
1866,6.3252967308358166e-09
1867,6.308654931785895e-09
1868,1.1361710683388537e-08
1869,0.0
1870,6.307453670473251e-09
1871,8.496941816815706e-09
1872,1.2094678591978436e-09
1873,2.9930022904522957e-09
1874,4.182226565063729e-09
1875,1.0298748520654044e-08
1876,3.627608879952504e-09
1877,1.2369631985365004e-09
1878,1.8117265465633636e-09
1879,0.0
1880,6.417846254436199e-10
1881,8.367009307619355e-09
1882,6.655385131892899e-10
1883,0.0
1884,4.621187876807653e-09
1885,1.933690763067375e-09
1886,4.5174246565693466e-09
1887,3.264462256069578e-09
1888,6.340614699951175e-10
1889,2.5060546970934183e-09
1890,5.898947996740844e-09
1891,3.1871101313640793e-09
1892,5.641661360300532e-09
1893,6.158416554491453e-10
1894,5.041231432301174e-09
1895,0.0
1896,6.486732040400511e-09
1897,4.661370844871726e-09
1898,4.52668391659472e-09
1899,5.527578395003729e-10
1900,1.5573159428683425e-09
1901,0.0
1902,4.910283846193408e-10
1903,1.6200660812870638e-09
1904,5.912087708281888e-09
1905,6.192911072844254e-09
1906,2.0576738091193647e-09
1907,2.5714217422034835e-09
1908,1.4734167219643268e-09
1909,2.7504918342913243e-09
1910,0.0
1911,3.7242617878519013e-09
1912,3.125652625612929e-09
1913,2.6514948014977335e-09
1914,5.357394972094198e-09
1915,1.1780761921542648e-09
1916,3.2962386153911893e-09
1917,8.773139548168274e-09
1918,3.44591288836682e-09
