year,autres_ADJ yeux_NOUN,autres_ADJ pieux_NOUN
1800,3.018398047061055e-07,3.144164395507687e-08
1801,5.738650088460417e-07,7.143547975374531e-09
1802,2.2602185367759375e-07,6.713520406265161e-09
1803,3.8031615190448065e-07,1.1702034896643454e-08
1804,4.0291169511874614e-07,1.2359254952798437e-08
1805,3.894742519605643e-07,5.685755422035754e-09
1806,2.507052272449073e-07,2.5935023018064385e-08
1807,1.8505208743135881e-07,1.9928686256776018e-08
1808,2.4020383193601447e-07,9.064295980465431e-09
1809,1.4457795316502597e-07,9.487928309681593e-08
1810,3.8378078670575633e-07,4.680253340438867e-08
1811,1.5293167621166504e-07,3.259199843341776e-08
1812,1.2802598803318688e-07,2.6672082320544632e-09
1813,2.7894694198948855e-07,1.4378708002027452e-08
1814,1.321604372606089e-07,9.440030979135372e-09
1815,2.454473531088297e-07,0.0
1816,2.201723674488676e-07,2.5493642752394408e-08
1817,5.184388669476903e-07,2.9580593974287694e-08
1818,2.8491612624748086e-07,2.98029441125891e-08
1819,3.5711121881831787e-07,1.0351049795076506e-08
1820,3.35821425778704e-07,1.4239777357261119e-08
1821,3.717780998613307e-07,1.7750679148775816e-08
1822,2.7770954602601705e-07,5.3135764233047666e-08
1823,2.480554428530013e-07,2.569498569471307e-08
1824,3.4273929827577376e-07,7.57900142644985e-09
1825,2.6944655928673455e-07,5.2832657360113444e-08
1826,2.8714029554066656e-07,5.19671061738336e-08
1827,2.0278000079088088e-07,2.488663675137559e-08
1828,1.990389364436851e-07,2.0179061976932644e-08
1829,2.7434163030193304e-07,1.971830521085849e-08
1830,1.847319879288989e-07,3.444155893816969e-08
1831,1.980083226271745e-07,9.354723218280014e-09
1832,2.9495333819795633e-07,2.705993829010822e-08
1833,2.2703912350152677e-07,1.7375443306377747e-08
1834,1.8295681059044e-07,1.6802156110884425e-08
1835,2.821031728217349e-07,3.479020449503878e-08
1836,2.130477838591105e-07,3.1587525484155776e-08
1837,1.746430626781148e-07,3.965997663613052e-08
1838,2.0072674544735492e-07,2.3354999711955315e-08
1839,1.3423633049569617e-07,3.355908262392404e-08
1840,1.3057861281140504e-07,2.1019973317493168e-08
1841,1.6308193551139993e-07,2.5040138851295524e-08
1842,1.8179397898165917e-07,3.085801836277824e-08
1843,1.9374668625005143e-07,3.0125246297529884e-08
1844,1.5807056286121224e-07,2.195424464446205e-08
1845,1.5401428754557855e-07,2.7901139176833567e-08
1846,1.5631518124337163e-07,1.9905304071698993e-08
1847,1.0301057074002529e-07,4.58424018745518e-08
1848,1.3515972341338056e-07,1.689496542667257e-08
1849,1.349085749779988e-07,4.022119171054328e-08
1850,1.262753244191117e-07,5.7706465383944305e-08
1851,9.158203084780325e-08,2.0638204034639784e-08
1852,1.9271215023763943e-07,2.148479971708639e-08
1853,1.7736637403231725e-07,2.20961471342207e-08
1854,2.1250266968309006e-07,1.8704392701351935e-08
1855,1.772517066456203e-07,2.4411910715116392e-08
1856,1.8586109717944055e-07,3.054541508618058e-08
1857,1.9867742651058506e-07,2.4407546206361985e-08
1858,2.0210882212268189e-07,1.761723389392955e-08
1859,1.6193111207485344e-07,2.2405561850291633e-08
1860,1.6157459015175846e-07,1.9681891672007623e-08
1861,1.5185403867690184e-07,2.8295781717702084e-08
1862,2.706273676267301e-07,3.11741068514948e-08
1863,1.7531118601255002e-07,2.6471489888990618e-08
1864,2.1911907310823153e-07,3.068625886726295e-08
1865,1.882737734604234e-07,1.97687466396701e-08
1866,1.7078301084438863e-07,4.9142691693759843e-08
1867,1.5917221674044413e-07,2.1837651686951176e-08
1868,1.975949572852187e-07,7.409810987013543e-09
1869,2.0901461539324373e-07,2.4417595057002472e-08
1870,1.4392462333034928e-07,2.8096838633473453e-08
1871,1.5719342627562582e-07,1.911811864374613e-08
1872,1.6388290191571286e-07,1.9351485747165498e-08
1873,1.436641099417102e-07,1.7958013742713774e-08
1874,1.3980584867567813e-07,1.4936523129449597e-08
1875,2.0883574336494348e-07,1.830888685105947e-08
1876,2.15238131318074e-07,6.650616057868319e-09
1877,2.0533589406568353e-07,1.2988113695655557e-08
1878,1.7392575557551027e-07,1.3889904337816006e-08
1879,1.7900323712183308e-07,2.1382637882538802e-08
1880,1.5659544772006484e-07,1.3477476912271413e-08
1881,1.6455118156954995e-07,1.8128519130300447e-08
1882,1.9167509890394285e-07,1.7304001787010748e-08
1883,1.7314988554062438e-07,8.21514056781325e-09
1884,1.2609241650807235e-07,1.650424152899177e-08
1885,1.3987029490181158e-07,1.8047780159236027e-08
1886,1.3681344057658862e-07,9.034849313138693e-09
1887,1.2992559561553207e-07,3.9173548849191775e-09
1888,1.3759134276369878e-07,6.340614699951175e-09
1889,1.4597767972190923e-07,1.628935564212952e-08
1890,1.3043229785125732e-07,1.1797895993481688e-08
1891,1.4150768379295187e-07,1.1473596295275001e-08
1892,1.2850451014401187e-07,1.002961980134387e-08
1893,1.2932675019783346e-07,1.4164357686752282e-08
1894,1.506067945911127e-07,1.6384001710889606e-08
1895,1.5828956634322822e-07,1.1435367319734269e-08
1896,1.9224314939947362e-07,1.0024948871034667e-08
1897,1.2877036681402387e-07,1.3401440845939305e-08
1898,1.5390725138786365e-07,6.7900258748920805e-09
1899,1.7190768630825914e-07,9.949641111006713e-09
1900,1.4586859720111534e-07,7.786579381274805e-09
1901,1.2462888321351784e-07,1.5648469187112823e-08
1902,1.3405075094397034e-07,1.276673788908056e-08
1903,1.0746438050546203e-07,4.860198465905796e-09
1904,1.2737861254663585e-07,1.2361637935498493e-08
1905,1.6824074577925785e-07,6.192911072844254e-09
1906,1.7798878104713367e-07,1.0288369267641428e-08
1907,1.5325673530242057e-07,4.6285588695127444e-09
1908,1.2867839416230709e-07,1.964555629285769e-08
1909,1.6667979707563063e-07,1.4302557360679202e-08
1910,1.7689139042431634e-07,5.878565634276356e-09
1911,1.4205399168076838e-07,8.51259862599818e-09
1912,1.8701821602462587e-07,1.4586379215586476e-08
1913,1.9515002236403234e-07,1.590896969716482e-09
1914,1.553644608520699e-07,1.1384464038144415e-08
1915,1.4843760709482012e-07,1.1780762143587253e-08
1916,1.5052823698624707e-07,1.0987462051303964e-09
1917,1.6997957175135525e-07,2.1932848870420685e-09
1918,1.7689019671252026e-07,1.6080926812378493e-08
1919,1.1233574781499556e-07,6.4454939163738345e-09
1920,2.2338083738304704e-07,1.8930579770426448e-08
1921,2.05221454052662e-07,2.196096815509918e-08
1922,1.5788782548042946e-07,1.623145884366295e-08
1923,2.1338055944397638e-07,1.0615948120573648e-08
1924,1.7790441120268952e-07,1.4180787211159895e-08
1925,2.1666410532361624e-07,2.1996355847875293e-09
1926,1.972866527921724e-07,1.4489979882625903e-08
1927,2.0291589919452235e-07,1.1149224876660924e-09
1928,1.5653677110094577e-07,4.570416489713125e-09
1929,1.7044821731815318e-07,4.4561625500705304e-09
1930,1.7541017882649612e-07,6.302162347537887e-09
1931,1.6309660111346602e-07,1.1405356659111021e-09
1932,1.8302425530691835e-07,2.1919073223131136e-09
1933,1.7435407073662645e-07,8.02946331646126e-09
1934,1.6894027510261367e-07,2.3963160344919743e-08
1935,1.48406726907524e-07,8.377798899061872e-09
1936,1.7095847226755723e-07,6.0623572828433225e-09
1937,1.3346584637474734e-07,3.777335333410292e-09
1938,1.5947213682920847e-07,2.5930428915188486e-09
1939,1.8046979732844193e-07,7.647025235257843e-09
1940,9.889553354014424e-08,1.0143131667916805e-08
1941,1.682356440824151e-07,0.0
1942,1.9722376976005762e-07,1.517105907566929e-08
1943,2.0032322822771675e-07,1.1612940831184915e-08
