year,beaux_ADJ airs_NOUN,beaux_ADJ pères_NOUN
1800,1.6349655140857067e-07,3.144164484325529e-09
1801,2.09544069207368e-07,4.7623651688866175e-09
1802,6.042168365638645e-08,1.5664880947952042e-08
1803,1.1116933507082649e-07,0.0
1804,4.3998947840684366e-07,4.943701892301533e-09
1805,1.3930100806192058e-07,5.685755422035754e-09
1806,2.881669161070022e-07,0.0
1807,9.11025637151397e-08,1.9928686256776018e-08
1808,1.0650547466184435e-07,2.2660739951163578e-09
1809,1.219876537561504e-07,1.1295152591017654e-08
1810,2.0125089861267043e-07,0.0
1811,2.5321475050077424e-07,5.264861258069686e-08
1812,2.4004873466765275e-07,0.0
1813,2.501895153272926e-07,2.8757416448144113e-09
1814,1.541871768040437e-07,1.2586708564299443e-08
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,6.025770460382773e-08,9.270415546325239e-09
1817,1.2454987086130132e-07,3.113746815941454e-09
1818,1.323250700124845e-07,9.536941902865692e-09
1819,1.0454560817052538e-07,4.140420006848444e-09
1820,2.480094565271429e-07,1.1866481131050932e-09
1821,9.960103142248045e-08,9.86148829262845e-10
1822,1.0927921323400369e-07,1.303330066093622e-08
1823,8.894418357385803e-08,4.941343334508019e-09
1824,9.515857612996115e-08,8.421112696055388e-09
1825,2.7825200277220574e-07,3.522177216552791e-09
1826,9.072223861039674e-08,1.3211976401805714e-08
1827,5.622536392024813e-08,2.7651818612639545e-09
1828,7.613009955775851e-08,8.255071293206129e-09
1829,4.115124596637543e-08,3.257806824308318e-08
1830,1.763825281386744e-07,1.461157062010443e-08
1831,6.704218691311326e-08,4.989185953263586e-08
1832,5.547287429408243e-08,2.705993873419743e-09
1833,1.2973663388038403e-07,3.4750886612755494e-09
1834,4.6672655740209734e-08,1.5868701908061666e-08
1835,7.865611451052246e-08,1.4369867074037757e-08
1836,8.871390377862554e-08,1.9490174807401672e-08
1837,8.279890550966229e-08,8.349468672008697e-09
1838,9.657608046609312e-08,2.5879863585487328e-08
1839,7.760537101830778e-08,7.690622361167243e-09
1840,7.834716908572403e-08,8.917563742993906e-09
1841,5.6500828460315233e-08,2.8892468861840825e-08
1842,8.318248667649186e-08,1.2745703159566801e-08
1843,1.0868716060485895e-07,1.6539351221922516e-08
1844,1.2568804663715127e-07,7.683985892015244e-09
1845,6.02664584903323e-08,4.464182357111213e-09
1846,5.327596142024049e-08,5.854501328173001e-10
1847,7.604444984821157e-08,4.853901280910122e-09
1848,4.666228647920434e-08,0.0
1849,9.21735647807509e-08,8.379414939696517e-10
1850,5.0238568860550004e-08,5.431196825611551e-09
1851,7.868315066161813e-08,3.2247193804124663e-09
1852,7.877760310748272e-08,4.557382027314816e-09
1853,7.40519547903773e-08,8.360704129017904e-09
1854,8.572846610377383e-08,3.63696517347023e-09
1855,8.703376863650192e-08,1.3798036491152743e-08
1856,9.215397128725655e-08,2.0708756931497874e-09
1857,1.1813251982184525e-07,1.0251168802710708e-08
1858,9.444794812907276e-08,1.9085335978274998e-08
1859,1.1100938257513349e-07,4.073738679721828e-09
1860,1.1122556742293455e-07,1.327383314375652e-08
1861,1.2780262181877333e-07,3.772770984511453e-09
1862,1.1385325437984761e-07,9.035972858839614e-09
1863,1.0238972691922754e-07,1.6482248454963155e-08
1864,1.1938872690464564e-07,1.3904711160250827e-08
1865,1.0260920646487648e-07,2.8241067262513297e-09
1866,1.201806399397931e-07,2.432806400776144e-09
1867,9.899735431417866e-08,8.73506067478047e-09
1868,1.0373735648272486e-07,6.915823469455518e-09
1869,1.0743742251406729e-07,1.2208797528501236e-08
1870,9.862564098739313e-08,1.6628741050794815e-08
1871,5.735435593123839e-08,1.0621177271019633e-09
1872,6.531126706121881e-08,9.675742873582749e-09
1873,1.2031868834583292e-07,4.788803742439285e-09
1874,7.408515356743806e-08,1.6728906260254917e-08
1875,7.666846624232448e-08,7.437985338754061e-09
1876,1.2998932041874411e-07,4.232210137899983e-09
1877,1.3421050049089445e-07,4.329371194877751e-09
1878,1.769453010780353e-07,2.4156354694326865e-09
1879,8.491961800416448e-08,5.1929266664529905e-08
1880,1.0332732691686886e-07,1.7969969512421358e-08
1881,8.855084843162331e-08,2.0917522713936876e-09
1882,1.098138575628127e-07,4.658769592325029e-09
1883,6.698499233070976e-08,1.3270612164717477e-08
1884,1.1618986750505655e-07,4.621187876807653e-09
1885,7.21911206369441e-08,9.023889857573408e-09
1886,7.937760670984062e-08,1.936039106809062e-09
1887,1.0119832993815692e-07,1.9586773536417468e-08
1888,4.628648753168818e-08,1.5851536971922542e-08
1889,8.771191772893872e-08,7.51816386923565e-09
1890,3.211649257650606e-08,5.898947996740844e-09
1891,8.350228597464593e-08,1.9122659011827636e-09
1892,5.7043461065831025e-08,2.5074049503359674e-09
1893,7.082179120931897e-08,1.7243566574620672e-08
1894,7.05772382758596e-08,3.780923574225881e-09
1895,6.078800396380757e-08,1.8055843487019274e-09
1896,5.838058647622546e-08,5.89702897624278e-10
1897,6.176316702521945e-08,1.1653427112179315e-09
1898,6.846609512667357e-08,6.790025985914383e-09
1899,3.4823743888523495e-08,7.185851913504848e-09
1900,6.125442775228862e-08,8.30568502863116e-09
1901,4.0797793643410074e-08,1.676621730339889e-09
1902,3.191684427861219e-08,1.4730852093691738e-09
1903,5.994244389739833e-08,4.320176216765503e-09
1904,7.524475087450355e-08,3.7622376325430196e-09
1905,5.418797011103038e-08,5.160758931310738e-09
1906,6.121579276818778e-08,8.230695236477459e-09
1907,4.217131444050892e-08,1.028568674676933e-09
1908,5.353414156417102e-08,1.0313916831705683e-08
1909,5.8310426431784634e-08,4.400786846048277e-09
1910,4.756294180729981e-08,9.085056262847502e-09
1911,4.096688221988387e-08,3.19222459577162e-09
1912,6.772247718167534e-08,5.209421227725386e-09
1913,7.10600641107284e-08,1.6969567084856862e-08
1914,6.094036919535029e-08,2.678697486047099e-09
1915,1.6493066246070498e-08,0.0
1916,2.7468654906215306e-08,3.2962386153911893e-09
1917,4.496233874107247e-08,4.386569774084137e-09
1918,5.398596858441351e-08,1.1486376294556067e-09
1919,5.340552139410093e-08,7.366278698128781e-09
1920,6.209229752585088e-08,3.786115865267448e-09
1921,8.481477209443256e-08,8.330022005509363e-09
1922,9.960213054327482e-08,9.591316185719734e-09
1923,7.431163684401554e-08,3.1847844361720945e-09
1924,6.961477394540339e-08,6.445812328337297e-09
1925,6.158979659609543e-08,2.1996355847875293e-09
1926,5.907453304310195e-08,3.343841648018042e-09
1927,1.2041163088838402e-07,1.1149224654616319e-08
1928,5.827281057690925e-08,9.14083297942625e-09
1929,7.798284173965442e-08,8.912324878096456e-09
1930,5.882017828362507e-08,7.352522590764465e-09
1931,6.84321435073798e-08,2.2810713318222042e-09
1932,7.342889862815838e-08,7.6716757391182e-09
1933,6.079450853846424e-08,6.882397318719313e-09
1934,5.990790441501304e-08,4.7926320689839486e-09
1935,3.8298509252854274e-08,4.787313656606784e-09
1936,2.7886843056990074e-08,7.274828739411987e-09
1937,2.0145789036973838e-08,1.2591118148108649e-09
1938,3.8895642262559704e-08,5.186085783037697e-09
1939,2.4470480752825097e-08,4.588215141154706e-09
1940,4.0572528225979454e-08,2.5357829169792012e-09
1941,7.67390702094417e-08,0.0
1942,4.8547388331598995e-08,3.034211770724937e-09
1943,5.516146828199453e-08,1.161294105322952e-08
1944,5.7837350908584995e-08,0.0
1945,5.2284097051824574e-08,6.535512131478072e-09
1946,6.960552134671616e-08,6.960552134671616e-09
