year,mêmes_ADJ airs_NOUN,mêmes_ADJ pères_NOUN
1800,6.917161954334006e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,3.0955374485941434e-08
1802,4.4756802708434407e-08,3.8043282302169246e-08
1803,1.3652374342143503e-08,3.900678446910888e-08
1804,4.2021465418429216e-08,3.213406252200457e-08
1805,1.7057265822018053e-08,1.7057266488151868e-08
1806,2.5935023018064385e-08,3.7461698632057505e-08
1807,3.131650672116848e-08,2.8469550272802735e-08
1808,5.211970233176544e-08,1.1330369975581789e-08
1809,2.0331274441787173e-08,3.162642814302785e-08
1810,6.084329839950442e-08,7.020380188293984e-08
1811,7.270522672797597e-08,2.5070768572277302e-08
1812,5.067695596494559e-08,1.3336040716183106e-08
1813,6.614205716459765e-08,2.8757416448144113e-09
1814,4.72001566720337e-08,3.1466771410748606e-09
1815,1.8880564667256294e-08,3.776113022269101e-08
1816,1.8540831092650478e-08,6.489291060063351e-08
1817,6.85024303948012e-08,4.670620246116641e-08
1818,2.8610825708597076e-08,4.887682791832049e-08
1819,5.072014630513877e-08,6.107119610021527e-08
1820,6.051905643289501e-08,3.79727405075414e-08
1821,7.59334568556369e-08,5.5224335326897744e-08
1822,3.909990198280866e-08,4.210758675071702e-08
1823,4.15072847204101e-08,6.720227219148e-08
1824,4.8000341479337294e-08,5.5579342017608724e-08
1825,8.277116592125822e-08,2.6416328680056722e-08
1826,4.315912249808207e-08,4.1397527184017235e-08
1827,3.871254605769536e-08,4.424291155658011e-08
1828,7.06267186956211e-08,7.062672047197793e-08
1829,2.4004892296147773e-08,4.029392641768936e-08
1830,4.905312778191728e-08,5.218418053232199e-08
1831,4.053713453799901e-08,1.870944732473845e-08
1832,1.1500473817704915e-07,1.7588960066206027e-08
1833,4.9809603552830595e-08,7.99270374329808e-08
1834,1.4001796166951408e-08,4.2005387612675804e-08
1835,4.689114518896531e-08,2.4201881387853064e-08
1836,4.301280043250699e-08,9.543465040451338e-08
1837,2.5048407792382932e-08,2.7135775404474316e-08
1838,2.3354999711955315e-08,3.850418739403949e-08
1839,3.5656523067473245e-08,3.8453114470371474e-08
1840,2.229391071750797e-08,4.9683572811431986e-08
1841,4.494383887276854e-08,1.3290535250121138e-07
1842,3.4882980060046975e-08,3.7566284305512454e-08
1843,4.4892523476391943e-08,1.0159887509075816e-07
1844,3.0735943568060975e-08,5.927646107295459e-08
1845,3.013322924516615e-08,4.0177641214000914e-08
1846,4.039605983052752e-08,6.322861345608999e-08
1847,2.480882876909618e-08,3.937053172364813e-08
1848,3.378993085334514e-08,2.654923125788855e-08
1849,4.1059134758825167e-08,2.3462361831150247e-08
1850,2.2403686017469226e-08,3.394498016007219e-08
1851,9.029214709244116e-09,4.063146397115247e-08
1852,2.278690836021724e-08,4.6224871930178324e-08
1853,2.9262466227919504e-08,6.389967222020232e-08
1854,2.3900057044556888e-08,4.572184764128906e-08
1855,1.963566731433275e-08,1.512477041387683e-07
1856,2.8992259260007813e-08,7.455152228885709e-08
1857,5.4672902649599564e-08,4.930324193352931e-08
1858,1.8106600663259087e-08,5.725600793482499e-08
1859,3.971895168319861e-08,3.7172865674506284e-08
1860,2.746310379109218e-08,4.622955707134224e-08
1861,1.744906619194353e-08,3.301174622549752e-08
1862,1.9879140111811466e-08,4.382446849859889e-08
1863,3.346395871517416e-08,6.493007198571377e-08
1864,2.3973639073915365e-08,5.5618844641003307e-08
1865,4.047886292823932e-08,3.7654753981541944e-08
1866,2.4814625021463144e-08,4.0871148243581956e-08
1867,1.747012134956094e-08,2.8631587767335986e-08
1868,3.359114231216154e-08,4.100095551962113e-08
1869,1.8069020057964735e-08,7.178773309135522e-08
1870,2.752343419842873e-08,5.2753248880321735e-08
1871,4.991953161948004e-08,1.5931765684484844e-08
1872,3.084143074261192e-08,2.963196177319105e-08
1873,2.8134220286801792e-08,3.6514627765882324e-08
1874,2.8080663128093875e-08,2.2703514623856336e-08
1875,1.716458086775674e-08,3.2612704536916226e-08
1876,2.5997863417615008e-08,3.3253082065698436e-08
1877,2.8450154232473324e-08,5.133397351642088e-08
1878,1.8117265909722846e-08,2.355244665963596e-08
1879,2.6270098985037293e-08,3.360128886242819e-08
1880,1.9895322722618403e-08,4.171600131996911e-08
1881,2.1614773970668466e-08,6.972507682334594e-09
1882,3.5939081044489285e-08,4.6587695479161084e-08
1883,2.0853818227806187e-08,2.6541223441256534e-08
1884,2.442627788923346e-08,2.9047466654219534e-08
1885,2.7716232864349877e-08,2.3848851782304337e-08
1886,4.130216879616455e-08,2.6459201940554067e-08
1887,1.566941953967671e-08,1.8933882017790893e-08
1888,1.9655905347804037e-08,2.789870467978517e-08
1889,2.8193115397812107e-08,1.50363277384713e-08
1890,2.1629475099871343e-08,2.3595791986963377e-08
1891,1.9122660788184476e-08,3.824531980001211e-08
1892,5.014809900671935e-09,2.19397926493059e-08
1893,1.3548516086814288e-08,2.4633665995921206e-08
1894,1.5753848003896564e-08,2.079507943619774e-08
1895,1.5046536461227333e-08,2.347259631108045e-08
1896,2.240870955461105e-08,1.592197840238896e-08
1897,2.3889525024856084e-08,2.0976169690101187e-08
1898,1.6975064909274806e-08,2.8291774700761607e-08
1899,1.9899282222013426e-08,1.9899282222013426e-08
1900,1.5054054003371675e-08,1.972600127686519e-08
1901,1.2295225282343836e-08,2.2913829500481597e-08
1902,1.5712908307818907e-08,2.0132163935926428e-08
1903,2.052083658554693e-08,2.3220947387159185e-08
1904,3.439760121182189e-08,2.6335662539622717e-08
1905,2.4255568220610257e-08,3.4061010012464976e-08
1906,1.2346042410626978e-08,2.21199925043436e-08
1907,1.697138252154673e-08,2.057137304944945e-08
1908,1.4734167663732478e-08,1.8663278922304016e-08
1909,1.5402754627302784e-08,1.4852655549901783e-08
1910,1.60324518105881e-08,3.6874639341988313e-08
1911,6.916486494645824e-09,1.755723433305434e-08
1912,1.927485904218429e-08,2.2921452735857883e-08
1913,6.363587878865928e-09,1.6439268613055447e-08
1914,2.0090231700464756e-08,2.276892807628883e-08
1915,2.0027295377644805e-08,1.4136914305851178e-08
1916,1.538244731591476e-08,2.0876178119522137e-08
1917,3.289927441585405e-09,1.2063066989753679e-08
1918,1.722956355365568e-08,3.10132168834798e-08
1919,3.222746869369075e-08,2.3940405213807026e-08
1920,2.1959472462640406e-08,1.3630017559052021e-08
1921,2.0446417892117097e-08,1.817459427400081e-08
1922,4.131644004701229e-08,2.5822774141204263e-08
1923,2.441668023323018e-08,2.0170301429089932e-08
1924,1.4180787211159895e-08,1.5469949654622894e-08
1925,2.0896537833436923e-08,1.6497267107951075e-08
