year,aurez_VERB été_VERB,aurez_VERB eté_VERB
1800,1.7292904885835014e-07,0.0
1801,2.690736380372982e-07,0.0
1802,1.0741632650024258e-07,0.0
1803,1.911332390136522e-07,0.0
1804,2.1010733064485976e-07,0.0
1805,1.1087222873129576e-07,0.0
1806,4.668303859034495e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,1.6089124699192325e-07,0.0
1809,1.6942729530455836e-07,2.259030518203531e-09
1810,1.7550951270095538e-07,0.0
1811,1.42903374467096e-07,0.0
1812,1.973734100602087e-07,2.6672082320544632e-09
1813,1.4953856464217097e-07,0.0
1814,7.237357380063258e-08,0.0
1815,1.4834729711310501e-07,0.0
1816,1.715026911597306e-07,0.0
1817,1.9927979622025305e-07,0.0
1818,1.9431519149293308e-07,0.0
1819,1.9149442209709377e-07,0.0
1820,1.7562392429226747e-07,1.1866481131050932e-09
1821,2.1399429783741652e-07,9.86148829262845e-10
1822,2.5665576686151326e-07,1.0025615893027862e-09
1823,2.184073792932395e-07,0.0
1824,1.2042191599448415e-07,0.0
1825,1.6994505358525203e-07,0.0
1826,1.7175570121708006e-07,0.0
1827,1.852671829283281e-07,0.0
1828,1.3483283112236677e-07,0.0
1829,1.3202691206970485e-07,0.0
1830,1.4194097275321838e-07,0.0
1831,1.6526678336958867e-07,0.0
1832,1.569476495433264e-07,0.0
1833,1.610124371609345e-07,0.0
1834,1.4095141409598e-07,0.0
1835,1.6941316971497145e-07,0.0
1836,1.6667459590280487e-07,0.0
1837,1.4750729349088942e-07,0.0
1838,2.486991661498905e-07,0.0
1839,1.5171501388522302e-07,0.0
1840,1.4395496350516623e-07,0.0
1841,1.2134836424593232e-07,0.0
1842,1.5361926841706008e-07,1.341653010911159e-09
1843,1.6362143639980786e-07,0.0
1844,1.8551337177541427e-07,5.488561272137815e-10
1845,1.7745125546753115e-07,0.0
1846,1.3816622868034756e-07,0.0
1847,1.4777432966184278e-07,0.0
1848,1.0539240236084879e-07,0.0
1849,1.1228416241237937e-07,0.0
1850,1.5003681141934067e-07,0.0
1851,1.9412810559060745e-07,0.0
1852,1.4778937895698618e-07,0.0
1853,1.5168707534485293e-07,0.0
1854,1.9899394487765676e-07,0.0
1855,1.4753285881852207e-07,0.0
1856,1.7705987431781978e-07,0.0
1857,1.347296461062797e-07,0.0
1858,1.8057664874504553e-07,0.0
1859,1.395255537772755e-07,5.601390462572908e-09
1860,1.6065915531271457e-07,0.0
1861,1.9052492916671326e-07,0.0
1862,2.69271993147413e-07,0.0
1863,2.4823265221129986e-07,0.0
1864,1.639796920471781e-07,0.0
1865,1.925099297750421e-07,4.706844358715045e-10
1866,1.6494428223268187e-07,0.0
1867,1.3102591367442074e-07,0.0
1868,1.5955792775912414e-07,0.0
1869,1.2990160769277281e-07,0.0
1870,1.4449803131810768e-07,5.734048791339319e-10
1871,2.0711296144781954e-07,0.0
1872,1.8202491958163591e-07,0.0
1873,1.1373408170811672e-07,0.0
1874,8.424198938428162e-08,0.0
1875,1.4475463672170008e-07,0.0
1876,1.408721459483786e-07,0.0
1877,1.2060391441082174e-07,0.0
1878,1.2138568195041444e-07,0.0
1879,1.4295821415544196e-07,0.0
1880,9.755126484378707e-08,0.0
1881,1.666429341184994e-07,6.972507571312292e-10
1882,1.1314154590991166e-07,0.0
1883,1.2512290936683712e-07,0.0
1884,1.1222884666040045e-07,0.0
1885,1.1473231609215873e-07,0.0
1886,1.1551700396239539e-07,0.0
1887,1.1556196710671429e-07,6.528924623161458e-10
1888,8.813454144274147e-08,0.0
1889,1.321943869925235e-07,0.0
1890,1.2584422393047134e-07,0.0
1891,1.1027400859120462e-07,6.374220040683554e-10
1892,1.0593785759738239e-07,1.2537024751679837e-09
1893,9.176040549618847e-08,0.0
1894,8.065970291681879e-08,1.2603078580752936e-09
1895,1.0713133491435656e-07,0.0
1896,9.14039475219397e-08,0.0
1897,1.1187290027692143e-07,0.0
1898,8.883617397259513e-08,0.0
1899,1.0281296169978305e-07,0.0
1900,9.759180130686218e-08,5.191053142894475e-10
1901,1.0506828829193182e-07,0.0
1902,9.47684810626015e-08,4.910283846193408e-10
1903,6.966283905285309e-08,0.0
1904,7.954444924962445e-08,0.0
1905,8.928113004458282e-08,0.0
1906,7.716276684277545e-08,0.0
1907,9.925688004841504e-08,0.0
1908,8.39847515976544e-08,0.0
1909,9.461691519163651e-08,0.0
1910,1.1970897162427718e-07,0.0
1911,7.235708920916295e-08,0.0
1912,1.166910337246918e-07,0.0
1913,1.1507487585049603e-07,0.0
1914,1.0246017723147816e-07,0.0
1915,1.0720493293092659e-07,0.0
1916,8.130722051191697e-08,0.0
1917,7.786161404510494e-08,0.0
1918,7.466144325007917e-08,0.0
1919,9.115770183143468e-08,0.0
1920,1.2418459505170176e-07,0.0
1921,9.011569090944249e-08,0.0
1922,8.337067214370109e-08,0.0
1923,1.0509788950230359e-07,0.0
1924,1.1731378180002139e-07,0.0
1925,8.468597201272132e-08,0.0
1926,1.3375365881529433e-07,0.0
1927,1.0480271583901413e-07,0.0
1928,7.541186874959749e-08,0.0
1929,9.246537047147285e-08,0.0
1930,6.932378227020308e-08,0.0
1931,7.86969636124013e-08,0.0
1932,8.986820176914989e-08,0.0
1933,4.244144946596862e-08,0.0
1934,8.74655370353139e-08,0.0
1935,9.095896302824258e-08,0.0
1936,7.396075574206407e-08,0.0
1937,6.799204044227736e-08,0.0
1938,6.612259539906518e-08,0.0
1939,1.0552894735837981e-07,0.0
1940,2.7893612752905028e-08,0.0
1941,7.083606590185809e-08,0.0
1942,9.709477666319799e-08,0.0
1943,8.709705667797607e-08,0.0
1944,8.996921252446555e-08,0.0
1945,5.446259976338297e-08,0.0
1946,3.6194869323935563e-08,0.0
1947,9.775114051535638e-08,0.0
1948,5.979538286737807e-08,0.0
1949,5.006674186347482e-08,0.0
1950,6.593923984610228e-08,0.0
1951,7.569595084078173e-08,0.0
1952,6.748674508116892e-08,1.0544803918932644e-09
1953,7.326202933199966e-08,0.0
1954,6.449873524161376e-08,0.0
1955,7.320774386698758e-08,0.0
1956,7.325758843990116e-08,0.0
1957,6.007825703591152e-08,0.0
1958,8.685855590329083e-08,0.0
1959,6.975673016995643e-08,0.0
1960,6.851625045101173e-08,0.0
1961,5.350082687982649e-08,0.0
1962,9.322675964540394e-08,0.0
1963,6.142750663684637e-08,0.0
1964,8.760914482763837e-08,0.0
1965,7.66086074577288e-08,0.0
