year,les_DET airs_NOUN,les_DET pères_NOUN
1800,1.3324968762162825e-05,7.435948745637688e-06
1801,9.998585923653991e-06,6.66254889836182e-06
1802,9.871112979453756e-06,9.07667944716195e-06
1803,1.2858586558195384e-05,1.054353344898118e-05
1804,1.5327947807008968e-05,1.0883559667718146e-05
1805,1.2190259582212093e-05,1.0899592766122623e-05
1806,1.3604359764940455e-05,9.941758492004737e-06
1807,9.542993836930691e-06,1.2458275818971742e-05
1808,1.1763189775138017e-05,1.097233025859623e-05
1809,9.46985633731856e-06,1.3127226111464552e-05
1810,1.557588387868236e-05,1.2903458468827012e-05
1811,1.0391833313860843e-05,1.2071574701622012e-05
1812,1.0028703343323286e-05,1.0354102386145314e-05
1813,1.183942828220097e-05,1.0433191192760205e-05
1814,1.101022309057953e-05,9.682325355697685e-06
1815,8.515134723552364e-06,1.3197514761031925e-05
1816,7.467319932175087e-06,1.1866132012983144e-05
1817,9.496927731333926e-06,1.3793898460789933e-05
1818,1.0029286769963619e-05,1.20129705862837e-05
1819,9.241417828320664e-06,1.5182920179768189e-05
1820,1.0386730480149708e-05,1.1905640121767647e-05
1821,9.884169799079245e-06,1.4116720365109359e-05
1822,9.61155804191094e-06,1.322579271345603e-05
1823,8.369647432004967e-06,1.2881094050953834e-05
1824,9.600068523241134e-06,1.0334389287436352e-05
1825,1.0828053007116978e-05,1.1230462320099832e-05
1826,9.133879913747478e-06,1.1607161724214166e-05
1827,6.846590473230663e-06,1.4606612666057117e-05
1828,7.461666939434508e-06,1.1790993141858053e-05
1829,8.055356147451675e-06,1.2407100342670674e-05
1830,9.430724787762301e-06,1.3019952746162744e-05
1831,8.018557679179139e-06,1.2572748630645947e-05
1832,9.112434710800699e-06,9.058314333287854e-06
1833,1.0465808713888691e-05,9.720980983729532e-06
1834,8.686714238592685e-06,1.1392795329356886e-05
1835,8.70738324465492e-06,1.2001864433841547e-05
1836,8.332386045140083e-06,1.6556567686620838e-05
1837,7.959827073023007e-06,1.1000425729434937e-05
1838,7.293702950050829e-06,1.1678762291467137e-05
1839,7.055097526631471e-06,1.028096409072532e-05
1840,6.677344650540817e-06,1.2099223397399328e-05
1841,7.537724059147877e-06,1.779198203166743e-05
1842,6.920917101638224e-06,1.2166109399913694e-05
1843,7.585655282582593e-06,1.6606689996478963e-05
1844,7.089025793050041e-06,1.8939378264803963e-05
1845,6.053989366705537e-06,1.8707714161791955e-05
1846,5.999107713705598e-06,1.8123194763575157e-05
1847,5.701716169426163e-06,1.6328523543052142e-05
1848,6.272859550904286e-06,1.3437933830573456e-05
1849,6.230932918072085e-06,1.0379581283359585e-05
1850,6.899656739278726e-06,1.669617773814025e-05
1851,6.306261127519974e-06,1.846538771133055e-05
1852,6.749482395207451e-06,1.5201472422177176e-05
1853,6.968049916622476e-06,1.4063899584471073e-05
1854,6.6852613400669725e-06,1.4670997700250155e-05
1855,7.634559651137351e-06,1.5566307695280557e-05
1856,6.480805353703545e-06,1.4816080124546716e-05
1857,7.01619282494903e-06,1.1523778766786563e-05
1858,6.3020758886978e-06,1.2110869704429206e-05
1859,6.959473168421937e-06,1.559478079116161e-05
1860,7.022773090170631e-06,1.1450741340013337e-05
1861,7.099411860167493e-06,1.1603157531681063e-05
1862,6.448973493888843e-06,1.1250237264448515e-05
1863,6.414591609882336e-06,1.5582217884002603e-05
1864,6.506445842546782e-06,1.3236325912657776e-05
1865,5.8444885695507764e-06,1.3641376597206545e-05
1866,5.933615113917767e-06,1.2017577432743565e-05
1867,6.235862642256507e-06,1.024185849018977e-05
1868,5.725807923795401e-06,1.0944290977477067e-05
1869,5.786481651171016e-06,1.5353784135641035e-05
1870,6.216282130822037e-06,1.32347578869485e-05
1871,5.228805733281661e-06,8.301511911668058e-06
1872,5.312587347816589e-06,1.0673553902051935e-05
1873,4.743908711191125e-06,9.140628833392839e-06
1874,5.086184728497756e-06,9.047947855833627e-06
1875,5.059546225538725e-06,9.714008967875998e-06
1876,5.622189149789847e-06,1.1043650488318235e-05
1877,5.453770590690965e-06,1.0261228112540266e-05
1878,5.661645488430622e-06,1.0582295260519459e-05
1879,4.9705468612160075e-06,1.0998618392932258e-05
1880,5.092560776631672e-06,9.506113940460637e-06
1881,4.6862222120580554e-06,9.43868360536726e-06
