year,fus_VERB heureux_ADJ
1800,8.174827570428533e-08
1801,7.381665767525192e-08
1802,2.6854081625060644e-08
1803,6.436119548425268e-08
1804,7.415552971679062e-08
1805,3.4114531644036106e-08
1806,6.627838899930794e-08
1807,2.562259560079383e-08
1808,3.6257183921861724e-08
1809,2.710836710662079e-08
1810,2.8081521108447305e-08
1811,3.5099073869560016e-08
1812,3.467370746079723e-08
1813,1.7254450312975678e-08
1814,3.776012391654149e-08
1815,3.776112933451259e-08
1816,4.4034472068688046e-08
1817,2.1796227045456362e-08
1818,4.053200441944682e-08
1819,3.9333990287104825e-08
1820,2.7292905713238724e-08
1821,7.59334568556369e-08
1822,6.717162648328667e-08
1823,3.854247765389118e-08
1824,7.410579172528742e-08
1825,3.522177394188475e-08
1826,3.082794464148719e-08
1827,2.3043183361437514e-08
1828,2.5682442839070063e-08
1829,8.916103411138465e-08
1830,6.262101237552997e-08
1831,6.704218691311326e-08
1832,9.606278439378002e-08
1833,1.8533805246079282e-07
1834,1.3348379468425264e-07
1835,6.42862474364847e-08
1836,6.451919887240365e-08
1837,5.0096815584765864e-08
1838,3.976661844262708e-08
1839,7.550793412747225e-08
1840,7.516232614079854e-08
1841,4.3017674755674307e-08
1842,4.628702754416736e-08
1843,5.316219997553162e-08
1844,8.946354768113451e-08
1845,7.14269177137794e-08
1846,7.493761700061441e-08
1847,3.235934187273415e-08
1848,6.91889070481011e-08
1849,8.547003460535052e-08
1850,8.214685465190996e-08
1851,6.513933215046563e-08
1852,4.948014620254071e-08
1853,7.703791737867505e-08
1854,5.351534326791807e-08
1855,6.209116065747367e-08
1856,5.384276846598368e-08
1857,8.737901424638039e-08
1858,7.438387683578185e-08
1859,9.267755274322553e-08
1860,1.1580275582900867e-07
1861,6.790988038574142e-08
1862,1.436719685443677e-07
1863,1.1487627915585108e-07
1864,9.253825083987977e-08
1865,8.189908839995041e-08
1866,1.0753004886510098e-07
1867,6.066014179850754e-08
1868,8.150792041305976e-08
1869,7.42294901101559e-08
1870,9.346499751927695e-08
1871,1.2532989046576404e-07
1872,9.494322483760698e-08
1873,1.2750189171129023e-07
1874,1.0395820027042646e-07
1875,1.1557484924651362e-07
1876,9.25040239962982e-08
1877,7.050689987408987e-08
1878,6.884560832531861e-08
1879,8.430868803088742e-08
1880,8.022308151112156e-08
1881,5.9266312746331096e-08
1882,6.588831524823036e-08
1883,1.3270611987081793e-07
1884,8.252121119767253e-08
1885,6.381179673553561e-08
1886,5.0982364996343676e-08
1887,4.700825684267329e-08
1888,5.135897751529228e-08
1889,6.139833885754342e-08
1890,6.095579152542996e-08
1891,5.736798058819659e-08
1892,8.211750923692307e-08
1893,6.527921669885473e-08
1894,7.498831422481089e-08
1895,7.463081885816791e-08
1896,9.376275755812458e-08
1897,5.651912005077975e-08
1898,5.035935757291554e-08
1899,4.2562355417885556e-08
1900,7.423206227485935e-08
1901,5.979950401524547e-08
1902,4.468358127951433e-08
1903,4.428180488957878e-08
1904,5.535864033845428e-08
1905,4.7478984299687e-08
1906,7.510509192343306e-08
1907,5.862841589987511e-08
1908,6.875944791318034e-08
1909,7.096268461737054e-08
1910,7.481811081788692e-08
1911,8.672209617088811e-08
1912,6.459682566628544e-08
1913,6.41661728195686e-08
1914,6.428874144148722e-08
1915,5.0657277483878715e-08
1916,5.0542325880087446e-08
1917,6.250861872558744e-08
1918,8.270190932080368e-08
1919,9.392005040353979e-08
1920,7.950843183834877e-08
1921,5.300923078266351e-08
1922,8.853522359686394e-08
1923,6.475728042687479e-08
1924,5.414482373566898e-08
1925,1.0668232874877503e-07
1926,8.025219955243301e-08
1927,8.361918446553318e-08
1928,8.226749770301467e-08
1929,1.0694790120169273e-07
1930,6.932378227020308e-08
1931,6.158892773555635e-08
1932,9.096415709564099e-08
1933,8.832410003378754e-08
1934,4.912448048344231e-08
1935,5.0266791618014395e-08
1936,8.00231134689966e-08
1937,5.414180748175568e-08
1938,5.704694316932546e-08
1939,4.8940961505650193e-08
1940,5.0715659227762444e-08
1941,3.5418032950929046e-08
1942,7.888950648293758e-08
1943,7.258088174921795e-08
1944,7.069009200222354e-08
1945,9.367567344042982e-08
1946,9.744773166175946e-08
1947,8.702235732016561e-08
1948,7.827759418432834e-08
1949,7.166416082782234e-08
1950,6.487570658464392e-08
1951,9.062191708153478e-08
1952,6.432330224015459e-08
1953,6.356557946674002e-08
1954,8.013479657620337e-08
1955,7.039206195713632e-08
1956,7.238547539145657e-08
1957,4.0641172205369e-08
1958,7.52774127477096e-08
1959,6.820658171591276e-08
1960,7.543708591128961e-08
1961,6.94815938118154e-08
1962,8.878738810835785e-08
1963,6.401392482757728e-08
1964,7.057403195176448e-08
1965,6.511731953651179e-08
1966,5.095948907296588e-08
1967,5.521975765532261e-08
1968,7.725235207090009e-08
1969,5.5863619508045304e-08
1970,5.0126104156333895e-08
1971,5.857773288653334e-08
1972,5.643161671287089e-08
1973,3.914374602231874e-08
1974,3.4878542720662153e-08
1975,3.0270843609514486e-08
1976,5.4278505245974884e-08
1977,3.8786758693731826e-08
1978,7.069303364914958e-08
1979,5.208256226296726e-08
1980,4.0933084477501325e-08
1981,4.048351698315855e-08
1982,4.6556266397601576e-08
1983,5.1785590926556324e-08
1984,3.827345551599137e-08
1985,5.2936911743017845e-08
1986,4.495863947795442e-08
1987,4.21646362269712e-08
