year,leurs_DET airs_NOUN,leurs_DET pères_NOUN
1800,1.886498623981936e-07,4.606200985080022e-06
1801,1.381085894536227e-07,5.069537550639325e-06
1802,7.832440473976021e-08,6.227909182143776e-06
1803,1.8918290400904425e-07,6.401013427748126e-06
1804,1.9033252973699177e-07,6.525686316649626e-06
1805,1.421438877713399e-07,7.2237524504359385e-06
1806,2.564685619432794e-07,5.731639969752678e-06
1807,1.5942949005420815e-07,7.831973613647847e-06
1808,1.4049658503267892e-07,7.385134939141835e-06
1809,1.0391540516963005e-07,6.908115217640898e-06
1810,1.0296557917399696e-07,7.649874284254565e-06
1811,1.0780430415024966e-07,5.490498232063601e-06
1812,2.667208214290895e-07,5.353086994119849e-06
1813,2.0705339420779012e-07,5.438027333326545e-06
1814,1.5104050810066383e-07,5.962953359528456e-06
1815,1.537417375629957e-07,5.971652734970689e-06
1816,1.0429217844887262e-07,5.022247712815897e-06
1817,1.588010940523077e-07,5.874083523593754e-06
1818,5.364529886975333e-08,6.196628184795827e-06
1819,8.591371281063687e-08,7.51486222583253e-06
1820,2.5038275097699625e-07,7.575561330241953e-06
1821,1.4200543052567127e-07,7.619972208772197e-06
1822,8.72228582693424e-08,6.927700809455928e-06
1823,1.353928098524193e-07,5.544187228423425e-06
1824,1.5494847005470547e-07,5.539407784027617e-06
1825,1.6025906202088436e-07,6.981835987573959e-06
1826,1.5149733556540923e-07,7.207573700540593e-06
1827,9.770309539192112e-08,6.9562758575614225e-06
1828,9.997808092521154e-08,6.336225712999521e-06
1829,1.1830983304150777e-07,6.471890404924352e-06
1830,1.7012042263786498e-07,6.8194284317257825e-06
1831,9.510636012066698e-08,5.84670219083705e-06
1832,1.5694764599061273e-07,5.186037206339478e-06
1833,2.2588075054841283e-07,5.944718317607567e-06
1834,1.7455573164681937e-07,6.215864145175942e-06
1835,1.406734426723233e-07,6.492911211353203e-06
1836,1.0148332352244438e-07,7.030576782085518e-06
1837,1.0158520957759265e-07,6.122248191076096e-06
1838,9.405121303984743e-08,6.515413573993101e-06
1839,9.088917574118227e-08,5.506486013828749e-06
1840,8.981260979368244e-08,5.869031278749048e-06
1841,9.502411835171642e-08,5.748316965537015e-06
1842,1.09344717280635e-07,6.0864089270751265e-06
1843,9.74640315121178e-08,6.797082363618756e-06
1844,1.1416207801318023e-07,6.420519088834453e-06
1845,4.185171054160719e-08,5.288939838976603e-06
1846,9.133021894314197e-08,5.746193011191281e-06
1847,6.417936226910115e-08,5.654255776477157e-06
1848,7.964769821455775e-08,4.646919842699049e-06
1849,8.128032291665477e-08,4.11680668577219e-06
1850,4.8880770542325536e-08,5.245178336110712e-06
1851,4.6435958633850305e-08,5.354969090376471e-06
1852,1.6211258824228025e-07,5.179790168341469e-06
1853,9.73424918448984e-08,4.8898178874878795e-06
1854,9.248282384355377e-08,4.908344340748272e-06
1855,1.1356845419641104e-07,5.137645793240608e-06
1856,1.1027413204800496e-07,5.152338744096596e-06
1857,1.0007093553809909e-07,4.23080403777476e-06
1858,1.04235298392652e-07,4.915697612517533e-06
1859,1.2883198241553373e-07,5.115087912344052e-06
1860,9.566314140840859e-08,4.812908876772326e-06
1861,7.969978632615948e-08,5.414398043690483e-06
1862,7.861296413835817e-08,4.756083995971494e-06
1863,7.841554694465458e-08,4.685953143734878e-06
1864,1.0212770273909655e-07,5.004736959079992e-06
1865,1.0119715088130476e-07,4.5435170683560955e-06
1866,9.244664234131506e-08,4.597517788695882e-06
1867,9.268870115874961e-08,3.822559655475288e-06
1868,1.0620729096189052e-07,3.720713230848105e-06
1869,1.8215526154108375e-07,3.884351093219607e-06
1870,9.518521082441112e-08,3.6571762933590435e-06
1871,6.266494922968491e-08,3.90115844872696e-06
1872,9.494322972258828e-08,3.924118249898356e-06
1873,7.72194583831265e-08,3.267161162057164e-06
1874,1.0276327522262818e-07,3.1330849594723986e-06
1875,7.895707676564001e-08,3.223508416638765e-06
1876,8.94810217033637e-08,3.645746817326767e-06
1877,7.792867950939808e-08,3.2358958126366133e-06
1878,1.0266450534146543e-07,3.299758024155608e-06
1879,1.1118971743329098e-07,3.5201931378736617e-06
1880,8.086486347202992e-08,3.0324322999319975e-06
1881,1.0737661404469634e-07,2.9403064623068076e-06
1882,1.118104702158007e-07,3.0069029044454965e-06
1883,1.1438003311159406e-07,2.4000849130345614e-06
1884,1.181703774832954e-07,2.7317821391648067e-06
1885,8.572695131547903e-08,2.6246628781478876e-06
1886,9.873799999837729e-08,2.8769541433604218e-06
1887,9.989254978748363e-08,2.5710904374420807e-06
1888,7.735549889531512e-08,2.4107017893015836e-06
1889,8.833842990441099e-08,2.661430109185403e-06
1890,8.061895417910137e-08,2.2547088551760908e-06
1891,8.732681422429778e-08,2.1149661417751986e-06
1892,1.0029619978979554e-07,2.340662504707325e-06
1893,9.9766346517427e-08,2.362984339754348e-06
1894,9.830401559440816e-08,2.1147966577927946e-06
1895,9.328852534906673e-08,2.020448997441804e-06
1896,1.0083919566028499e-07,2.143569975743276e-06
1897,9.905413378419325e-08,1.9414610044066194e-06
1898,9.73237049839426e-08,1.8961147318918847e-06
1899,8.954677177541726e-08,2.1137460706199818e-06
1900,5.5544270072260815e-08,1.981424921027042e-06
1901,6.482937253693422e-08,1.8051626433646106e-06
1902,7.46363142400952e-08,1.582584470583015e-06
1903,9.342380824506336e-08,1.754531512077051e-06
1904,7.954445280233813e-08,1.756427504773228e-06
1905,5.728442398211797e-08,1.8305211817448708e-06
1906,1.0751345680404256e-07,1.7665129306010385e-06
