year,quelles_DET eaux_NOUN,quelles_DET peaux_NOUN
1800,2.829748035892976e-08,0.0
1801,5.238601819002042e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,8.528632911009026e-09,0.0
1806,4.610670600868616e-08,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.4849335922283444e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,6.952811659743929e-09,0.0
1817,4.0478710161551135e-08,0.0
1818,4.530047448270125e-08,0.0
1819,2.4842520929269085e-08,2.070210003424222e-09
1820,1.1866481131050932e-09,0.0
1821,5.029358973729359e-08,0.0
1822,3.208197085768916e-08,0.0
1823,3.953074634299725e-08,0.0
1824,4.378978690766644e-08,0.0
1825,1.3208164784117571e-08,0.0
1826,3.170874307567573e-08,0.0
1827,3.133872894522938e-08,0.0
1828,1.834460228167245e-08,0.0
1829,2.0575622650120806e-08,0.0
1830,3.444155893816969e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,4.4648898134269643e-08,0.0
1833,1.2741991461950875e-08,4.6334514003376626e-09
1834,3.2670858240990697e-08,0.0
1835,3.327758690829796e-08,4.5378527602224494e-09
1836,2.688300071440608e-08,0.0
1837,1.87863058442872e-08,0.0
1838,2.4617431648721322e-08,0.0
1839,2.1673573602498664e-08,0.0
1840,1.7835128207632778e-08,3.821813088222825e-09
1841,1.1556987811189856e-08,0.0
1842,1.8112315647300647e-08,0.0
1843,1.1813821920725331e-08,0.0
1844,1.2074834521147437e-08,0.0
1845,1.0602432709561072e-08,1.1160455892778032e-09
1846,1.9905304071698993e-08,7.610851504580296e-09
1847,9.707802561820245e-09,0.0
1848,5.95346403287067e-08,0.0
1849,1.1731181359664333e-08,0.0
1850,1.5614690873633208e-08,0.0
1851,2.386292341505225e-08,0.0
1852,1.6276364034339963e-08,7.161600201754936e-09
1853,1.3138249599364826e-08,0.0
1854,7.27393034694046e-09,1.558699391779328e-09
1855,3.02495415382964e-08,0.0
1856,1.656700598928751e-08,0.0
1857,1.122747050885664e-08,0.0
1858,2.7404585711821028e-08,1.9574704079872163e-09
1859,1.8331824946926645e-08,5.092173349652285e-10
1860,2.9293977021893625e-08,0.0
1861,3.254014863118826e-08,0.0
1862,1.8523744343967863e-08,4.517986262886353e-10
1863,2.7470414831753942e-08,1.9978483312144135e-09
